Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:be:a0:de:39,00:1a:be:a0:de:52,00:1a:be:a0:de:64,00:1a:be:a0:de:72,00:1a:be:a0:de:73,00:1a:be:a0:de:89,00:1a:be:a0:de:90,00:1a:be:a0:de:91,00:1a:be:a0:de:92,00:1a:be:a0:de:93,00:1a:be:a0:de:94,00:1a:be:a0:de:95,00:1a:be:a0:de:96,00:1a:be:a0:df:01,00:1a:be:a0:df:02,00:1a:be:a0:df:03,00:1a:be:a0:df:08,00:1a:be:a0:df:11,00:1a:be:a0:df:20,00:1a:be:a0:df:22,00:1a:be:a0:df:28,00:1a:be:a0:df:29,00:1a:be:a0:df:36,00:1a:be:a0:df:45,00:1a:be:a0:df:46,00:1a:be:a0:df:47,00:1a:be:a0:df:48,00:1a:be:a0:df:49,00:1a:be:a0:df:50,00:1a:be:a0:df:51,00:1a:be:a0:df:52,00:1a:be:a0:df:56,00:1a:be:a0:df:57,00:1a:be:a0:df:58,00:1a:be:a0:df:64,00:1a:be:a0:df:67,00:1a:be:a0:df:73,00:1a:be:a0:df:75,00:1a:be:a0:de:40,00:1a:be:a0:de:43,00:1a:be:a0:de:53,00:1a:be:a0:de:56,00:1a:be:a0:de:80,00:1a:be:a0:df:12,00:1a:be:a0:df:68,00:1a:be:a0:de:66,00:1a:be:a0:de:37,00:1a:be:a0:df:34,00:1a:be:a0:de:78,00:1a:be:a0:de:84,00:1a:be:a0:df:13,00:1a:be:a0:df:40,00:1a:be:a0:df:69,00:1a:be:a0:de:44,00:1a:be:a0:de:57,00:1a:be:a0:de:67,00:1a:be:a0:de:82,00:1a:be:a0:df:23,00:1a:be:a0:de:81,00:1a:be:a0:df:37,00:1a:be:a0:de:65,00:1a:be:a0:df:21,00:1a:be:a0:df:38,00:1a:be:a0:de:68,00:1a:be:a0:df:06,00:1a:be:a0:df:24,00:1a:be:a0:df:62,00:1a:be:a0:de:32,00:1a:be:a0:de:46,00:1a:be:a0:de:58,00:1a:be:a0:de:79,00:1a:be:a0:df:14,00:1a:be:a0:df:15,00:1a:be:a0:df:35,00:1a:be:a0:df:70,00:1a:be:a0:df:71,00:1a:be:a0:de:05,00:1a:be:a0:de:33,00:1a:be:a0:de:04,00:1a:be:a0:de:83,00:1a:be:a0:df:39,00:1a:be:a0:df:09,00:1a:be:a0:df:65,00:1a:be:a0:de:34,00:1a:be:a0:de:41,00:1a:be:a0:de:49,00:1a:be:a0:de:54,00:1a:be:a0:de:88,00:1a:be:a0:de:97,00:1a:be:a0:df:44,00:1a:be:a0:df:53,00:1a:be:a0:df:63,00:1a:be:a0:de:36,00:1a:be:a0:de:50,00:1a:be:a0:de:70,00:1a:be:a0:df:07,00:1a:be:a0:df:10,00:1a:be:a0:df:26,00:1a:be:a0:de:31,00:1a:be:a0:de:74,00:1a:be:a0:de:86,00:1a:be:a0:df:30,00:1a:be:a0:df:42,00:1a:be:a0:de:76,00:1a:be:a0:df:32,00:1a:be:a0:de:08,00:1a:be:a0:de:12,00:1a:be:a0:de:69,00:1a:be:a0:df:25,00:1a:be:a0:de:85,00:1a:be:a0:df:41,00:1a:be:a0:de:62,00:1a:be:a0:df:18,00:1a:be:a0:de:87,00:1a:be:a0:de:98,00:1a:be:a0:df:43,00:1a:be:a0:df:54,00:1a:be:a0:de:71,00:1a:be:a0:de:75,00:1a:be:a0:df:27,00:1a:be:a0:df:31,00:1a:be:a0:de:17,00:1a:be:a0:df:04,00:1a:be:a0:df:59,00:1a:be:a0:de:15,00:1a:be:a0:de:63,00:1a:be:a0:df:05,00:1a:be:a0:df:19,00:1a:be:a0:df:60,00:1a:be:a0:de:99,00:1a:be:a0:df:55,00:1a:be:a0:de:16,00:1a:be:a0:de:77,00:1a:be:a0:de:02,00:1a:be:a0:de:27,00:1a:be:a0:de:30,00:1a:be:a0:df:33,00:1a:be:a0:de:26,00:1a:be:a0:de:03,00:1a:be:a0:de:21,00:1a:be:a0:de:25,00:1a:be:a0:de:01
2021.05.19 171520,124.0,47.0,31.40999961875,-13.1208747625,-27.650249606249997,0.115580086660625,1.1104307643750002,9.651116824375,0.0011950051187500001,-0.004188244821875,-0.0021074851203124996,-0.11462422236800189,-0.011946478286383618,-1.8736491471529007,1004.2459526875,-81.0,-80.0,-85.0,-76.0,-76.0,-50.0,-55.0,-63.0,-68.0,-71.0,-86.0,-80.0,-80.0,-70.0,-86.0,-83.0,-90.0,-75.0,-85.0,-88.0,-75.0,-76.0,-86.0,-51.0,-55.0,-64.0,-68.0,-71.0,-87.0,-79.0,-80.0,-71.0,-86.0,-83.0,-88.0,-74.0,-85.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171534,123.0,48.0,30.189585360946744,-13.43467424852071,-24.97846127810651,0.11631003492248522,1.1597994943786982,9.645997786982248,0.001521741199704142,-0.000983167732248521,-0.0006433965162721891,-0.1197473010015205,-0.012021424064031054,-1.8994829908630553,1004.254750769231,-61.0,-60.0,-81.0,-72.0,-77.0,-37.0,-42.0,-54.0,-76.0,-57.0,-85.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-72.0,-78.0,-80.0,-37.0,-44.0,-54.0,-75.0,-57.0,-85.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-71.0,-74.0,-78.0,-88.0,-78.0,-89.0,-81.0,-80.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171547,122.0,49.0,29.98321380357143,-12.287856872023807,-25.06428545833333,0.15072069729583332,1.2588228261904764,9.638713982142857,0.0017416932538690476,-0.005901394528571429,-0.0012871803241071434,-0.12990932202055336,-0.015629964150450922,-1.858833065345174,1004.2539701785714,-65.0,-65.0,-90.0,-78.0,-76.0,-41.0,-46.0,-61.0,-76.0,-69.0,-81.0,-84.0,-89.0,-79.0,-100.0,-100.0,-100.0,-77.0,-90.0,-90.0,-76.0,-77.0,-84.0,-42.0,-46.0,-61.0,-76.0,-69.0,-81.0,-82.0,-87.0,-80.0,-100.0,-100.0,-100.0,-76.0,-81.0,-80.0,-78.0,-100.0,-78.0,-100.0,-85.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171602,121.0,50.0,31.968928130952378,-13.593571074404762,-26.88178545833333,0.16844919138511907,1.1158120192261904,9.640680678571428,0.0052214434098214295,6.181374851190509e-05,-0.003454297471726191,-0.11536455487034146,-0.01729297929254933,-1.8832292485804785,1004.2531977976191,-59.0,-59.0,-84.0,-71.0,-72.0,-45.0,-46.0,-58.0,-74.0,-57.0,-79.0,-76.0,-100.0,-69.0,-100.0,-100.0,-100.0,-73.0,-83.0,-78.0,-71.0,-73.0,-80.0,-45.0,-46.0,-57.0,-75.0,-57.0,-78.0,-76.0,-100.0,-68.0,-100.0,-100.0,-100.0,-72.0,-83.0,-83.0,-76.0,-88.0,-76.0,-86.0,-81.0,-87.0,-87.0,-77.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171732,114.0,57.0,30.898213875,-12.882499791666667,-31.264285297619047,0.04886736710119047,0.8746246807738094,9.673258929166666,-0.0009781115485119043,-0.003661555364880952,-0.003468842093452381,-0.09039492967228091,-0.00492469575506636,-1.8829379706155687,1004.270758095238,-100.0,-100.0,-83.0,-76.0,-78.0,-43.0,-49.0,-65.0,-75.0,-69.0,-85.0,-77.0,-100.0,-66.0,-100.0,-85.0,-86.0,-69.0,-85.0,-80.0,-75.0,-78.0,-100.0,-42.0,-51.0,-64.0,-76.0,-68.0,-85.0,-77.0,-88.0,-67.0,-100.0,-84.0,-85.0,-67.0,-85.0,-85.0,-75.0,-100.0,-75.0,-100.0,-87.0,-100.0,-100.0,-78.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171744,113.0,58.0,31.13522681818182,-12.488522480113637,-31.998067687499997,0.18340129096420454,0.9648088725568182,9.674465744318182,-0.0005865695826704545,-0.002610060656818181,-0.0026655938590909086,-0.09941870488480407,-0.01896059692597545,-1.856277452951128,1004.2779023863637,-100.0,-100.0,-81.0,-69.0,-81.0,-60.0,-69.0,-62.0,-77.0,-100.0,-82.0,-79.0,-100.0,-57.0,-81.0,-82.0,-81.0,-77.0,-80.0,-78.0,-69.0,-81.0,-79.0,-60.0,-69.0,-62.0,-76.0,-100.0,-83.0,-78.0,-100.0,-57.0,-82.0,-83.0,-81.0,-77.0,-100.0,-100.0,-100.0,-84.0,-100.0,-84.0,-100.0,-100.0,-100.0,-78.0,-100.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171758,112.0,59.0,31.611272296969688,-12.157454263636362,-31.574544981818182,0.14043081248787878,0.9159345093333334,9.670732030303032,0.00021102611606060585,-0.002932153252424243,-0.005642173539696971,-0.09445901185725669,-0.014492984761124105,-1.8492701906146425,1004.2736656969697,-73.0,-72.0,-85.0,-63.0,-74.0,-62.0,-69.0,-100.0,-82.0,-63.0,-87.0,-100.0,-100.0,-57.0,-79.0,-100.0,-100.0,-78.0,-83.0,-70.0,-67.0,-74.0,-100.0,-62.0,-68.0,-100.0,-84.0,-63.0,-87.0,-100.0,-100.0,-58.0,-78.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-77.0,-100.0,-76.0,-100.0,-100.0,-100.0,-72.0,-100.0,-82.0,-82.0,-88.0,-83.0,-87.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171810,111.0,60.0,31.92548736585366,-12.476341204268294,-30.14890191463415,0.1043521569902439,0.9865424930487805,9.670020033536586,0.00023466165365853642,-0.004689508271646342,-0.004626186847256098,-0.10167141449524131,-0.010745071645942485,-1.8541478798156832,1004.2765869512197,-80.0,-81.0,-77.0,-65.0,-71.0,-62.0,-72.0,-68.0,-100.0,-66.0,-78.0,-100.0,-100.0,-57.0,-78.0,-90.0,-100.0,-84.0,-78.0,-77.0,-65.0,-70.0,-100.0,-61.0,-71.0,-71.0,-100.0,-66.0,-79.0,-100.0,-100.0,-58.0,-77.0,-89.0,-100.0,-84.0,-100.0,-100.0,-100.0,-78.0,-100.0,-77.0,-100.0,-100.0,-100.0,-77.0,-100.0,-81.0,-82.0,-86.0,-88.0,-86.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171936,104.0,67.0,27.422153528205122,-11.75569204871795,-25.229845907692308,0.14136840172102566,0.7966552639487179,9.683539055384616,-0.0023181552892307684,-0.003978455565897435,-0.0050341561725641025,-0.08212960585951802,-0.014502663664722727,-1.9060952137678098,1004.4013893333332,-75.0,-76.0,-79.0,-78.0,-79.0,-61.0,-71.0,-100.0,-100.0,-66.0,-80.0,-83.0,-100.0,-58.0,-78.0,-100.0,-86.0,-75.0,-79.0,-75.0,-78.0,-78.0,-100.0,-61.0,-75.0,-100.0,-100.0,-66.0,-80.0,-84.0,-100.0,-57.0,-81.0,-100.0,-88.0,-75.0,-100.0,-100.0,-100.0,-75.0,-100.0,-75.0,-83.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171949,103.0,68.0,26.05886748427673,-8.188679087421383,-27.693207119496854,0.2769293288974843,0.8850415018867923,9.664157553459118,0.002497247851886792,-0.0038918648537735845,-0.005759037675157233,-0.09141592051154408,-0.028528160239319394,-1.7799812052984658,1004.393739874214,-100.0,-100.0,-78.0,-62.0,-69.0,-66.0,-69.0,-81.0,-100.0,-72.0,-78.0,-80.0,-100.0,-65.0,-87.0,-100.0,-100.0,-84.0,-78.0,-74.0,-62.0,-69.0,-81.0,-66.0,-70.0,-81.0,-100.0,-70.0,-80.0,-78.0,-100.0,-64.0,-85.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-73.0,-100.0,-72.0,-77.0,-100.0,-100.0,-74.0,-100.0,-83.0,-83.0,-100.0,-86.0,-100.0,-84.0,-88.0,-84.0,-79.0,-88.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
