Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:cs:a0:de:16,00:1a:cs:a0:de:17,00:1a:cs:a0:de:18,00:1a:cs:a0:de:19,00:1a:cs:a0:de:22,00:1a:cs:a0:de:57,00:1a:cs:a0:de:72,00:1a:cs:a0:de:73,00:1a:cs:a0:de:80,00:1a:cs:a0:de:81,00:1a:cs:a0:de:97,00:1a:cs:a0:df:11,00:1a:cs:a0:df:12,00:1a:cs:a0:df:19,00:1a:cs:a0:df:20,00:1a:cs:a0:df:36,00:1a:cs:a0:de:01,00:1a:cs:a0:de:07,00:1a:cs:a0:de:08,00:1a:cs:a0:de:09,00:1a:cs:a0:de:11,00:1a:cs:a0:de:12,00:1a:cs:a0:de:33,00:1a:cs:a0:de:36,00:1a:cs:a0:de:37,00:1a:cs:a0:de:39,00:1a:cs:a0:de:40,00:1a:cs:a0:de:47,00:1a:cs:a0:de:48,00:1a:cs:a0:de:58,00:1a:cs:a0:de:59,00:1a:cs:a0:de:62,00:1a:cs:a0:de:63,00:1a:cs:a0:de:64,00:1a:cs:a0:de:65,00:1a:cs:a0:de:66,00:1a:cs:a0:de:67,00:1a:cs:a0:de:70,00:1a:cs:a0:de:71,00:1a:cs:a0:de:82,00:1a:cs:a0:de:85,00:1a:cs:a0:de:86,00:1a:cs:a0:de:87,00:1a:cs:a0:de:88,00:1a:cs:a0:de:89,00:1a:cs:a0:de:91,00:1a:cs:a0:de:93,00:1a:cs:a0:de:94,00:1a:cs:a0:de:95,00:1a:cs:a0:de:96,00:1a:cs:a0:de:99,00:1a:cs:a0:df:01,00:1a:cs:a0:df:02,00:1a:cs:a0:df:03,00:1a:cs:a0:df:05,00:1a:cs:a0:df:06,00:1a:cs:a0:df:10,00:1a:cs:a0:df:21,00:1a:cs:a0:df:24,00:1a:cs:a0:df:25,00:1a:cs:a0:df:26,00:1a:cs:a0:df:27,00:1a:cs:a0:df:28,00:1a:cs:a0:df:30,00:1a:cs:a0:df:32,00:1a:cs:a0:df:33,00:1a:cs:a0:df:34,00:1a:cs:a0:df:35,90:9f:33:a4:06:5c,f0:b0:52:29:88:9c,f0:b0:52:69:88:9c,00:1a:cs:a0:de:05,00:1a:cs:a0:de:13,00:1a:cs:a0:de:25,00:1a:cs:a0:de:32,00:1a:cs:a0:de:61,00:1a:cs:a0:de:68,00:1a:cs:a0:de:69,00:1a:cs:a0:de:78,00:1a:cs:a0:de:84,00:1a:cs:a0:de:90,00:1a:cs:a0:df:04,00:1a:cs:a0:df:07,00:1a:cs:a0:df:08,00:1a:cs:a0:df:09,00:1a:cs:a0:df:17,00:1a:cs:a0:df:23,00:1a:cs:a0:df:29,00:1a:cs:a0:de:31,00:1a:cs:a0:de:44,00:1a:cs:a0:de:28,00:1a:cs:a0:de:34,00:1a:cs:a0:de:30,00:1a:cs:a0:de:60,00:1a:cs:a0:de:54,00:1a:cs:a0:de:43,00:1a:cs:a0:de:24,00:1a:cs:a0:de:45,00:1a:cs:a0:de:55,00:1a:cs:a0:de:02,00:1a:cs:a0:df:31,00:1a:cs:a0:de:29,00:1a:cs:a0:de:56,00:1a:cs:a0:df:14,9c:d6:43:c8:11:b6,00:1a:cs:a0:de:26,00:1a:cs:a0:de:75,00:1a:cs:a0:df:13,00:1a:cs:a0:de:49,00:1a:cs:a0:de:74,00:1a:cs:a0:de:83,00:1a:cs:a0:df:22,00:1a:cs:a0:de:79,00:1a:cs:a0:df:18,00:1a:cs:a0:de:51,00:1a:cs:a0:de:76,00:1a:cs:a0:df:15,00:1a:cs:a0:de:98,00:1a:cs:a0:df:37,00:1a:cs:a0:de:77,00:1a:cs:a0:df:16,00:1a:cs:a0:de:04,00:1a:cs:a0:de:20,00:1a:cs:a0:de:21,00:1a:cs:a0:de:41,00:1a:cs:a0:de:52,00:1a:cs:a0:de:53
2021.02.11 151938,43.0,24.0,20.199782402173913,2.671956480434783,-39.498912641304344,0.2539492783804348,0.827326041304348,9.678829858695652,0.002580082288673913,-0.00042574663858695687,0.00482092190576087,-0.08526185146816395,-0.02625223048254033,-1.2960458371950232,1017.4741792391304,-76.0,-87.0,-54.0,-74.0,-87.0,-76.0,-49.0,-56.0,-30.0,-45.0,-72.0,-49.0,-56.0,-30.0,-45.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 151955,44.0,24.0,21.577626864406785,3.255762668644068,-41.85254172881357,0.23898109046610164,0.8417093401694916,9.682853118644065,-0.006272737123415253,0.004876671990847458,0.005697043266271185,-0.08673451828249427,-0.024569577223747543,-1.2774943022404688,1017.4755344067797,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-66.0,-56.0,-82.0,-62.0,-91.0,-78.0,-64.0,-80.0,-65.0,-83.0,-66.0,-55.0,-71.0,-87.0,-71.0,-54.0,-66.0,-73.0,-49.0,-62.0,-63.0,-75.0,-73.0,-64.0,-66.0,-77.0,-59.0,-87.0,-76.0,-60.0,-80.0,-72.0,-84.0,-58.0,-72.0,-54.0,-65.0,-48.0,-63.0,-75.0,-73.0,-65.0,-66.0,-77.0,-59.0,-87.0,-76.0,-64.0,-80.0,-62.0,-85.0,-91.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152006,45.0,24.0,22.871249723214287,7.452321291964286,-41.189999455357146,0.2428264959785714,0.7704220472321429,9.655404799107144,0.004538597806339286,0.000718202949732143,0.009218392876160716,-0.0796392844058573,-0.025148540291930997,-1.1512369896684373,1017.4746227678572,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-73.0,-66.0,-100.0,-54.0,-100.0,-100.0,-59.0,-76.0,-71.0,-83.0,-70.0,-52.0,-65.0,-87.0,-82.0,-46.0,-63.0,-73.0,-55.0,-66.0,-64.0,-77.0,-70.0,-55.0,-100.0,-74.0,-59.0,-89.0,-78.0,-61.0,-81.0,-61.0,-83.0,-60.0,-83.0,-47.0,-63.0,-56.0,-66.0,-77.0,-69.0,-54.0,-100.0,-74.0,-59.0,-89.0,-78.0,-100.0,-81.0,-61.0,-84.0,-89.0,-100.0,-100.0,-74.0,-80.0,-78.0,-70.0,-60.0,-77.0,-73.0,-81.0,-49.0,-58.0,-73.0,-76.0,-73.0,-56.0,-81.0,-48.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152026,45.0,23.0,3.2365573163934425,-28.648524237704912,-33.65950763114754,0.3084493208786884,0.6979114804590164,9.682172590163935,0.0006129480877377051,0.0027417836036885243,0.0007646330583606567,-0.07199010767470126,-0.031904236409005846,-2.9783808403327816,1017.4768968032787,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-73.0,-100.0,-100.0,-58.0,-100.0,-100.0,-59.0,-80.0,-63.0,-86.0,-74.0,-100.0,-100.0,-85.0,-77.0,-50.0,-59.0,-72.0,-54.0,-67.0,-62.0,-79.0,-75.0,-49.0,-100.0,-77.0,-58.0,-84.0,-79.0,-64.0,-86.0,-66.0,-80.0,-100.0,-78.0,-52.0,-59.0,-53.0,-67.0,-79.0,-75.0,-49.0,-100.0,-77.0,-57.0,-84.0,-78.0,-64.0,-87.0,-69.0,-80.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-72.0,-40.0,-100.0,-73.0,-100.0,-72.0,-62.0,-75.0,-43.0,-55.0,-88.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152140,45.0,17.0,-0.5884403566972478,-20.037797935779817,-24.0445868440367,0.20327173511926605,0.5106834422018348,9.686269440366972,-0.0003135475707247706,-0.0030878958258715593,0.007543317336146787,-0.05268621125147426,-0.020995561269522015,0.197793569039861,1017.4477233944951,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-72.0,-100.0,-100.0,-61.0,-89.0,-88.0,-55.0,-80.0,-100.0,-81.0,-72.0,-49.0,-100.0,-86.0,-78.0,-47.0,-68.0,-100.0,-56.0,-62.0,-66.0,-81.0,-100.0,-63.0,-100.0,-80.0,-67.0,-89.0,-80.0,-69.0,-83.0,-63.0,-78.0,-61.0,-78.0,-55.0,-68.0,-57.0,-62.0,-81.0,-100.0,-62.0,-100.0,-79.0,-69.0,-90.0,-79.0,-68.0,-83.0,-66.0,-79.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-71.0,-48.0,-55.0,-100.0,-100.0,-100.0,-65.0,-72.0,-49.0,-55.0,-87.0,-77.0,-83.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152203,46.0,17.0,16.57229487704918,5.789508103278688,-26.211147024590165,0.2628599720983606,0.7437167091803278,9.672222631147543,-0.0006688676527868855,-0.0027459897381147545,-0.0008476507832786888,-0.07670723529318801,-0.02713719976409411,-1.1488953701785354,1017.4367493442622,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-81.0,-100.0,-100.0,-62.0,-100.0,-100.0,-61.0,-84.0,-68.0,-100.0,-70.0,-48.0,-100.0,-100.0,-100.0,-70.0,-87.0,-100.0,-66.0,-85.0,-77.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-71.0,-88.0,-100.0,-84.0,-91.0,-100.0,-61.0,-100.0,-90.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-57.0,-57.0,-100.0,-100.0,-100.0,-78.0,-100.0,-56.0,-58.0,-82.0,-65.0,-100.0,-100.0,-77.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152215,47.0,17.0,23.207454327272725,14.509636081818181,-20.49272707272727,0.2277173004090909,0.6490878977272727,9.679661313636364,-0.002720682860872727,-0.0019442173773636365,0.006686475293272727,-0.06695066819136788,-0.023529993262226573,-0.9820315420627594,1017.4313194545455,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-74.0,-69.0,-100.0,-100.0,-100.0,-80.0,-58.0,-100.0,-69.0,-100.0,-71.0,-46.0,-100.0,-100.0,-100.0,-66.0,-84.0,-100.0,-60.0,-79.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-77.0,-78.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-83.0,-58.0,-79.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-77.0,-75.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-71.0,-100.0,-100.0,-100.0,-51.0,-52.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-53.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152227,47.0,18.0,-13.330270004504504,10.624864653153155,-22.87351324324324,0.16997194061801804,0.6958495977477478,9.678758869369371,-0.0026574950881621626,-0.0047890184351351344,0.0012333151718918914,-0.0717724928514914,-0.017523143730018682,0.81136133971515,1017.4238210810811,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-74.0,-100.0,-100.0,-59.0,-100.0,-80.0,-59.0,-100.0,-100.0,-85.0,-74.0,-54.0,-100.0,-100.0,-100.0,-67.0,-83.0,-100.0,-61.0,-77.0,-100.0,-89.0,-100.0,-60.0,-100.0,-90.0,-75.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-83.0,-61.0,-77.0,-92.0,-100.0,-60.0,-100.0,-90.0,-75.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-73.0,-100.0,-100.0,-100.0,-81.0,-100.0,-50.0,-56.0,-100.0,-100.0,-82.0,-100.0,-100.0,-49.0,-56.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152347,50.0,21.0,21.70722197222222,-1.314999975277778,-23.18555532407407,0.25800527999074074,0.7603817756481481,9.65772863425926,0.0010465250453425927,0.0005267015499074072,0.004598118409537037,-0.07859184134199661,-0.026716225733118156,-1.5498712537465271,1017.3954832407408,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-81.0,-68.0,-50.0,-100.0,-100.0,-100.0,-68.0,-80.0,-100.0,-60.0,-81.0,-100.0,-100.0,-100.0,-61.0,-100.0,-89.0,-100.0,-100.0,-84.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-80.0,-59.0,-81.0,-100.0,-100.0,-61.0,-100.0,-89.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-63.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152439,50.0,22.0,-5.5078990781512625,24.737646789915964,-31.482856579831935,0.13898865845378153,0.5154129260084034,9.661301268907565,-0.00013176209870588207,-0.0013556589212605043,0.0034729227384033613,-0.05333686924437761,-0.014155389248988225,0.18939226427498987,1017.3788559663866,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-56.0,-100.0,-100.0,-52.0,-73.0,-53.0,-76.0,-100.0,-60.0,-76.0,-100.0,-100.0,-55.0,-81.0,-100.0,-58.0,-72.0,-68.0,-87.0,-100.0,-54.0,-100.0,-83.0,-67.0,-100.0,-64.0,-70.0,-86.0,-65.0,-90.0,-100.0,-100.0,-54.0,-81.0,-57.0,-72.0,-86.0,-100.0,-54.0,-100.0,-83.0,-67.0,-100.0,-64.0,-70.0,-87.0,-66.0,-90.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-59.0,-100.0,-100.0,-75.0,-100.0,-52.0,-53.0,-78.0,-100.0,-100.0,-70.0,-100.0,-51.0,-52.0,-74.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
