Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a2,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,f0:b0:52:6a:1f:cc,f0:b0:52:6a:20:c8,f0:b0:52:6a:20:cc,f4:28:53:71:29:24,fa:d0:27:36:de:a9,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:n2,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:m1,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,88:36:6c:95:5e:2e,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t8,86:25:19:04:e1:e0,00:1a:ac:a0:de:i3,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l5,00:1a:ac:a0:de:r3,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:v9,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:k6,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:j6,90:9f:33:a4:06:5c,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ab:a0:de:a3,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:l4,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:f1,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:c2,00:1a:ab:a0:de:a8,00:1a:ac:a0:de:m7,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:b9,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:v5,f0:b0:52:6a:26:78,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u9
2021.01.16 154046,1.0,27.0,29.45999960693642,-37.21803413872833,-18.200115433526012,-0.0816658047965318,0.8196334975722546,9.611432731213874,0.004833956865028902,-0.003184973743641619,0.0012994127627167632,-0.08507335823395344,0.008520542959900632,-2.4517797100750696,1015.8841973410407,-75.0,-70.0,-50.0,-92.0,-82.0,-91.0,-65.0,-85.0,-65.0,-54.0,-59.0,-80.0,-81.0,-70.0,-75.0,-73.0,-75.0,-85.0,-81.0,-88.0,-60.0,-63.0,-33.0,-48.0,-64.0,-80.0,-76.0,-83.0,-72.0,-74.0,-73.0,-74.0,-85.0,-82.0,-88.0,-61.0,-63.0,-33.0,-48.0,-65.0,-80.0,-78.0,-90.0,-70.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154105,1.0,26.0,3.7407953982954543,-30.953522335227273,-31.830340471590908,-0.1453661324755682,0.9545518942045454,9.610448014204547,0.0009683602315340909,-0.0027627768599431824,0.0021588532747159094,-0.09898469779132438,0.015120159508858828,-3.0245678289370104,1015.886943977273,-78.0,-100.0,-51.0,-81.0,-62.0,-90.0,-68.0,-81.0,-100.0,-51.0,-58.0,-80.0,-82.0,-60.0,-59.0,-72.0,-71.0,-89.0,-100.0,-89.0,-40.0,-57.0,-33.0,-55.0,-100.0,-71.0,-74.0,-100.0,-59.0,-60.0,-73.0,-70.0,-91.0,-100.0,-86.0,-40.0,-57.0,-33.0,-55.0,-100.0,-72.0,-74.0,-90.0,-68.0,-100.0,-80.0,-79.0,-81.0,-82.0,-91.0,-84.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154122,1.0,25.0,-0.5927777614814815,-42.558610611111106,-33.90499954166666,-0.027533319513425924,1.0584145102314815,9.604196006944445,-0.00030543261388888933,0.002443460972453704,0.0004383523925925927,-0.10979354840323878,0.0028338195718370734,2.4255261056953006,1015.8959122222221,-100.0,-83.0,-58.0,-100.0,-81.0,-100.0,-60.0,-77.0,-100.0,-53.0,-62.0,-76.0,-67.0,-61.0,-56.0,-62.0,-69.0,-83.0,-100.0,-88.0,-39.0,-60.0,-37.0,-41.0,-54.0,-68.0,-76.0,-100.0,-61.0,-52.0,-61.0,-67.0,-83.0,-77.0,-88.0,-40.0,-59.0,-37.0,-41.0,-54.0,-69.0,-76.0,-84.0,-100.0,-100.0,-79.0,-70.0,-81.0,-76.0,-83.0,-84.0,-70.0,-74.0,-83.0,-90.0,-87.0,-75.0,-84.0,-88.0,-85.0,-76.0,-90.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154143,1.0,24.0,31.625929784883724,-3.8410464534883726,-36.49290659302326,-0.07898081697848837,0.8890422547093023,9.62101598255814,0.0018716626796511629,-0.0028980582531976744,0.0008772309694767442,-0.09216081095469549,0.008214409719288936,-1.584790197915809,1015.9167441860468,-100.0,-100.0,-51.0,-81.0,-71.0,-80.0,-58.0,-80.0,-71.0,-55.0,-61.0,-88.0,-100.0,-52.0,-48.0,-59.0,-62.0,-84.0,-62.0,-83.0,-35.0,-60.0,-31.0,-45.0,-100.0,-67.0,-53.0,-68.0,-53.0,-49.0,-59.0,-63.0,-84.0,-62.0,-84.0,-35.0,-61.0,-31.0,-45.0,-100.0,-66.0,-53.0,-75.0,-78.0,-100.0,-80.0,-77.0,-81.0,-75.0,-75.0,-69.0,-100.0,-84.0,-87.0,-100.0,-100.0,-69.0,-78.0,-90.0,-78.0,-74.0,-88.0,-100.0,-84.0,-83.0,-86.0,-80.0,-81.0,-84.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154246,5.0,24.0,28.57595708510638,-11.416595454787233,-28.278510265957443,-0.16632060726808512,0.9305803540425532,9.636126922872341,0.0017968535505319145,-0.003155054131117021,4.8739324999999794e-05,-0.09626529682823949,0.01727249461196438,-1.8677826060893687,1015.9014991489362,-100.0,-100.0,-58.0,-100.0,-70.0,-100.0,-77.0,-82.0,-67.0,-100.0,-57.0,-82.0,-100.0,-62.0,-45.0,-56.0,-61.0,-75.0,-60.0,-71.0,-41.0,-54.0,-36.0,-36.0,-56.0,-65.0,-52.0,-66.0,-62.0,-45.0,-55.0,-61.0,-75.0,-100.0,-70.0,-41.0,-54.0,-35.0,-35.0,-56.0,-64.0,-52.0,-75.0,-100.0,-100.0,-77.0,-71.0,-100.0,-73.0,-76.0,-66.0,-100.0,-81.0,-82.0,-100.0,-100.0,-64.0,-82.0,-87.0,-82.0,-72.0,-85.0,-100.0,-100.0,-100.0,-87.0,-100.0,-84.0,-100.0,-65.0,-83.0,-82.0,-86.0,-78.0,-82.0,-82.0,-83.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154318,7.0,24.0,25.71086676878613,-9.00034665433526,-29.87687819653179,-0.1103270284566474,1.0075022239306357,9.626213135838151,0.00396179651416185,-0.00036016335202312136,-0.001670169079190751,-0.10431634152383469,0.011462130557494659,-1.795731654745995,1015.907660115607,-100.0,-70.0,-45.0,-66.0,-68.0,-88.0,-63.0,-73.0,-100.0,-60.0,-54.0,-73.0,-69.0,-50.0,-37.0,-64.0,-54.0,-74.0,-53.0,-83.0,-40.0,-66.0,-22.0,-47.0,-59.0,-66.0,-50.0,-61.0,-50.0,-37.0,-66.0,-54.0,-74.0,-54.0,-84.0,-47.0,-68.0,-22.0,-48.0,-58.0,-67.0,-50.0,-75.0,-68.0,-100.0,-100.0,-64.0,-100.0,-72.0,-74.0,-100.0,-64.0,-100.0,-93.0,-100.0,-100.0,-61.0,-78.0,-100.0,-79.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-80.0,-100.0,-83.0,-83.0,-100.0,-83.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154333,8.0,24.0,24.714999702380954,-4.928214201785714,-31.88249944642858,-0.19747888550595238,0.9081577562500001,9.643488127976191,-0.0005163265863095239,0.000527234807142857,0.00029452431636904755,-0.09389916780803881,0.02046209133030576,-1.6480961271694727,1015.914885,-78.0,-69.0,-49.0,-81.0,-59.0,-73.0,-60.0,-100.0,-64.0,-63.0,-45.0,-84.0,-66.0,-62.0,-40.0,-67.0,-58.0,-85.0,-54.0,-84.0,-55.0,-79.0,-36.0,-44.0,-55.0,-63.0,-56.0,-100.0,-63.0,-38.0,-68.0,-59.0,-86.0,-55.0,-84.0,-54.0,-80.0,-35.0,-44.0,-55.0,-64.0,-58.0,-75.0,-100.0,-100.0,-100.0,-63.0,-64.0,-71.0,-75.0,-100.0,-68.0,-81.0,-92.0,-100.0,-66.0,-100.0,-82.0,-90.0,-81.0,-68.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-77.0,-88.0,-76.0,-87.0,-100.0,-100.0,-80.0,-68.0,-80.0,-81.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154351,9.0,24.0,23.87749967261905,-3.143214239285715,-33.94571390476191,-0.2877887450535714,0.8122614227380954,9.647649470238095,0.001596249227380952,-0.002090758961011905,-0.0008253952624999999,-0.08396127474095136,0.029842099923241303,-1.5803121846346628,1015.9074479761905,-100.0,-66.0,-48.0,-84.0,-74.0,-84.0,-60.0,-100.0,-100.0,-100.0,-52.0,-78.0,-72.0,-50.0,-39.0,-66.0,-51.0,-81.0,-56.0,-80.0,-100.0,-78.0,-37.0,-53.0,-45.0,-66.0,-57.0,-58.0,-52.0,-39.0,-66.0,-51.0,-80.0,-52.0,-79.0,-100.0,-78.0,-38.0,-56.0,-45.0,-67.0,-57.0,-75.0,-100.0,-100.0,-78.0,-57.0,-100.0,-100.0,-75.0,-74.0,-72.0,-75.0,-88.0,-91.0,-82.0,-58.0,-88.0,-90.0,-86.0,-100.0,-91.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-81.0,-79.0,-100.0,-80.0,-100.0,-100.0,-79.0,-100.0,-68.0,-100.0,-100.0,-100.0,-86.0,-86.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154501,13.0,24.0,23.935542497142855,-2.685942817142857,-38.23371384,-0.21926783157714283,0.8078446923999999,9.651861492,0.000795870064,-0.0014486233062857143,-0.005585053690571428,-0.0835343377079282,0.022523979169449593,-1.5464301122937885,1015.8711197714284,-100.0,-64.0,-47.0,-100.0,-73.0,-70.0,-52.0,-100.0,-58.0,-59.0,-58.0,-70.0,-70.0,-56.0,-42.0,-48.0,-56.0,-73.0,-57.0,-69.0,-58.0,-66.0,-42.0,-45.0,-53.0,-62.0,-54.0,-100.0,-56.0,-41.0,-48.0,-56.0,-75.0,-57.0,-69.0,-57.0,-67.0,-41.0,-46.0,-52.0,-62.0,-54.0,-71.0,-100.0,-100.0,-76.0,-61.0,-100.0,-71.0,-74.0,-70.0,-100.0,-74.0,-78.0,-87.0,-73.0,-60.0,-79.0,-80.0,-80.0,-72.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-76.0,-82.0,-83.0,-84.0,-81.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-88.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154518,14.0,24.0,24.670940894117646,-2.0555293758823527,-36.13588200588236,-0.20532392001176472,0.9654547956470587,9.642957138235294,0.0061948922902941165,-0.0019547687879411767,-0.003269925734117647,-0.09980530848397924,0.021318059872068855,-1.503266369595247,1015.8522318823531,-74.0,-75.0,-48.0,-76.0,-74.0,-60.0,-50.0,-84.0,-50.0,-100.0,-59.0,-88.0,-100.0,-63.0,-31.0,-56.0,-45.0,-69.0,-57.0,-71.0,-60.0,-80.0,-51.0,-62.0,-52.0,-66.0,-45.0,-58.0,-64.0,-32.0,-55.0,-44.0,-68.0,-58.0,-71.0,-59.0,-80.0,-52.0,-62.0,-51.0,-67.0,-45.0,-77.0,-100.0,-100.0,-100.0,-59.0,-100.0,-71.0,-76.0,-66.0,-100.0,-79.0,-88.0,-90.0,-100.0,-58.0,-100.0,-86.0,-100.0,-71.0,-85.0,-100.0,-100.0,-100.0,-81.0,-79.0,-100.0,-100.0,-65.0,-79.0,-100.0,-73.0,-100.0,-90.0,-100.0,-88.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-80.0,-81.0,-77.0,-72.0,-84.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
