Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a3,00:1a:ab:a0:de:a7,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:f1,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:k6,00:1a:ac:a0:de:l4,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w6,f0:b0:52:6a:20:cc,00:1a:ab:a0:de:a2,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,f0:b0:52:6a:1f:cc,f0:b0:52:6a:20:c8,f4:28:53:71:29:24,fa:d0:27:36:de:a9,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:n2,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:w7,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:m1,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:i3,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l5,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:j8,90:9f:33:a4:06:5c,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:m7,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:b9,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:v5,f0:b0:52:6a:26:78
2021.01.16 153717,1.0,27.0,-11.659996628834355,20.734670134969324,-16.87328324233129,0.20552724496932515,1.5354508398773008,9.61299886809816,-0.0020059740885276073,0.002531554382441718,0.00039364767987730046,-0.15836009511187032,-0.021375277885264367,0.4535594348527171,1013.3058465030676,-80.0,-83.0,-80.0,-50.0,-76.0,-83.0,-87.0,-85.0,-85.0,-78.0,-45.0,-73.0,-85.0,-81.0,-87.0,-75.0,-62.0,-59.0,-92.0,-76.0,-71.0,-77.0,-44.0,-64.0,-59.0,-94.0,-75.0,-70.0,-77.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154046,1.0,27.0,20.037622413333334,-32.186182026666664,-17.502363819999996,0.06070200068286666,0.7093695908666666,9.72941096,0.0012033475584,-0.0009061854862666667,0.0012785425887999998,-0.07278170071542259,-0.006239245030058821,-2.562897523244222,1013.3591153333332,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-90.0,-75.0,-70.0,-50.0,-92.0,-82.0,-91.0,-65.0,-85.0,-54.0,-59.0,-80.0,-81.0,-70.0,-75.0,-73.0,-75.0,-85.0,-88.0,-60.0,-63.0,-33.0,-48.0,-64.0,-80.0,-83.0,-72.0,-74.0,-73.0,-74.0,-85.0,-88.0,-61.0,-63.0,-33.0,-48.0,-65.0,-80.0,-78.0,-70.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154105,1.0,26.0,1.9322758958441562,-30.11644201298701,-26.59279551948052,0.09175036612909092,0.7828236325324675,9.720165623376623,0.000605785381688312,-0.002169447016233766,0.002854135310551948,-0.08036187997499065,-0.009435415960010705,-3.02261065507864,1013.3669214935065,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-74.0,-91.0,-84.0,-100.0,-100.0,-100.0,-100.0,-90.0,-78.0,-100.0,-51.0,-81.0,-62.0,-90.0,-68.0,-81.0,-51.0,-58.0,-80.0,-82.0,-60.0,-59.0,-72.0,-71.0,-89.0,-89.0,-40.0,-57.0,-33.0,-55.0,-100.0,-71.0,-100.0,-59.0,-60.0,-73.0,-70.0,-91.0,-86.0,-40.0,-57.0,-33.0,-55.0,-100.0,-72.0,-74.0,-68.0,-100.0,-80.0,-79.0,-81.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154123,1.0,25.0,-1.9944609567567566,-37.20793204054054,-28.60398299324325,0.03438482604527027,0.7472778254054054,9.729873486486486,-0.0004306736346013514,-0.001426755521571892,-0.00025142213375675687,-0.07665125728660337,-0.0035361195322046414,3.087438702583313,1013.3848762837839,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-70.0,-87.0,-100.0,-100.0,-100.0,-100.0,-78.0,-87.0,-100.0,-100.0,-51.0,-79.0,-64.0,-87.0,-62.0,-84.0,-50.0,-62.0,-78.0,-100.0,-65.0,-51.0,-61.0,-69.0,-83.0,-89.0,-34.0,-60.0,-31.0,-54.0,-67.0,-69.0,-100.0,-63.0,-53.0,-61.0,-68.0,-83.0,-87.0,-33.0,-60.0,-31.0,-53.0,-66.0,-69.0,-70.0,-74.0,-100.0,-100.0,-72.0,-84.0,-100.0,-77.0,-85.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154143,1.0,24.0,29.764681555555555,4.630950285416667,-31.069854708333335,-0.054071882968750005,0.6946793279861111,9.73071959027778,-7.18869315729162e-05,-0.00019331939878472221,0.0005646222015763895,-0.07126780182847542,0.005559467860318023,-1.3435451810558636,1013.3963655555555,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-69.0,-100.0,-62.0,-100.0,-75.0,-53.0,-75.0,-69.0,-100.0,-62.0,-100.0,-74.0,-75.0,-100.0,-100.0,-51.0,-81.0,-71.0,-80.0,-58.0,-80.0,-55.0,-61.0,-88.0,-100.0,-52.0,-48.0,-59.0,-62.0,-84.0,-83.0,-35.0,-60.0,-31.0,-45.0,-100.0,-67.0,-68.0,-53.0,-49.0,-59.0,-63.0,-84.0,-84.0,-35.0,-61.0,-31.0,-45.0,-100.0,-66.0,-53.0,-78.0,-100.0,-80.0,-77.0,-81.0,-100.0,-100.0,-78.0,-78.0,-84.0,-84.0,-83.0,-87.0,-86.0,-80.0,-81.0,-69.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154247,5.0,24.0,27.349800213333335,-4.384252815333332,-23.545158793333332,0.020113619571333334,0.8865778068,9.720202286666666,-0.00038360530100000007,-0.004361302434113334,0.002405513261333333,-0.09096106057365731,-0.0020737155228076993,-1.652196143468221,1013.3993631333336,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-59.0,-100.0,-57.0,-100.0,-72.0,-46.0,-79.0,-62.0,-100.0,-64.0,-100.0,-71.0,-79.0,-100.0,-77.0,-59.0,-89.0,-100.0,-87.0,-57.0,-82.0,-52.0,-64.0,-89.0,-100.0,-54.0,-48.0,-62.0,-64.0,-85.0,-76.0,-39.0,-58.0,-32.0,-45.0,-55.0,-67.0,-63.0,-53.0,-47.0,-63.0,-65.0,-87.0,-75.0,-39.0,-57.0,-31.0,-46.0,-55.0,-67.0,-47.0,-74.0,-100.0,-100.0,-76.0,-72.0,-100.0,-65.0,-83.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-89.0,-89.0,-81.0,-79.0,-72.0,-81.0,-77.0,-88.0,-77.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154318,7.0,24.0,23.74049124161074,-1.546075230671141,-24.898240805369127,0.08467128189261745,0.8542564466442952,9.721585345637585,0.0032096378908308726,-0.0017027171401785234,-0.001715531090671141,-0.08764495108051583,-0.008723475758201907,-1.5449858863881771,1013.4142413422818,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-100.0,-72.0,-50.0,-74.0,-100.0,-100.0,-54.0,-100.0,-71.0,-75.0,-100.0,-70.0,-45.0,-66.0,-68.0,-88.0,-63.0,-73.0,-60.0,-54.0,-73.0,-69.0,-50.0,-37.0,-64.0,-54.0,-74.0,-83.0,-40.0,-66.0,-22.0,-47.0,-59.0,-66.0,-61.0,-50.0,-37.0,-66.0,-54.0,-74.0,-84.0,-47.0,-68.0,-22.0,-48.0,-58.0,-67.0,-50.0,-68.0,-100.0,-100.0,-64.0,-100.0,-64.0,-100.0,-78.0,-79.0,-100.0,-100.0,-100.0,-93.0,-100.0,-100.0,-78.0,-61.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-83.0,-100.0,-83.0,-100.0,-77.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154333,8.0,24.0,22.142628272108844,3.1787969591836736,-27.02162580272109,0.09536626928979593,0.6453147871428572,9.736392901360546,0.0008842809204319728,-0.0007162583999183675,-0.0018671067121088434,-0.06617200711653341,-0.009799007556027355,-1.3535347349789677,1013.4176405442175,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54.0,-100.0,-71.0,-56.0,-75.0,-100.0,-100.0,-55.0,-100.0,-68.0,-75.0,-78.0,-69.0,-49.0,-81.0,-59.0,-73.0,-60.0,-100.0,-63.0,-45.0,-84.0,-66.0,-62.0,-40.0,-67.0,-58.0,-85.0,-84.0,-55.0,-79.0,-36.0,-44.0,-55.0,-63.0,-100.0,-63.0,-38.0,-68.0,-59.0,-86.0,-84.0,-54.0,-80.0,-35.0,-44.0,-55.0,-64.0,-58.0,-100.0,-100.0,-100.0,-63.0,-64.0,-68.0,-68.0,-82.0,-81.0,-100.0,-81.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-90.0,-91.0,-100.0,-100.0,-100.0,-66.0,-77.0,-88.0,-76.0,-87.0,-100.0,-85.0,-80.0,-80.0,-81.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154351,9.0,24.0,21.837998916666663,4.918145746527778,-28.60710165277778,-0.04878036489388889,0.6139145377777777,9.744883770833333,-0.0007481615972222223,-0.0012081071764791667,-0.0017520427845833335,-0.06291355146095151,0.004996377099991521,-1.270789043770896,1013.4117272222223,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-56.0,-100.0,-100.0,-57.0,-75.0,-74.0,-100.0,-52.0,-81.0,-100.0,-75.0,-100.0,-66.0,-48.0,-84.0,-74.0,-84.0,-60.0,-100.0,-100.0,-52.0,-78.0,-72.0,-50.0,-39.0,-66.0,-51.0,-81.0,-80.0,-100.0,-78.0,-37.0,-53.0,-45.0,-66.0,-58.0,-52.0,-39.0,-66.0,-51.0,-80.0,-79.0,-100.0,-78.0,-38.0,-56.0,-45.0,-67.0,-57.0,-100.0,-100.0,-78.0,-57.0,-100.0,-72.0,-68.0,-88.0,-86.0,-78.0,-75.0,-100.0,-88.0,-100.0,-100.0,-100.0,-58.0,-90.0,-91.0,-100.0,-100.0,-100.0,-82.0,-79.0,-100.0,-80.0,-100.0,-79.0,-81.0,-100.0,-100.0,-100.0,-100.0,-91.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.16 154502,13.0,24.0,21.185071111842106,5.318165488157895,-32.95505540789473,0.07406751971578948,0.6981716517763159,9.738040309210525,-0.0034863446866052633,-0.0013977225750657896,-0.004697351529210527,-0.07156893821727284,-0.00760473803568039,-1.2280248450605493,1013.3867759868422,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54.0,-100.0,-70.0,-52.0,-75.0,-100.0,-100.0,-56.0,-100.0,-69.0,-78.0,-100.0,-100.0,-45.0,-73.0,-70.0,-80.0,-58.0,-81.0,-66.0,-54.0,-75.0,-63.0,-59.0,-44.0,-58.0,-54.0,-71.0,-76.0,-60.0,-79.0,-41.0,-50.0,-48.0,-68.0,-58.0,-59.0,-44.0,-58.0,-53.0,-72.0,-77.0,-61.0,-79.0,-40.0,-50.0,-47.0,-69.0,-51.0,-70.0,-82.0,-74.0,-70.0,-100.0,-63.0,-100.0,-87.0,-86.0,-100.0,-100.0,-100.0,-100.0,-82.0,-80.0,-77.0,-58.0,-90.0,-90.0,-100.0,-100.0,-100.0,-79.0,-66.0,-90.0,-74.0,-90.0,-100.0,-84.0,-100.0,-100.0,-81.0,-100.0,-92.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
