Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a1,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:m1,00:1a:ac:a0:de:m9,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:x7,00:1a:ac:a0:de:x8,44:1e:98:43:72:98,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:n1,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:h8,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:i9,90:9f:33:a4:06:5c,00:1a:ab:a0:de:a7,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:c9,00:1a:ac:a0:de:d1,00:1a:ac:a0:de:d9,00:1a:ac:a0:de:e5,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:d7,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:w5,00:1a:ab:a0:de:a8,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:q7,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:v4,00:1a:ab:a0:de:a6,00:1a:ac:a0:de:d8,00:1a:ac:a0:de:s9,00:1a:ac:a0:de:x6,00:1a:ac:a0:de:q1,00:1a:ac:a0:de:q9,00:1a:ac:a0:de:u7,00:1a:ac:a0:de:v6,00:1a:ac:a0:de:i5
2021.02.09 081757,1.0,24.0,32.908377966216214,-3.007702651351351,-44.82608030405406,-0.06905977722027028,0.7073895396621621,9.688768101351352,0.0022164503050675693,-0.003256572401351351,-0.0029016099364864868,-0.072958611253951,0.007153554361284138,-1.5619184382863947,1023.2419795270271,-56.0,-71.0,-80.0,-57.0,-81.0,-78.0,-88.0,-86.0,-67.0,-59.0,-70.0,-90.0,-65.0,-85.0,-74.0,-56.0,-75.0,-76.0,-88.0,-61.0,-77.0,-70.0,-90.0,-84.0,-47.0,-67.0,-80.0,-45.0,-53.0,-63.0,-79.0,-68.0,-72.0,-85.0,-66.0,-60.0,-60.0,-54.0,-59.0,-32.0,-42.0,-54.0,-72.0,-60.0,-76.0,-69.0,-88.0,-75.0,-48.0,-66.0,-80.0,-46.0,-53.0,-67.0,-78.0,-66.0,-74.0,-68.0,-61.0,-60.0,-54.0,-61.0,-33.0,-41.0,-56.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 081806,2.0,24.0,34.34039961333333,-5.1207999373333335,-40.396799380000004,-0.11378842631133333,0.8160875905333334,9.683348753333332,0.0019588413930000013,-0.00028507036966666675,-0.005298237937666667,-0.08414805797239142,0.011746416788664605,-1.620125138759613,1023.2413963999999,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-82.0,-54.0,-43.0,-66.0,-62.0,-74.0,-100.0,-70.0,-100.0,-41.0,-71.0,-79.0,-36.0,-46.0,-54.0,-62.0,-50.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-86.0,-54.0,-43.0,-62.0,-62.0,-75.0,-56.0,-69.0,-41.0,-72.0,-83.0,-36.0,-46.0,-54.0,-62.0,-50.0,-73.0,-59.0,-88.0,-70.0,-70.0,-57.0,-56.0,-78.0,-89.0,-69.0,-75.0,-63.0,-78.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 081815,3.0,24.0,35.74370806622517,-6.100132353642383,-38.3324499205298,-0.09514969819139074,0.7527782344370861,9.686765695364237,-0.006003470325165562,-0.00016586409072847695,-0.003612600459933775,-0.07761515018264974,0.009832201600687325,-1.6576565646177885,1023.2412818543048,-100.0,-72.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-73.0,-100.0,-100.0,-58.0,-82.0,-54.0,-45.0,-58.0,-59.0,-72.0,-60.0,-72.0,-100.0,-39.0,-71.0,-85.0,-31.0,-40.0,-56.0,-67.0,-47.0,-76.0,-86.0,-100.0,-100.0,-100.0,-71.0,-62.0,-82.0,-55.0,-45.0,-58.0,-59.0,-72.0,-60.0,-72.0,-39.0,-71.0,-84.0,-31.0,-40.0,-57.0,-67.0,-50.0,-75.0,-50.0,-76.0,-65.0,-65.0,-53.0,-57.0,-81.0,-100.0,-73.0,-80.0,-58.0,-82.0,-59.0,-74.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 081824,4.0,24.0,34.61514665441176,-8.529264556617647,-36.793235014705886,-0.12676945960735295,0.6521735013235294,9.685214772058824,-0.006517393041544117,0.0020616702647058825,-0.007743615290808824,-0.0673549809657475,0.013120836116928176,-1.7448057278114206,1023.2378004411764,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-84.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-84.0,-62.0,-80.0,-62.0,-41.0,-55.0,-53.0,-75.0,-58.0,-68.0,-100.0,-36.0,-70.0,-82.0,-39.0,-34.0,-100.0,-64.0,-50.0,-74.0,-85.0,-100.0,-70.0,-100.0,-83.0,-63.0,-80.0,-62.0,-41.0,-54.0,-50.0,-75.0,-58.0,-69.0,-36.0,-69.0,-83.0,-39.0,-34.0,-100.0,-64.0,-50.0,-75.0,-54.0,-74.0,-66.0,-58.0,-53.0,-56.0,-68.0,-100.0,-71.0,-81.0,-63.0,-82.0,-63.0,-100.0,-80.0,-72.0,-81.0,-81.0,-73.0,-86.0,-82.0,-78.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 081959,14.0,24.0,25.398157559210528,-2.069999973881579,-43.53394669736842,-0.02046097345263158,0.5115715991447368,9.68536488486842,-0.006840083273355262,0.0017120302874999997,0.0005827331536184204,-0.05280179395585463,0.0021363334009475558,-1.5615358854594983,1023.2415964473686,-78.0,-69.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-64.0,-82.0,-57.0,-42.0,-64.0,-63.0,-77.0,-53.0,-69.0,-100.0,-47.0,-71.0,-85.0,-28.0,-34.0,-59.0,-62.0,-52.0,-71.0,-100.0,-100.0,-72.0,-100.0,-100.0,-65.0,-85.0,-56.0,-42.0,-65.0,-63.0,-76.0,-58.0,-69.0,-47.0,-71.0,-86.0,-37.0,-33.0,-58.0,-63.0,-51.0,-72.0,-55.0,-73.0,-71.0,-61.0,-61.0,-53.0,-72.0,-100.0,-63.0,-82.0,-58.0,-80.0,-55.0,-100.0,-78.0,-100.0,-100.0,-100.0,-74.0,-100.0,-82.0,-100.0,-100.0,-100.0,-90.0,-89.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082008,15.0,24.0,25.261599706666665,-0.8735999806000001,-40.787599506666666,-0.076135614212,0.4779784280666666,9.705806296666667,-0.00018325944833333347,-0.0005986478556666668,0.0029565878673333333,-0.04923133047918474,0.00783438961438302,-1.5248280445734659,1023.2431101333334,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,-80.0,-100.0,-100.0,-100.0,-70.0,-100.0,-78.0,-66.0,-35.0,-47.0,-45.0,-62.0,-58.0,-65.0,-100.0,-69.0,-66.0,-83.0,-55.0,-60.0,-43.0,-54.0,-53.0,-73.0,-81.0,-100.0,-100.0,-100.0,-71.0,-100.0,-78.0,-66.0,-35.0,-47.0,-45.0,-63.0,-57.0,-65.0,-70.0,-66.0,-81.0,-56.0,-58.0,-44.0,-54.0,-52.0,-72.0,-47.0,-70.0,-73.0,-60.0,-100.0,-63.0,-80.0,-76.0,-59.0,-100.0,-84.0,-100.0,-83.0,-100.0,-64.0,-100.0,-100.0,-85.0,-78.0,-100.0,-55.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-76.0,-61.0,-90.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082018,16.0,24.0,23.827455319526624,-1.1201183163905326,-38.26970372189349,-0.07348357493254438,0.5561773107692307,9.699562698224854,-0.0014060743822485212,-0.0005313444059171601,0.0043049733804733726,-0.05733290204458684,0.007568241022936765,-1.5245926732847677,1023.2469624852071,-100.0,-55.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-80.0,-63.0,-79.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-71.0,-100.0,-61.0,-100.0,-59.0,-56.0,-72.0,-68.0,-39.0,-51.0,-41.0,-55.0,-57.0,-61.0,-100.0,-62.0,-69.0,-80.0,-48.0,-61.0,-53.0,-54.0,-54.0,-69.0,-76.0,-100.0,-61.0,-100.0,-56.0,-100.0,-73.0,-67.0,-39.0,-52.0,-43.0,-55.0,-57.0,-62.0,-59.0,-67.0,-81.0,-48.0,-60.0,-54.0,-53.0,-54.0,-70.0,-47.0,-69.0,-72.0,-62.0,-100.0,-66.0,-84.0,-75.0,-79.0,-100.0,-86.0,-100.0,-85.0,-59.0,-55.0,-64.0,-100.0,-100.0,-56.0,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-57.0,-85.0,-85.0,-84.0,-85.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082028,17.0,24.0,23.572899124260356,0.7586981965088758,-39.317395917159764,-0.05459913260473372,0.3242089107218935,9.712114579881657,0.00011928130502958641,-0.0009000320997041417,0.0005060422748520712,-0.033397750386185684,0.0056333258742701665,-1.4819995990166297,1023.2530962130177,-100.0,-59.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-80.0,-69.0,-72.0,-71.0,-50.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-82.0,-69.0,-36.0,-45.0,-34.0,-54.0,-62.0,-66.0,-100.0,-75.0,-66.0,-79.0,-52.0,-59.0,-43.0,-47.0,-55.0,-70.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-82.0,-67.0,-34.0,-44.0,-34.0,-54.0,-100.0,-66.0,-75.0,-65.0,-79.0,-52.0,-59.0,-43.0,-48.0,-56.0,-68.0,-56.0,-73.0,-80.0,-62.0,-100.0,-100.0,-88.0,-69.0,-100.0,-83.0,-88.0,-85.0,-88.0,-100.0,-56.0,-100.0,-100.0,-100.0,-66.0,-82.0,-56.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-76.0,-57.0,-78.0,-100.0,-100.0,-78.0,-100.0,-64.0,-85.0,-75.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082200,26.0,24.0,33.17666632716049,-0.769259239074074,-43.32518456790124,-0.15380529017777778,0.5678839592592593,9.70522171604938,-0.0022662346509259262,-0.00033936957839506184,-0.002062612762345679,-0.05843475557587761,0.01598407895258267,-1.5155253807703655,1023.2961127160494,-100.0,-55.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-85.0,-58.0,-75.0,-100.0,-47.0,-100.0,-100.0,-100.0,-100.0,-66.0,-88.0,-72.0,-100.0,-67.0,-100.0,-53.0,-61.0,-75.0,-70.0,-33.0,-48.0,-35.0,-58.0,-59.0,-69.0,-100.0,-73.0,-64.0,-78.0,-53.0,-63.0,-50.0,-49.0,-56.0,-74.0,-73.0,-100.0,-65.0,-100.0,-56.0,-61.0,-77.0,-73.0,-33.0,-49.0,-37.0,-59.0,-58.0,-69.0,-73.0,-64.0,-76.0,-54.0,-64.0,-51.0,-49.0,-55.0,-74.0,-59.0,-79.0,-77.0,-71.0,-100.0,-100.0,-100.0,-72.0,-100.0,-85.0,-87.0,-88.0,-87.0,-100.0,-63.0,-77.0,-100.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-79.0,-87.0,-100.0,-80.0,-100.0,-100.0,-79.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.09 082210,27.0,24.0,29.51294069934641,2.7901960411764706,-40.4764701503268,-0.18159941583006536,0.6349954936601307,9.681118879084966,0.0016688998098039218,-0.001768714391503268,-0.00024354754183006548,-0.06550199010111143,0.0188446285399407,-1.382689263306412,1023.3108751633987,-76.0,-62.0,-100.0,-63.0,-100.0,-100.0,-100.0,-88.0,-64.0,-48.0,-65.0,-69.0,-56.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-100.0,-87.0,-67.0,-86.0,-67.0,-43.0,-68.0,-100.0,-44.0,-60.0,-58.0,-71.0,-58.0,-77.0,-100.0,-100.0,-62.0,-72.0,-58.0,-68.0,-37.0,-45.0,-54.0,-71.0,-63.0,-90.0,-68.0,-88.0,-67.0,-42.0,-68.0,-100.0,-43.0,-60.0,-59.0,-72.0,-57.0,-76.0,-100.0,-64.0,-73.0,-58.0,-66.0,-38.0,-45.0,-54.0,-72.0,-75.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-83.0,-100.0,-85.0,-100.0,-100.0,-87.0,-100.0,-51.0,-61.0,-73.0,-100.0,-100.0,-74.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
