Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:x7,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:k9,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:d5,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:v1,00:1a:ab:a0:de:a2,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:j9,90:9f:33:a4:06:5c,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:d2,00:1a:ac:a0:de:c9,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:m7,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:q7,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:v4,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:q1,00:1a:ac:a0:de:s9,00:1a:ac:a0:de:u7,00:1a:ac:a0:de:k5,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:q9,00:1a:ac:a0:de:v6,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:d8,00:1a:ac:a0:de:j3
2021.02.13 184148,1.0,24.0,44.475256234234244,-8.976860675675676,-43.48973422522522,-0.03236596777927929,0.8895898639639641,9.731200454954955,0.0013332407980180176,-0.005447363858396398,-0.00046776346270270314,-0.09117405680385793,0.0033273812449486585,-1.6823530143445677,1013.584726036036,-67.0,-51.0,-89.0,-71.0,-88.0,-46.0,-89.0,-71.0,-62.0,-61.0,-80.0,-46.0,-66.0,-60.0,-46.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184159,2.0,24.0,45.933450056074754,-10.421868112149534,-39.48157690654205,-0.005101611616822429,0.8492961342056073,9.73119775233645,0.0012298953352616825,-0.003828311611308411,-0.004104315572429906,-0.08709003278445972,0.0005608260594909515,-1.7208993401482842,1013.5904989719626,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-75.0,-100.0,-51.0,-75.0,-85.0,-60.0,-33.0,-81.0,-74.0,-75.0,-80.0,-71.0,-91.0,-69.0,-52.0,-57.0,-79.0,-78.0,-73.0,-91.0,-65.0,-85.0,-62.0,-86.0,-48.0,-61.0,-61.0,-83.0,-81.0,-45.0,-64.0,-33.0,-44.0,-56.0,-70.0,-76.0,-66.0,-87.0,-62.0,-86.0,-47.0,-61.0,-60.0,-83.0,-80.0,-45.0,-64.0,-33.0,-44.0,-57.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184211,3.0,24.0,47.55363398039217,-10.643404965686273,-37.898402372549015,-0.0747038623382353,1.040594965882353,9.716438112745097,-0.0013034311160392159,-0.002909832807571569,-0.001505840002921568,-0.10670661057035125,0.007693935615094977,-1.7075912590120352,1013.5921505882354,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-79.0,-71.0,-70.0,-46.0,-73.0,-72.0,-46.0,-74.0,-100.0,-57.0,-45.0,-82.0,-72.0,-100.0,-100.0,-67.0,-100.0,-64.0,-45.0,-61.0,-82.0,-100.0,-68.0,-88.0,-65.0,-100.0,-65.0,-82.0,-42.0,-59.0,-62.0,-79.0,-76.0,-40.0,-57.0,-34.0,-46.0,-41.0,-67.0,-68.0,-66.0,-90.0,-67.0,-82.0,-43.0,-59.0,-61.0,-79.0,-77.0,-40.0,-56.0,-35.0,-46.0,-41.0,-66.0,-73.0,-84.0,-72.0,-82.0,-66.0,-75.0,-77.0,-78.0,-75.0,-80.0,-67.0,-80.0,-60.0,-88.0,-90.0,-80.0,-61.0,-70.0,-90.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184221,4.0,24.0,45.93064843925234,-13.552424032710277,-37.03036614018692,0.005002389878504674,0.8274350884112148,9.734247560747665,0.0005394436464485987,-0.0028547094528785046,0.0035103316287850464,-0.08482234493315774,-0.0005086850231865872,-1.7927414134284045,1013.5954200000001,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-73.0,-74.0,-50.0,-75.0,-73.0,-52.0,-75.0,-100.0,-58.0,-51.0,-77.0,-71.0,-80.0,-85.0,-62.0,-100.0,-100.0,-56.0,-58.0,-77.0,-100.0,-100.0,-90.0,-100.0,-87.0,-62.0,-85.0,-46.0,-60.0,-57.0,-77.0,-82.0,-37.0,-58.0,-32.0,-44.0,-49.0,-72.0,-77.0,-100.0,-88.0,-58.0,-85.0,-46.0,-60.0,-56.0,-77.0,-83.0,-38.0,-58.0,-32.0,-44.0,-49.0,-72.0,-82.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-76.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-73.0,-89.0,-100.0,-84.0,-91.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184349,11.0,24.0,36.37741388235294,-8.06915230392157,-44.729557274509794,0.05301433385637255,0.5511327120588234,9.754581009803921,-0.0012967480442156868,-0.00019358384825490194,0.005389222005980393,-0.056456763753850045,-0.005443265159342138,-1.7209718507878922,1013.6142957843134,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-69.0,-51.0,-76.0,-69.0,-51.0,-76.0,-100.0,-70.0,-49.0,-74.0,-65.0,-81.0,-92.0,-62.0,-100.0,-100.0,-64.0,-54.0,-77.0,-79.0,-62.0,-100.0,-69.0,-91.0,-68.0,-81.0,-43.0,-59.0,-57.0,-77.0,-81.0,-46.0,-57.0,-22.0,-42.0,-41.0,-68.0,-66.0,-68.0,-88.0,-58.0,-80.0,-42.0,-59.0,-58.0,-78.0,-81.0,-46.0,-57.0,-23.0,-44.0,-41.0,-70.0,-72.0,-74.0,-100.0,-100.0,-59.0,-76.0,-100.0,-100.0,-78.0,-78.0,-67.0,-100.0,-59.0,-85.0,-100.0,-100.0,-59.0,-70.0,-100.0,-100.0,-100.0,-100.0,-79.0,-83.0,-81.0,-82.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184402,13.0,24.0,37.18818162385321,-8.168514696330275,-44.00722343119267,-0.12312826982018349,0.5092173349541284,9.757164325688073,0.0015580602798165137,-0.0006296229748165138,0.0014620088392660552,-0.05213853552800795,0.01262439896433755,-1.7289014715667164,1013.6146899082569,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-53.0,-79.0,-100.0,-67.0,-40.0,-67.0,-76.0,-65.0,-81.0,-55.0,-86.0,-100.0,-100.0,-61.0,-83.0,-100.0,-60.0,-73.0,-100.0,-84.0,-63.0,-100.0,-41.0,-54.0,-45.0,-69.0,-79.0,-100.0,-80.0,-46.0,-64.0,-48.0,-64.0,-63.0,-59.0,-84.0,-63.0,-90.0,-42.0,-54.0,-45.0,-69.0,-79.0,-100.0,-81.0,-48.0,-64.0,-49.0,-65.0,-63.0,-77.0,-65.0,-87.0,-69.0,-100.0,-81.0,-100.0,-77.0,-82.0,-62.0,-100.0,-61.0,-100.0,-86.0,-81.0,-57.0,-100.0,-85.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-76.0,-100.0,-91.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184413,14.0,24.0,37.949838882882894,-7.62683062072072,-42.363243288288295,0.020395876439099098,0.7221290042342341,9.74203522522523,-0.0009933698740540546,-0.0019893301272702704,-0.0025110603484684666,-0.07399778467443609,-0.0020698493522636903,-1.6879023463876397,1013.6179175675676,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-51.0,-79.0,-100.0,-52.0,-79.0,-100.0,-69.0,-45.0,-73.0,-100.0,-64.0,-76.0,-55.0,-100.0,-61.0,-100.0,-58.0,-83.0,-100.0,-60.0,-72.0,-64.0,-84.0,-63.0,-88.0,-41.0,-50.0,-44.0,-65.0,-82.0,-64.0,-85.0,-47.0,-68.0,-56.0,-72.0,-63.0,-64.0,-84.0,-65.0,-89.0,-40.0,-51.0,-45.0,-65.0,-83.0,-64.0,-85.0,-47.0,-68.0,-56.0,-72.0,-63.0,-74.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,-66.0,-100.0,-63.0,-100.0,-86.0,-100.0,-63.0,-100.0,-86.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-76.0,-92.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184424,15.0,24.0,38.11088245283018,-6.2516805122641514,-39.77786583018868,-0.07565756804716982,0.5071410671226415,9.75129629245283,-0.00017409437855660408,-0.0013746288656698116,0.0015903329145283017,-0.05191570413650343,0.007717778578258901,-1.6802955146105785,1013.6186370754717,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-82.0,-100.0,-55.0,-77.0,-100.0,-70.0,-47.0,-73.0,-100.0,-63.0,-77.0,-55.0,-100.0,-50.0,-74.0,-65.0,-82.0,-100.0,-100.0,-71.0,-100.0,-86.0,-62.0,-100.0,-51.0,-50.0,-44.0,-63.0,-79.0,-67.0,-85.0,-52.0,-64.0,-48.0,-66.0,-60.0,-63.0,-86.0,-66.0,-100.0,-39.0,-50.0,-44.0,-63.0,-79.0,-67.0,-87.0,-51.0,-64.0,-49.0,-66.0,-67.0,-73.0,-100.0,-100.0,-68.0,-100.0,-100.0,-89.0,-67.0,-100.0,-60.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-71.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-77.0,-81.0,-90.0,-91.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184552,23.0,24.0,45.90397903738318,-5.974899116822431,-46.76040347663551,-0.028068775928037387,0.5288344914018692,9.752170528037382,0.0016197208821028036,0.0016234702087850469,0.004944248763738317,-0.05416488706647788,0.002846168859254663,-1.645493402659336,1013.6269748598129,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-54.0,-78.0,-100.0,-68.0,-48.0,-68.0,-100.0,-63.0,-73.0,-62.0,-100.0,-100.0,-100.0,-63.0,-85.0,-100.0,-100.0,-100.0,-100.0,-83.0,-71.0,-100.0,-34.0,-47.0,-43.0,-61.0,-80.0,-67.0,-100.0,-56.0,-67.0,-52.0,-63.0,-58.0,-100.0,-83.0,-72.0,-100.0,-34.0,-47.0,-45.0,-61.0,-79.0,-68.0,-90.0,-55.0,-67.0,-52.0,-63.0,-100.0,-76.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-58.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-81.0,-90.0,-74.0,-100.0,-100.0,-100.0,-100.0,-91.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184604,24.0,24.0,45.17095649107143,-8.155712350892857,-47.093545500000005,-0.068019611711875,0.6866942530357143,9.740029388392857,4.912192517857109e-05,-0.0017099630196964284,-0.002253294465714286,-0.07036719105339471,0.006969194231341365,-1.6773797220417432,1013.6299113392857,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-63.0,-63.0,-51.0,-67.0,-64.0,-50.0,-67.0,-100.0,-100.0,-71.0,-100.0,-100.0,-74.0,-79.0,-100.0,-73.0,-51.0,-100.0,-80.0,-100.0,-57.0,-100.0,-100.0,-58.0,-74.0,-72.0,-100.0,-32.0,-57.0,-46.0,-71.0,-73.0,-69.0,-87.0,-57.0,-78.0,-34.0,-55.0,-49.0,-60.0,-74.0,-75.0,-100.0,-32.0,-57.0,-47.0,-72.0,-73.0,-70.0,-89.0,-57.0,-79.0,-34.0,-56.0,-72.0,-100.0,-100.0,-100.0,-53.0,-100.0,-100.0,-77.0,-53.0,-69.0,-48.0,-100.0,-52.0,-75.0,-87.0,-69.0,-52.0,-63.0,-85.0,-100.0,-58.0,-100.0,-66.0,-100.0,-66.0,-61.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-88.0,-88.0,-66.0,-79.0,-77.0,-70.0,-83.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
