Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:x7,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:m1,00:1a:ac:a0:de:n1,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:g4,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:h3,00:1a:ab:a0:de:a4,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:x8,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:d5,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ab:a0:de:a2,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:m9,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:f2,70:5d:cc:05:03:10,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:r7,90:9f:33:a4:06:5c,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:m8,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:k5,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:f4,00:1a:ac:a0:de:l3,00:1a:ac:a0:de:c9,00:1a:ac:a0:de:d1,00:1a:ac:a0:de:e2,00:1a:ac:a0:de:e5,00:1a:ac:a0:de:j4,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:h5,00:1a:ab:a0:de:a8,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:m7,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:q1,00:1a:ac:a0:de:q9,00:1a:ac:a0:de:s9,00:1a:ac:a0:de:u7,00:1a:ac:a0:de:v6,00:1a:ac:a0:de:x6,00:1a:ab:a0:de:a6,00:1a:ac:a0:de:d8,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:j3,00:1a:ac:a0:de:l6
2021.02.06 173440,1.0,24.0,36.114053657657664,-8.14810792882883,-37.313513027027035,-0.38045242486486486,1.0274027390990992,9.949807959459458,0.004787731008558558,-0.0003240447580540534,-0.0016607882962522526,-0.10283890497442835,0.03825261753455202,-1.6890745034088959,1007.4593124324322,-88.0,-90.0,-66.0,-65.0,-80.0,-85.0,-79.0,-88.0,-84.0,-90.0,-68.0,-88.0,-75.0,-59.0,-62.0,-78.0,-87.0,-93.0,-78.0,-70.0,-85.0,-70.0,-81.0,-54.0,-64.0,-71.0,-80.0,-73.0,-72.0,-51.0,-56.0,-77.0,-87.0,-38.0,-45.0,-62.0,-70.0,-59.0,-71.0,-77.0,-75.0,-69.0,-86.0,-70.0,-80.0,-54.0,-64.0,-71.0,-80.0,-73.0,-73.0,-51.0,-56.0,-78.0,-87.0,-39.0,-45.0,-63.0,-70.0,-59.0,-71.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.06 173456,2.0,24.0,36.47517800892857,-7.458214143749999,-33.10767788392857,-0.2658713909196429,0.9604034852678572,9.96911895982143,-0.00036438111991071443,-0.0005669265320357137,-0.0027966283770357145,-0.09602903973843367,0.026676729442052762,-1.6866902144891875,1007.4575007142857,-89.0,-91.0,-65.0,-63.0,-81.0,-86.0,-76.0,-100.0,-84.0,-84.0,-71.0,-89.0,-79.0,-55.0,-66.0,-80.0,-90.0,-91.0,-79.0,-73.0,-87.0,-73.0,-83.0,-52.0,-61.0,-69.0,-82.0,-73.0,-76.0,-48.0,-56.0,-79.0,-87.0,-42.0,-45.0,-64.0,-72.0,-56.0,-76.0,-80.0,-79.0,-72.0,-87.0,-73.0,-83.0,-51.0,-62.0,-68.0,-82.0,-72.0,-76.0,-49.0,-56.0,-78.0,-88.0,-40.0,-45.0,-64.0,-72.0,-59.0,-76.0,-86.0,-91.0,-81.0,-75.0,-93.0,-91.0,-89.0,-93.0,-90.0,-89.0,-92.0,-84.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.06 173507,3.0,24.0,39.42864808108108,-9.40648624144144,-32.43783732432432,-0.34365393036036046,0.9904316772972973,9.946486184684687,0.004259414550900902,-0.0016228212175135137,-0.0022331307202342345,-0.09919404339145967,0.03454360886065806,-1.726402535094871,1007.4671975675676,-88.0,-91.0,-68.0,-58.0,-71.0,-89.0,-74.0,-100.0,-86.0,-85.0,-76.0,-100.0,-78.0,-56.0,-68.0,-78.0,-100.0,-100.0,-74.0,-73.0,-86.0,-68.0,-82.0,-48.0,-52.0,-71.0,-80.0,-70.0,-73.0,-47.0,-55.0,-100.0,-87.0,-41.0,-40.0,-58.0,-66.0,-60.0,-72.0,-76.0,-78.0,-72.0,-86.0,-67.0,-82.0,-49.0,-52.0,-70.0,-80.0,-71.0,-73.0,-46.0,-55.0,-100.0,-87.0,-41.0,-40.0,-58.0,-66.0,-60.0,-73.0,-83.0,-100.0,-77.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-90.0,-89.0,-78.0,-80.0,-89.0,-83.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.06 173517,4.0,24.0,36.88460138053098,-12.105663455752213,-29.39415890265487,-0.3210447068141593,0.967965049823009,9.959907761061945,0.004867503984867256,-0.002627293457309734,-0.0057071193180000005,-0.09685075922613647,0.03221483156497099,-1.8185407197580927,1007.468343539823,-91.0,-88.0,-64.0,-57.0,-77.0,-82.0,-77.0,-100.0,-82.0,-88.0,-74.0,-87.0,-74.0,-58.0,-64.0,-74.0,-83.0,-100.0,-77.0,-76.0,-88.0,-67.0,-86.0,-47.0,-51.0,-61.0,-81.0,-67.0,-77.0,-45.0,-55.0,-75.0,-100.0,-42.0,-44.0,-57.0,-65.0,-66.0,-73.0,-77.0,-82.0,-75.0,-88.0,-67.0,-86.0,-47.0,-51.0,-62.0,-82.0,-67.0,-76.0,-45.0,-55.0,-100.0,-100.0,-42.0,-44.0,-58.0,-65.0,-62.0,-73.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-83.0,-83.0,-100.0,-87.0,-83.0,-93.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.06 173527,5.0,24.0,32.75464230357143,-16.482857,-28.326428285714286,-0.3183316609107143,0.6704397026785714,9.987353928571428,-0.0014006702505357145,-0.001472316221607143,0.0002849687258392859,-0.06702734207335323,0.03187145921401675,-1.997979359967368,1007.4708698214287,-90.0,-90.0,-68.0,-59.0,-72.0,-100.0,-72.0,-100.0,-82.0,-84.0,-69.0,-87.0,-69.0,-62.0,-61.0,-75.0,-87.0,-100.0,-78.0,-78.0,-84.0,-63.0,-84.0,-50.0,-60.0,0.0,-75.0,-67.0,-79.0,-50.0,-56.0,-78.0,-88.0,-38.0,-36.0,-57.0,-67.0,0.0,-79.0,-77.0,-77.0,-79.0,-85.0,-61.0,-84.0,-50.0,-60.0,0.0,-77.0,-67.0,-79.0,-49.0,-56.0,-78.0,-88.0,-37.0,-36.0,-56.0,-67.0,0.0,-79.0,-87.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-87.0,-83.0,-77.0,-86.0,-100.0,-100.0,-100.0,-78.0,-75.0,-92.0,-89.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.06 173537,6.0,24.0,30.476841692982454,-17.178420824561403,-27.962631122807014,-0.27750485034210526,0.9972994719298245,9.954701530701753,0.0011982818546491243,-0.004265704035754386,-0.005833730977789473,-0.09981572392739745,0.0279814191611908,-2.0176952878634133,1007.4728100877193,-84.0,-84.0,-65.0,-49.0,-58.0,-100.0,-74.0,-100.0,-83.0,-84.0,-71.0,-88.0,-70.0,-71.0,-57.0,-64.0,-85.0,-88.0,-79.0,-70.0,-84.0,-63.0,-77.0,-49.0,-59.0,-61.0,-75.0,-66.0,-81.0,-56.0,-64.0,-78.0,-86.0,-32.0,-34.0,-58.0,-67.0,-65.0,-76.0,-80.0,-71.0,-71.0,-86.0,-65.0,-77.0,-49.0,-59.0,-59.0,-75.0,-66.0,-81.0,-57.0,-64.0,-77.0,-87.0,-33.0,-35.0,-61.0,-67.0,-64.0,-77.0,-77.0,-100.0,-67.0,-88.0,-100.0,-89.0,-89.0,-100.0,-100.0,-100.0,-90.0,-87.0,-70.0,-84.0,-89.0,-100.0,-100.0,-77.0,-79.0,-100.0,-88.0,-92.0,-87.0,-89.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.06 173548,7.0,24.0,29.683683780701752,-13.622104995614034,-29.563683903508764,-0.34074310885964915,1.0136813463157894,9.95033303508772,0.0003570024942105268,-0.0009005867853684207,-0.006814330425438595,-0.10147704373587639,0.03422939025780606,-1.9201964422276145,1007.4742370175438,-100.0,-90.0,-64.0,-58.0,-68.0,-100.0,-74.0,-100.0,-100.0,-100.0,-65.0,-100.0,-70.0,-65.0,-57.0,-71.0,-100.0,-89.0,-77.0,-73.0,-88.0,-67.0,-80.0,-49.0,-61.0,-61.0,-75.0,-65.0,-79.0,-56.0,-65.0,-77.0,-100.0,-33.0,-40.0,-60.0,-63.0,-65.0,-74.0,-75.0,-75.0,-72.0,-88.0,-66.0,-80.0,-48.0,-61.0,-61.0,-75.0,-65.0,-79.0,-59.0,-65.0,-100.0,-100.0,-34.0,-41.0,-61.0,-63.0,-62.0,-74.0,-78.0,-100.0,-73.0,-85.0,-83.0,-90.0,-100.0,-88.0,-100.0,-87.0,-100.0,-79.0,-75.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.06 173558,8.0,24.0,28.53132713274336,-10.361415699115044,-31.76761025663717,-0.3510261130973451,0.8467681285840709,9.974506433628317,0.002564596129292036,-0.002973270311292035,-0.004182659238371682,-0.08466527887941458,0.035212461622349416,-1.8394617591284017,1007.4789372566371,-89.0,-74.0,-100.0,-54.0,-69.0,-74.0,-70.0,-100.0,-80.0,-83.0,-68.0,-100.0,-70.0,-65.0,-52.0,-70.0,-87.0,-100.0,-81.0,-73.0,-86.0,-65.0,-82.0,-49.0,-60.0,-59.0,-76.0,-65.0,-79.0,-62.0,-68.0,-84.0,-89.0,-42.0,-45.0,-62.0,-67.0,-67.0,-74.0,-79.0,-72.0,-75.0,-87.0,-65.0,-82.0,-49.0,-60.0,-60.0,-75.0,-63.0,-79.0,-60.0,-69.0,-85.0,-100.0,-42.0,-45.0,-63.0,-67.0,-68.0,-74.0,-76.0,-100.0,-69.0,-100.0,-74.0,-100.0,-90.0,-100.0,-92.0,-100.0,-100.0,-82.0,-71.0,-100.0,-81.0,-81.0,-100.0,-78.0,-100.0,-100.0,-89.0,-100.0,-92.0,-100.0,-95.0,-87.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.06 173608,9.0,24.0,26.834999551724135,-8.154310154310345,-34.00603396551725,-0.2519767827275862,0.9424154625000002,9.969306185344827,0.0048187578920689655,0.0007889009092068969,-0.00652802198539655,-0.09426229771483557,0.025294479276735997,-1.7550823236333912,1007.4779812931033,-91.0,-87.0,-64.0,-53.0,-72.0,-79.0,-72.0,-100.0,-81.0,-84.0,-64.0,-84.0,-67.0,-64.0,-61.0,-71.0,-100.0,-86.0,-100.0,-67.0,-87.0,-61.0,-79.0,-48.0,-54.0,-61.0,-73.0,-63.0,-76.0,-59.0,-70.0,-79.0,-88.0,-47.0,-52.0,-59.0,-62.0,-66.0,-72.0,-100.0,-65.0,-66.0,-88.0,-61.0,-79.0,-48.0,-54.0,-61.0,-70.0,-65.0,-76.0,-60.0,-70.0,-81.0,-88.0,-47.0,-52.0,-59.0,-62.0,-67.0,-72.0,-76.0,-100.0,-71.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-81.0,-70.0,-65.0,-100.0,-80.0,-83.0,-89.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-88.0,-85.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.06 173618,10.0,24.0,25.916315543859646,-7.081052514912281,-36.1010522631579,-0.24272485947368422,0.9344182486842105,9.966252868421051,0.0030683868138596496,-0.0016775645095438601,-0.004092229211561403,-0.09349126238049119,0.024397460269954076,-1.7136509878593578,1007.4807867543859,-100.0,-91.0,-62.0,-57.0,-72.0,-77.0,-71.0,-100.0,-84.0,-82.0,-64.0,-87.0,-63.0,-70.0,-57.0,-79.0,-87.0,-87.0,-81.0,-72.0,-88.0,-59.0,-85.0,-50.0,-51.0,-56.0,-71.0,-67.0,-77.0,-64.0,-74.0,-79.0,-87.0,-44.0,-62.0,-59.0,-64.0,-63.0,-72.0,-81.0,-73.0,-72.0,-88.0,-63.0,-85.0,-50.0,-51.0,-57.0,-70.0,-67.0,-78.0,-63.0,-74.0,-78.0,-86.0,-44.0,-62.0,-60.0,-64.0,-63.0,-72.0,-74.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-72.0,-68.0,-88.0,-87.0,-83.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
