Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:w6,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:d7,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:b1,90:9f:33:a4:06:5c,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:d9,00:1a:ac:a0:de:m8,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:i9
2021.02.11 120902,46.0,24.0,24.200806241935485,3.0725805967741935,-28.455967362903227,-0.20512902251612902,0.6076831500806452,9.710939955645165,0.00316763183467742,-0.0047982479633064505,-0.005044564581048387,-0.06250562879347028,0.021085503415369775,-1.3668285252586487,1020.1812066129032,-84.0,-83.0,-76.0,-69.0,-81.0,-77.0,-72.0,-91.0,-60.0,-86.0,-64.0,-85.0,-70.0,-92.0,-81.0,-78.0,-72.0,-91.0,-61.0,-85.0,-65.0,-86.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120915,47.0,24.0,24.82657316783217,5.1927272013986014,-28.004475132867128,-0.08126891642867133,0.6856625309090909,9.698425503496505,0.0046177993706293715,-0.001029500224475524,-0.002358025243706293,-0.07061394890184167,0.008369284686603595,-1.2869121278082574,1020.1799001398603,-55.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-82.0,-60.0,-82.0,-100.0,-100.0,-30.0,-41.0,-100.0,-80.0,-100.0,-82.0,-60.0,-81.0,-63.0,-100.0,-30.0,-48.0,-73.0,-85.0,-75.0,-70.0,-84.0,-73.0,-80.0,-53.0,-65.0,-60.0,-55.0,-73.0,-85.0,-76.0,-61.0,-87.0,-60.0,-77.0,-73.0,-65.0,-64.0,-88.0,-63.0,-70.0,-61.0,-65.0,-42.0,-60.0,-79.0,-57.0,-83.0,-61.0,-71.0,-71.0,-88.0,-54.0,-65.0,-90.0,-40.0,-64.0,-71.0,-66.0,-42.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120927,48.0,24.0,25.559515774193542,3.5138709120967744,-26.440160967741935,-0.02201120913064516,0.8765095176612904,9.697154016129033,0.0035617383903225807,-0.0006552021754032257,-0.004955890624596774,-0.09017474955368424,0.0022611911947204074,-1.3438142451547808,1020.1772145967742,-52.0,-100.0,-51.0,-72.0,-100.0,-83.0,-64.0,-80.0,-75.0,-88.0,-66.0,-100.0,-36.0,-41.0,-100.0,-83.0,-64.0,-81.0,-75.0,-86.0,-66.0,-100.0,-37.0,-53.0,-100.0,-84.0,-75.0,-72.0,-100.0,-100.0,-69.0,-56.0,-69.0,-61.0,-55.0,-71.0,-83.0,-100.0,-59.0,-80.0,-65.0,-72.0,-73.0,-60.0,-67.0,-100.0,-63.0,-71.0,-65.0,-65.0,-38.0,-51.0,-100.0,-56.0,-81.0,-67.0,-72.0,-74.0,-84.0,-60.0,-68.0,-100.0,-41.0,-63.0,-71.0,-65.0,-39.0,-51.0,-75.0,-75.0,-64.0,-83.0,-80.0,-81.0,-85.0,-81.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120939,48.0,23.0,12.87434756884058,-31.302608304347828,-28.300434413043476,0.1002268348173913,0.8209162416666667,9.676218144927535,0.0015891349177536236,-0.0013589538811594204,-0.0016555333934782607,-0.0846417786526507,-0.01035533715111193,-2.712975643683171,1020.1769127536232,-52.0,-100.0,-51.0,-100.0,-100.0,-84.0,-69.0,-86.0,-65.0,-78.0,-71.0,-100.0,-32.0,-45.0,-100.0,-85.0,-70.0,-85.0,-66.0,-78.0,-70.0,-100.0,-31.0,-54.0,-63.0,-83.0,-75.0,-67.0,-83.0,-72.0,-71.0,-58.0,-68.0,-60.0,-51.0,-66.0,-100.0,-75.0,-53.0,-82.0,-60.0,-72.0,-74.0,-53.0,-66.0,-90.0,-67.0,-71.0,-58.0,-68.0,-37.0,-52.0,-78.0,-51.0,-82.0,-55.0,-74.0,-72.0,-100.0,-53.0,-64.0,-100.0,-46.0,-67.0,-72.0,-68.0,-38.0,-51.0,-86.0,-74.0,-61.0,-100.0,-100.0,-78.0,-100.0,-100.0,-57.0,-90.0,-64.0,-89.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 121106,48.0,15.0,11.508907319327731,-36.302520621848736,-30.814285252100834,-0.03997713256554623,0.6922260828571429,9.700701668067227,0.004630256002941177,-0.002920859949159664,-0.003331525647478992,-0.07123362219759391,0.0041401211633581144,-2.8187392839864525,1020.2910465546216,-52.0,-100.0,-47.0,-100.0,-100.0,-100.0,-66.0,-82.0,-62.0,-78.0,-77.0,-100.0,-49.0,-63.0,-100.0,-100.0,-65.0,-82.0,-63.0,-78.0,-70.0,-100.0,-49.0,-59.0,-100.0,-87.0,-100.0,-64.0,-81.0,-68.0,-100.0,-54.0,-67.0,-61.0,-51.0,-73.0,-100.0,-100.0,-60.0,-87.0,-63.0,-73.0,-75.0,-100.0,-79.0,-100.0,-65.0,-76.0,-58.0,-67.0,-51.0,-62.0,-100.0,-100.0,-87.0,-63.0,-73.0,-73.0,-100.0,-100.0,-78.0,-100.0,-63.0,-69.0,-76.0,-67.0,-49.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-89.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 121117,48.0,14.0,14.434559828,-32.64479960800001,-34.48559949599999,-0.06602250640480001,0.6116706544,9.714904304,0.0056590555952,-0.004007276062399999,-0.0030250047408,-0.06285355222225186,0.006781775591368378,-2.7048453006744384,1020.32620992,-54.0,-100.0,-36.0,-61.0,-100.0,-100.0,-100.0,-100.0,-66.0,-70.0,-100.0,-100.0,-58.0,-71.0,-100.0,-100.0,-100.0,-100.0,-66.0,-70.0,-100.0,-100.0,-59.0,-69.0,-100.0,-100.0,-76.0,-62.0,-100.0,-58.0,-63.0,-59.0,-78.0,-64.0,-48.0,-73.0,-100.0,-83.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-83.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-88.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 121128,48.0,13.0,9.262272454545455,-31.9386358939394,-32.8199996439394,-0.05787801273560606,0.8483817400757576,9.686740507575758,0.005539437009848484,-0.002105634009469696,-0.003058954047348485,-0.08735534893066592,0.005970345928224644,-2.8382559328368218,1020.3648087878788,-70.0,-100.0,-41.0,-61.0,-100.0,-100.0,-77.0,-100.0,-60.0,-81.0,-100.0,-100.0,-55.0,-74.0,-100.0,-100.0,-77.0,-100.0,-60.0,-84.0,-100.0,-100.0,-56.0,-66.0,-100.0,-100.0,-100.0,-63.0,-100.0,-51.0,-66.0,-51.0,-80.0,-60.0,-51.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-72.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-70.0,-86.0,-100.0,-81.0,-100.0,-100.0,-88.0,-100.0,-87.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 121150,50.0,13.0,-13.080888666666667,13.234221855555557,-35.58311066666666,-0.10733117495555554,0.8603342071111111,9.671652644444443,0.004117684362592593,-0.002782830611481481,-0.012067982303703702,-0.08874008992203955,0.011154762432310802,0.6898290629740115,1020.3495752592597,-70.0,-100.0,-35.0,-62.0,-100.0,-100.0,-100.0,-100.0,-66.0,-78.0,-100.0,-100.0,-61.0,-73.0,-100.0,-100.0,-100.0,-100.0,-66.0,-78.0,-100.0,-100.0,-60.0,-66.0,-100.0,-100.0,-100.0,-59.0,-79.0,-50.0,-64.0,-54.0,-77.0,-64.0,-45.0,-70.0,-86.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-75.0,-100.0,-76.0,-100.0,-87.0,-85.0,-87.0,-84.0,-88.0,-84.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 121308,49.0,19.0,-17.466773991935487,-16.401290088709676,-28.496612637096778,-0.15320960065161288,0.7873448069354838,9.698119358870965,0.0012611411963709676,-0.0012709937911290323,-0.0005566755520161292,-0.08099916469185581,0.01578246970565219,2.23642195616999,1020.5167967741936,-50.0,-100.0,-49.0,-59.0,-100.0,-100.0,-73.0,-82.0,-47.0,-61.0,-77.0,-100.0,-57.0,-74.0,-100.0,-100.0,-73.0,-82.0,-47.0,-62.0,-75.0,-100.0,-57.0,-76.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-69.0,-60.0,-76.0,-72.0,-59.0,-74.0,-90.0,-100.0,-74.0,-86.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-81.0,-83.0,-100.0,-74.0,-88.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-77.0,-85.0,-89.0,-89.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-90.0,-100.0,-80.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 121324,48.0,19.0,10.365531702127658,-24.07404225531915,-27.402978347517735,-0.18895515273758864,0.680734369716312,9.67418789007092,0.0024001372226950357,-0.006022004980851065,-0.0062949446741134745,-0.07022663554612622,0.01954218197867801,-2.722894327014896,1020.5082173049645,-100.0,-100.0,-54.0,-58.0,-90.0,-100.0,-67.0,-78.0,-51.0,-58.0,-100.0,-100.0,-61.0,-73.0,-100.0,-100.0,-100.0,-78.0,-50.0,-58.0,-70.0,-100.0,-62.0,-80.0,-58.0,-100.0,-100.0,-66.0,-75.0,-55.0,-100.0,-64.0,-76.0,-100.0,-100.0,-86.0,-100.0,-68.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-83.0,-100.0,-75.0,-91.0,-68.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-73.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-85.0,-85.0,-72.0,-100.0,-85.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
