Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:c9,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:w2,4e:95:09:85:48:c1,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:m8,00:1a:cs:a0:de:10,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:j4,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:d9,00:1a:ac:a0:de:e2,00:1a:ac:a0:de:e5,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:f4,00:1a:ac:a0:de:d7,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:u6,00:1a:ab:a0:de:a3,00:1a:ac:a0:de:d2,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u9,70:5d:cc:b5:7e:cc,00:0f:00:f0:05:c3,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,70:5d:cc:05:03:10
2021.02.08 165546,46.0,24.0,22.842999733333333,3.1929999658333332,-26.131499508333334,-0.0330000802225,0.8623515430833334,9.738455329166667,-0.0007024950308333331,0.002066760732916667,-0.008251771222083332,-0.08832354396581647,0.003444648940716443,-1.3337895462910334,1019.394845,-47.0,-88.0,-75.0,-83.0,-70.0,-87.0,-58.0,-72.0,-66.0,-70.0,-68.0,-61.0,-54.0,-63.0,-80.0,-72.0,-67.0,-78.0,-83.0,-68.0,-85.0,-60.0,-71.0,-84.0,-58.0,-68.0,-86.0,-74.0,-71.0,-90.0,-33.0,-39.0,-63.0,-73.0,-49.0,-62.0,-43.0,-60.0,-74.0,-66.0,-79.0,-80.0,-67.0,-87.0,-58.0,-71.0,-85.0,-57.0,-69.0,-87.0,-72.0,-90.0,-33.0,-39.0,-64.0,-73.0,-49.0,-62.0,-43.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 165555,47.0,24.0,24.6398434765625,4.3218749484375,-24.787030968750003,-0.1297358041046875,0.8057049820312501,9.738920433593751,-0.0030543260417968754,0.0023480133386718748,-0.008270542755468749,-0.08254386225598861,0.013342021387415987,-1.314123947173357,1019.4188475000001,-55.0,-90.0,-72.0,-82.0,-66.0,-88.0,-57.0,-100.0,-54.0,-73.0,-100.0,-61.0,-49.0,-66.0,-100.0,-78.0,-55.0,-85.0,-88.0,-63.0,-88.0,-69.0,-71.0,-100.0,-56.0,-63.0,-82.0,-79.0,-66.0,-100.0,-33.0,-42.0,-63.0,-77.0,-61.0,-65.0,-51.0,-59.0,-74.0,-57.0,-83.0,-100.0,-62.0,-87.0,-68.0,-72.0,-100.0,-56.0,-64.0,-80.0,-66.0,-100.0,-32.0,-45.0,-62.0,-77.0,-61.0,-65.0,-52.0,-60.0,-58.0,-76.0,-89.0,-73.0,-72.0,-68.0,-69.0,-80.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 165604,48.0,24.0,24.99677393548387,3.389516078225807,-22.836290032258066,-0.189392939516129,0.988148831048387,9.680433294354838,0.004202161828629032,0.002236554906048386,-0.0019261960737903222,-0.101714116310881,0.0195953931843471,-1.34104730813734,1019.4259896774195,-48.0,-100.0,-73.0,-83.0,-66.0,-87.0,-59.0,-76.0,-57.0,-69.0,-100.0,-100.0,-50.0,-100.0,-100.0,-74.0,-57.0,-82.0,-83.0,-61.0,-82.0,-68.0,-70.0,-83.0,-59.0,-68.0,-82.0,-100.0,-100.0,-100.0,-42.0,-36.0,-69.0,-75.0,-60.0,-65.0,-41.0,-51.0,-75.0,-56.0,-80.0,-82.0,-59.0,-83.0,-62.0,-70.0,-85.0,-59.0,-68.0,-83.0,-73.0,-100.0,-41.0,-37.0,-68.0,-75.0,-60.0,-65.0,-41.0,-51.0,-52.0,-70.0,-100.0,-100.0,-77.0,-100.0,-66.0,-100.0,-70.0,-61.0,-84.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 165613,48.0,23.0,11.91903591566265,-31.893613921686747,-25.143252753012046,-0.05016285264277107,0.9095370328313253,9.729098171686747,0.0015786818900602412,0.0002796732180722895,-0.0039338249195783135,-0.09321147845272554,0.00514955675583905,-2.7603243991553064,1019.399331807229,-52.0,-100.0,-100.0,-83.0,-64.0,-100.0,-56.0,-75.0,-65.0,-66.0,-100.0,-100.0,-54.0,-71.0,-100.0,-72.0,-55.0,-80.0,-100.0,-62.0,-85.0,-100.0,-64.0,-100.0,-49.0,-68.0,-80.0,-80.0,-72.0,-100.0,-36.0,-36.0,-69.0,-76.0,-67.0,-68.0,-40.0,-56.0,-69.0,-54.0,-80.0,-100.0,-62.0,-87.0,-100.0,-64.0,-100.0,-48.0,-69.0,-81.0,-100.0,-100.0,-36.0,-37.0,-68.0,-75.0,-68.0,-66.0,-41.0,-57.0,-54.0,-100.0,-100.0,-63.0,-100.0,-100.0,-63.0,-80.0,-60.0,-58.0,-100.0,-89.0,-70.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 165749,48.0,14.0,12.175318886524822,-32.61191434751774,-31.64510606382979,-0.10811263947943262,0.8306861049645391,9.68437595035461,0.0004938911624113468,0.0033489279265957444,0.002876698661347517,-0.08556429698323523,0.01121143763342831,-2.7638428887576922,1019.6348390780139,-69.0,-100.0,-100.0,-100.0,-72.0,-90.0,-52.0,-100.0,-54.0,-66.0,-69.0,-59.0,-49.0,-66.0,-100.0,-78.0,-70.0,-100.0,-100.0,-74.0,-100.0,-70.0,-75.0,-100.0,-84.0,-100.0,-76.0,-100.0,-77.0,-100.0,-59.0,-66.0,-81.0,-88.0,-63.0,-75.0,-66.0,-82.0,-75.0,-71.0,-100.0,-100.0,-78.0,-100.0,-74.0,-76.0,-100.0,-83.0,-100.0,-77.0,-79.0,-100.0,-46.0,-68.0,-81.0,-100.0,-63.0,-75.0,-66.0,-81.0,-59.0,-77.0,-100.0,-64.0,-73.0,-63.0,-100.0,-100.0,-55.0,-100.0,-100.0,-100.0,-70.0,-100.0,-84.0,-88.0,-90.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 165757,48.0,13.0,7.91812486796875,-32.504061859375,-30.0735932890625,-0.153659116734375,1.018583188046875,9.679738699218753,0.0034599791109375007,-0.0008256225160156254,-0.005683910330859375,-0.10482630698243153,0.015906793332987897,-2.8919379245489836,1019.67409,-100.0,-100.0,-76.0,-100.0,-59.0,-100.0,-40.0,-100.0,-55.0,-78.0,-53.0,-60.0,-55.0,-72.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-57.0,-67.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-58.0,-67.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-60.0,-100.0,-100.0,-57.0,-67.0,-69.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-85.0,-82.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 165806,49.0,13.0,24.98675125477707,1.9574522056687895,-36.06726059235669,-0.09828426696560509,1.016529253312102,9.659841353503184,0.004248820570700636,0.001996011986942675,-0.0008365352659235668,-0.10484221663065013,0.01021562324344491,-1.341275865105307,1019.6580350955415,-60.0,-100.0,-100.0,-100.0,-63.0,-100.0,-35.0,-100.0,-60.0,-80.0,-60.0,-64.0,-49.0,-71.0,-100.0,-81.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-57.0,-66.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-82.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-58.0,-66.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-60.0,-68.0,-100.0,-65.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-88.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 165816,50.0,13.0,-13.635731396341464,13.905365506097562,-35.22073124390244,-0.1529223337304878,0.8001889172560976,9.684458234756098,-0.0016947785993902433,0.0004842223237804878,-0.019171484283231708,-0.08243794957312138,0.015855493567736276,0.7026047008793529,1019.6779500609754,-100.0,-100.0,-65.0,-100.0,-63.0,-100.0,-45.0,-100.0,-60.0,-74.0,-66.0,-67.0,-52.0,-67.0,-100.0,-82.0,-100.0,-87.0,-100.0,-78.0,-86.0,-100.0,-87.0,-100.0,-100.0,-100.0,-71.0,-100.0,-73.0,-100.0,-61.0,-65.0,-100.0,-100.0,-75.0,-82.0,-100.0,-100.0,-82.0,-100.0,-88.0,-100.0,-78.0,-86.0,-100.0,-86.0,-100.0,-100.0,-100.0,-72.0,-70.0,-100.0,-59.0,-65.0,-100.0,-100.0,-75.0,-80.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-56.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-82.0,-88.0,-88.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 165955,48.0,17.0,3.3982142339285715,-26.813213892857146,-29.529642446428575,0.05138982992619047,0.5538159082142856,9.733883532738094,-0.0009962921467261904,-0.00028361591904761907,-0.001443532861904762,-0.05684966434325486,-0.005220319271719745,-3.001027829590298,1019.9190704761904,-78.0,-100.0,-58.0,-100.0,-69.0,-100.0,-50.0,-100.0,-63.0,-82.0,-51.0,-77.0,-57.0,-76.0,-88.0,-72.0,-74.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-63.0,-100.0,-79.0,-100.0,-60.0,-78.0,-100.0,-100.0,-100.0,-100.0,-70.0,-85.0,-75.0,-74.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-78.0,-100.0,-60.0,-78.0,-100.0,-100.0,-100.0,-100.0,-69.0,-82.0,-57.0,-100.0,-100.0,-53.0,-64.0,-57.0,-57.0,-100.0,-71.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-74.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 170006,48.0,16.0,1.1619428328,-30.619199497142855,-31.862399560000004,0.044080673484571425,0.6621814648000001,9.711579754285713,0.003211406064571428,0.0004049163899999999,-0.0005550146657142854,-0.06808706232479636,-0.0044897421992455624,-2.988074858529227,1019.9489692571426,-100.0,-100.0,-68.0,-100.0,-76.0,-100.0,-52.0,-100.0,-72.0,-100.0,-58.0,-100.0,-59.0,-100.0,-100.0,-76.0,-71.0,-82.0,-100.0,-73.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-77.0,-100.0,-67.0,-79.0,-100.0,-100.0,-82.0,-100.0,-73.0,-100.0,-76.0,-71.0,-82.0,-100.0,-74.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-77.0,-100.0,-67.0,-82.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-65.0,-100.0,-100.0,-56.0,-53.0,-61.0,-59.0,-100.0,-70.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-74.0,-82.0,-100.0,-100.0,-100.0,-87.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
