Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ab:a0:de:a1,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j2,00:1a:cs:a0:de:10,00:1a:ac:a0:de:d7,00:1a:ac:a0:de:d9,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:j4,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:m8,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:u6,90:9f:33:17:06:00,00:1a:ac:a0:de:f4,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:i9,00:1a:ab:a0:de:a3,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:d2,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:u9
2021.02.11 122655,46.0,24.0,23.499291867256638,6.453451238053098,-32.38407024778761,-0.27034116955752213,0.40882772194690264,9.97509974778761,-0.0031486590373451325,-0.0009509498162123894,0.00045175918115044266,-0.04097363321456757,0.027088920610536475,-1.238073347944074,1018.3515774336284,-59.0,-59.0,-89.0,-67.0,-87.0,-80.0,-77.0,-56.0,-85.0,-78.0,-66.0,-60.0,-85.0,-54.0,-64.0,-60.0,-84.0,-54.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122707,47.0,24.0,24.858947149122805,6.9668419798245615,-31.675262657894738,-0.22233151791228073,0.62830811377193,9.971377486842107,0.005566911519824562,-0.0013234344207543863,0.003499636454210526,-0.06292826786898725,0.022280182742530002,-1.2142351928510164,1018.3397242105264,-100.0,-100.0,-100.0,-100.0,-84.0,-81.0,-78.0,-89.0,-69.0,-100.0,-100.0,-100.0,-80.0,-51.0,-65.0,-100.0,-80.0,-52.0,-65.0,-63.0,-61.0,-69.0,-57.0,-81.0,-70.0,-65.0,-60.0,-71.0,-74.0,-78.0,-72.0,-84.0,-63.0,-72.0,-58.0,-68.0,-71.0,-80.0,-76.0,-45.0,-44.0,-71.0,-74.0,-66.0,-66.0,-76.0,-73.0,-86.0,-63.0,-72.0,-58.0,-68.0,-69.0,-80.0,-76.0,-45.0,-44.0,-70.0,-74.0,-65.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122719,48.0,24.0,23.789268040650406,7.259999868292683,-27.626341008130083,-0.2796629760487805,0.5082675610569106,9.987571398373984,0.0034369861224390237,-0.0028289019942926833,0.0028751787865853645,-0.050841074876063194,0.027987538632459702,-1.2087849010296954,1018.334803902439,-100.0,-100.0,-100.0,-100.0,-85.0,-76.0,-82.0,-87.0,-70.0,-83.0,-68.0,-62.0,-82.0,-49.0,-64.0,-58.0,-81.0,-49.0,-64.0,-48.0,-63.0,-68.0,-60.0,-100.0,-77.0,-67.0,-57.0,-72.0,-100.0,-80.0,-73.0,-84.0,-66.0,-74.0,-62.0,-68.0,-67.0,-83.0,-100.0,-39.0,-45.0,-72.0,-72.0,-68.0,-72.0,-79.0,-72.0,-84.0,-64.0,-74.0,-64.0,-68.0,-68.0,-82.0,-100.0,-38.0,-45.0,-73.0,-72.0,-67.0,-72.0,-81.0,-90.0,-90.0,-77.0,-90.0,-78.0,-90.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122732,48.0,23.0,11.59363615,-29.39563594545454,-32.00945404545455,-0.1988554070145455,0.5123748097272728,9.975484745454546,0.001069014213636364,-0.005001875600581819,0.004148108106636363,-0.051322192427786864,0.019947746955916577,-2.765467509356412,1018.3313137272729,-100.0,-100.0,-100.0,-100.0,-83.0,-78.0,-78.0,-100.0,-61.0,-100.0,-100.0,-71.0,-76.0,-49.0,-54.0,-71.0,-76.0,-50.0,-54.0,-61.0,-60.0,-63.0,-100.0,-81.0,-76.0,-58.0,-59.0,-70.0,-70.0,-100.0,-76.0,-87.0,-60.0,-75.0,-61.0,-73.0,-65.0,-80.0,-73.0,-42.0,-47.0,-70.0,-70.0,-61.0,-69.0,-80.0,-77.0,-89.0,-59.0,-75.0,-64.0,-73.0,-65.0,-80.0,-100.0,-42.0,-47.0,-70.0,-70.0,-61.0,-69.0,-83.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-87.0,-92.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122743,48.0,22.0,11.469729441441443,-29.640540153153154,-31.19999956756756,-0.2539441198198198,0.5146396633333333,9.985204423423427,0.0022665300958558568,-0.002920981574756757,0.0016537167675675676,-0.05148401460400569,0.025430281705281707,-2.777484532949087,1018.3278459459459,-100.0,-100.0,-100.0,-100.0,-88.0,-85.0,-74.0,-100.0,-56.0,-100.0,-70.0,-66.0,-81.0,-55.0,-59.0,-66.0,-81.0,-55.0,-59.0,-62.0,-67.0,-64.0,-53.0,-100.0,-78.0,-61.0,-100.0,-74.0,-100.0,-100.0,-74.0,-79.0,-61.0,-66.0,-70.0,-77.0,-68.0,-74.0,-76.0,-51.0,-67.0,-73.0,-74.0,-65.0,-61.0,-100.0,-72.0,-80.0,-61.0,-67.0,-69.0,-77.0,-68.0,-74.0,-76.0,-51.0,-67.0,-71.0,-75.0,-68.0,-61.0,-100.0,-100.0,-100.0,-77.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122755,48.0,21.0,15.981538290598294,-26.213845854700857,-21.5635895042735,-0.24802231264102562,0.5592371109401709,9.982509324786324,-0.001242875819316239,0.0021292046926153843,0.00507859785871795,-0.055957453436831076,0.02483990289963395,-2.587547422474266,1018.3274872649572,-100.0,-100.0,-100.0,-100.0,-87.0,-85.0,-77.0,-100.0,-56.0,-100.0,-100.0,-67.0,-85.0,-65.0,-71.0,-100.0,-87.0,-65.0,-71.0,-66.0,-71.0,-65.0,-59.0,-100.0,-100.0,-65.0,-52.0,-68.0,-100.0,-84.0,-74.0,-87.0,-67.0,-78.0,-100.0,-85.0,-67.0,-80.0,-79.0,-53.0,-62.0,-78.0,-84.0,-73.0,-67.0,-100.0,-100.0,-86.0,-69.0,-78.0,-100.0,-85.0,-66.0,-80.0,-100.0,-52.0,-62.0,-82.0,-84.0,-72.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-83.0,-78.0,-85.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122807,48.0,20.0,6.432092906201551,-23.253022945736436,-21.94976717054264,-0.25123181144186046,0.4714679747286822,9.985183856589147,0.0015302410103875963,-0.0009046013782635658,0.0014970650358139535,-0.04720214399140929,0.025207330945648147,-2.884919850401176,1018.3284986821706,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-75.0,-100.0,-57.0,-85.0,-64.0,-77.0,-100.0,-64.0,-80.0,-77.0,-100.0,-65.0,-80.0,-64.0,-75.0,-62.0,-52.0,-100.0,-71.0,-54.0,-52.0,-63.0,-79.0,-87.0,-79.0,-88.0,-81.0,-85.0,-84.0,-100.0,-69.0,-71.0,-83.0,-57.0,-63.0,-85.0,-100.0,-72.0,-75.0,-90.0,-78.0,-87.0,-81.0,-85.0,-84.0,-100.0,-70.0,-70.0,-82.0,-58.0,-63.0,-86.0,-100.0,-72.0,-75.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-78.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122820,48.0,19.0,9.658434540000002,-30.163825695652168,-36.52695610434783,-0.3209993826086956,0.4700690160869565,9.983168252173911,0.000771549325217391,-0.0029961613138956514,-0.0005330995077391308,-0.04703673582686026,0.03216630932267589,-2.8531339707581895,1018.3222110434784,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-75.0,-100.0,-60.0,-86.0,-63.0,-79.0,-100.0,-76.0,-82.0,-80.0,-100.0,-77.0,-82.0,-66.0,-76.0,-62.0,-60.0,-83.0,-100.0,-61.0,-56.0,-65.0,-100.0,-100.0,-75.0,-88.0,-79.0,-86.0,-82.0,-100.0,-68.0,-72.0,-100.0,-61.0,-66.0,-92.0,-100.0,-77.0,-73.0,-100.0,-77.0,-89.0,-80.0,-87.0,-85.0,-100.0,-69.0,-72.0,-100.0,-61.0,-66.0,-91.0,-100.0,-77.0,-73.0,-86.0,-100.0,-100.0,-91.0,-100.0,-91.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-87.0,-86.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122832,48.0,18.0,8.69896536637931,-30.14430992241379,-39.139137396551725,-0.26582642480689656,0.16373949981379307,9.994198443965518,0.0018515536849999998,0.0009525283732931035,0.002096826509224138,-0.016388689646003565,0.02660020013191283,-2.888788278760581,1018.3542544827585,-100.0,-100.0,-100.0,-100.0,-88.0,-83.0,-80.0,-100.0,-62.0,-100.0,-68.0,-100.0,-100.0,-68.0,-80.0,-81.0,-100.0,-68.0,-81.0,-59.0,-74.0,-67.0,-62.0,-84.0,-67.0,-64.0,-55.0,-65.0,-69.0,-100.0,-100.0,-100.0,-88.0,-100.0,-78.0,-100.0,-65.0,-72.0,-100.0,-58.0,-67.0,-100.0,-100.0,-74.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-72.0,-100.0,-58.0,-67.0,-100.0,-100.0,-74.0,-81.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-70.0,-100.0,-76.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122843,48.0,17.0,7.399137820689656,-31.279654844827583,-37.94844750000001,-0.2082606274137931,0.15793957656034485,9.99145325862069,-0.0013870853474137934,-0.0038132738085862074,0.0038662292871551726,-0.015823330829554238,0.0208955642341732,-2.930847100142775,1018.3924578448277,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-81.0,-100.0,-54.0,-100.0,-100.0,-79.0,-100.0,-77.0,-83.0,-74.0,-100.0,-77.0,-83.0,-66.0,-69.0,-59.0,-50.0,-100.0,-67.0,-65.0,-56.0,-64.0,-100.0,-100.0,-82.0,-91.0,-89.0,-100.0,-84.0,-100.0,-73.0,-74.0,-86.0,-57.0,-70.0,-100.0,-100.0,-81.0,-85.0,-100.0,-83.0,-91.0,-100.0,-100.0,-100.0,-100.0,-73.0,-74.0,-86.0,-58.0,-70.0,-90.0,-100.0,-81.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-72.0,-100.0,-80.0,-100.0,-100.0,-100.0,-75.0,-85.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122854,48.0,16.0,7.030344697413794,-32.5044822586207,-35.99017200000001,-0.21946830948275858,0.29466092359482754,9.996117965517241,0.0027257226786206903,-0.0010696462174999998,-0.001136546350344828,-0.029462743370898086,0.021950520709526262,-2.9464521079227843,1018.4393550862069,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-76.0,-100.0,-61.0,-100.0,-69.0,-81.0,-100.0,-73.0,-83.0,-81.0,-100.0,-73.0,-84.0,-55.0,-69.0,-57.0,-47.0,-84.0,-67.0,-70.0,-58.0,-69.0,-77.0,-100.0,-86.0,-84.0,-86.0,-100.0,-100.0,-100.0,-76.0,-65.0,-100.0,-60.0,-71.0,-100.0,-100.0,-84.0,-85.0,-100.0,-84.0,-85.0,-86.0,-100.0,-100.0,-100.0,-75.0,-65.0,-100.0,-60.0,-71.0,-100.0,-100.0,-82.0,-85.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-81.0,-100.0,-90.0,-92.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122907,48.0,15.0,9.101363481060606,-31.842726871212122,-32.35318137878787,-0.2271658910227273,0.3950916181818182,9.982511579545454,0.0020834207274242423,-0.00020473245653030323,0.0019193755537878785,-0.039558297051399,0.022758091369530876,-2.875096158547835,1018.4777499242425,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-75.0,-100.0,-54.0,-100.0,-100.0,-77.0,-100.0,-76.0,-88.0,-77.0,-100.0,-76.0,-88.0,-53.0,-74.0,-58.0,-44.0,-85.0,-70.0,-70.0,-55.0,-70.0,-100.0,-100.0,-100.0,-88.0,-88.0,-100.0,-100.0,-100.0,-66.0,-68.0,-88.0,-61.0,-72.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-88.0,-89.0,-100.0,-100.0,-100.0,-66.0,-68.0,-87.0,-60.0,-72.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-90.0,-100.0,-83.0,-100.0,-74.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122919,48.0,14.0,10.998260695652172,-28.638782191304344,-34.3899125826087,-0.19907874464347827,0.3243721869913044,9.993661369565217,-0.0005936015965217395,-0.0028314931144695645,0.0009807840212173909,-0.03245975791638632,0.019946290139594758,-2.784366931086001,1018.5238899999997,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-66.0,-100.0,-76.0,-79.0,-100.0,-81.0,-100.0,-79.0,-100.0,-81.0,-100.0,-61.0,-71.0,-55.0,-40.0,-92.0,-58.0,-75.0,-57.0,-74.0,-81.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-72.0,-86.0,-63.0,-72.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-72.0,-87.0,-63.0,-72.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-92.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-81.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122931,48.0,13.0,8.516315550877193,-28.518947052631574,-33.31842050877193,-0.14901210181052632,0.4266009653508772,9.986415298245614,6.912405894736845e-05,-0.004308100254385964,0.006125285286140351,-0.042789560113624996,0.014912047773178862,-2.85455868746105,1018.573567894737,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-63.0,-85.0,-73.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-75.0,-100.0,-67.0,-76.0,-57.0,-52.0,-90.0,-57.0,-69.0,-62.0,-74.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-75.0,-87.0,-64.0,-74.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-75.0,-86.0,-64.0,-73.0,-100.0,-100.0,-100.0,-100.0,-80.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-83.0,-91.0,-100.0,-100.0,-100.0,-100.0,-92.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122942,49.0,13.0,22.691379043103446,6.871551621551724,-36.9434479913793,-0.2825863468017241,0.278169324224138,9.982165168103451,-0.0025877514987931033,-0.00019021084277586278,0.0033343552630172415,-0.027911663729825884,0.028390356038440104,-1.2187557641802163,1018.5766535344826,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-58.0,-100.0,-71.0,-100.0,-100.0,-80.0,-100.0,-78.0,-100.0,-81.0,-89.0,-73.0,-72.0,-56.0,-44.0,-100.0,-54.0,-75.0,-54.0,-71.0,-100.0,-100.0,-79.0,-88.0,-92.0,-100.0,-100.0,-100.0,-70.0,-75.0,-100.0,-65.0,-71.0,-100.0,-100.0,-87.0,-100.0,-100.0,-87.0,-100.0,-93.0,-100.0,-100.0,-100.0,-71.0,-75.0,-100.0,-64.0,-71.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-80.0,-100.0,-100.0,-100.0,-71.0,-84.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-70.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
