Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:w6,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:p5,00:1a:ab:a0:de:a8,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:d7,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:u5,90:9f:33:a4:06:5c,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:d9,00:1a:ac:a0:de:m8,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:i9
2021.02.11 120902,46.0,24.0,19.041080837837836,9.095675387387388,-20.60756736036036,0.26164462348648654,0.5326937883783784,9.686071099099102,-0.00456770903918018,-0.008290013680180177,0.004094420672387388,-0.054955020026714915,-0.02703894176132351,-1.0909449484971192,1019.1457454954954,-84.0,-83.0,-76.0,-69.0,-81.0,-77.0,-72.0,-91.0,-60.0,-86.0,-64.0,-85.0,-70.0,-92.0,-81.0,-78.0,-72.0,-91.0,-61.0,-85.0,-65.0,-86.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120914,47.0,24.0,20.351039728,10.499039732000002,-20.0860798,0.24712746847999997,0.7202361659200002,9.681432196,-0.0022162189448,-0.0053963836175200015,0.00316489286084,-0.07428822138905522,-0.02555234231613572,-1.0510135397911071,1019.1445196,-56.0,-100.0,-53.0,-69.0,-100.0,-100.0,-67.0,-83.0,-67.0,-84.0,-66.0,-100.0,-38.0,-45.0,-100.0,-100.0,-68.0,-83.0,-67.0,-84.0,-66.0,-100.0,-40.0,-50.0,-91.0,-71.0,-87.0,-86.0,-75.0,-73.0,-67.0,-85.0,-56.0,-66.0,-90.0,-51.0,-75.0,-67.0,-83.0,-73.0,-52.0,-68.0,-65.0,-74.0,-55.0,-68.0,-49.0,-61.0,-68.0,-82.0,-73.0,-52.0,-68.0,-45.0,-64.0,-73.0,-61.0,-68.0,-50.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120926,48.0,24.0,21.286315596491235,9.418420820175438,-17.866315605263157,0.1452106663754386,0.8458090783333335,9.65501815350877,-0.0005310455934122811,-0.008494649194385964,0.004410715085482455,-0.08742445462236276,-0.01504183277536768,-1.1014819573937802,1019.1452930701753,-53.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-88.0,-53.0,-84.0,-100.0,-100.0,-39.0,-45.0,-100.0,-100.0,-70.0,-89.0,-54.0,-84.0,-100.0,-100.0,-40.0,-58.0,-100.0,-71.0,-86.0,-87.0,-100.0,-100.0,-72.0,-100.0,-58.0,-70.0,-100.0,-51.0,-73.0,-58.0,-83.0,-70.0,-56.0,-70.0,-66.0,-73.0,-59.0,-71.0,-44.0,-54.0,-56.0,-83.0,-70.0,-58.0,-70.0,-45.0,-66.0,-72.0,-60.0,-71.0,-45.0,-54.0,-87.0,-73.0,-65.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120938,48.0,23.0,7.126779513559321,-28.91288093220339,-21.921864144067797,0.22853150075423725,0.8139519833050847,9.676136987288134,0.002421469850432204,-0.004388973611694915,0.00836735257144068,-0.0839336348097708,-0.023617350137240006,-2.865688132027448,1019.1463338135594,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-86.0,-64.0,-79.0,-100.0,-100.0,-36.0,-42.0,-100.0,-100.0,-70.0,-85.0,-66.0,-79.0,-100.0,-100.0,-36.0,-49.0,-100.0,-75.0,-87.0,-83.0,-100.0,-71.0,-63.0,-100.0,-52.0,-67.0,-100.0,-54.0,-74.0,-58.0,-80.0,-71.0,-56.0,-71.0,-69.0,-72.0,-63.0,-71.0,-45.0,-55.0,-57.0,-81.0,-71.0,-51.0,-71.0,-44.0,-68.0,-72.0,-61.0,-72.0,-45.0,-56.0,-100.0,-74.0,-62.0,-52.0,-88.0,-66.0,-91.0,-78.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 121106,48.0,15.0,4.026428515178572,-33.36267816071429,-24.864106946428567,0.3253648448392857,0.6579552652678571,9.669342986607143,-0.002132748623196429,-0.005519647336607143,0.0014619313541071423,-0.06791230168060527,-0.03361919475303559,-2.9892251512834003,1019.2603239285714,-52.0,-100.0,-47.0,-100.0,-100.0,-100.0,-66.0,-82.0,-62.0,-78.0,-77.0,-100.0,-49.0,-63.0,-100.0,-100.0,-65.0,-82.0,-63.0,-78.0,-70.0,-100.0,-49.0,-59.0,-100.0,-100.0,-89.0,-87.0,-100.0,-100.0,-64.0,-100.0,-54.0,-67.0,-100.0,-51.0,-73.0,-60.0,-87.0,-73.0,-100.0,-79.0,-65.0,-76.0,-58.0,-67.0,-51.0,-62.0,-100.0,-87.0,-73.0,-100.0,-78.0,-63.0,-69.0,-76.0,-58.0,-67.0,-49.0,-62.0,-100.0,-100.0,-100.0,-63.0,-100.0,-68.0,-88.0,-73.0,-100.0,-81.0,-61.0,-75.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 121117,48.0,14.0,6.271052529824561,-30.17578894736842,-26.355262771929826,0.3103316190526316,0.6805621074561403,9.670749061403509,-0.0021600196192631585,-0.006570959482192981,0.00039722308320175456,-0.07024542879509293,-0.032081409725115445,-2.894965646559732,1019.298853245614,-54.0,-100.0,-36.0,-61.0,-100.0,-100.0,-100.0,-100.0,-66.0,-70.0,-100.0,-100.0,-58.0,-71.0,-100.0,-100.0,-100.0,-100.0,-66.0,-70.0,-100.0,-100.0,-59.0,-69.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-62.0,-100.0,-59.0,-78.0,-100.0,-48.0,-73.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-58.0,-72.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-88.0,-91.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 121127,48.0,13.0,3.476842051754386,-29.694736499999998,-25.403157500000002,0.397806659885965,0.7339292377192982,9.658420504385964,-0.0041855200697280695,-0.006763864271052632,0.005251994345877194,-0.07577804979263687,-0.04113836502738031,-2.9798839761499774,1019.335586140351,-66.0,-100.0,-51.0,-60.0,-100.0,-100.0,-100.0,-100.0,-60.0,-71.0,-100.0,-100.0,-56.0,-77.0,-100.0,-100.0,-100.0,-100.0,-60.0,-71.0,-100.0,-100.0,-56.0,-67.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-54.0,-75.0,-87.0,-55.0,-79.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-73.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-81.0,-91.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-56.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 121138,49.0,13.0,20.682260660869566,8.137565048695652,-28.604869286956525,0.3206662665043478,0.6001093647826087,9.667998447826086,-0.0035490738247739135,-0.005422942972869564,0.002396583739869565,-0.0620358130206232,-0.033211278386980896,-1.1427648274794868,1019.3267415652174,-64.0,-100.0,-37.0,-60.0,-100.0,-100.0,-81.0,-100.0,-61.0,-74.0,-100.0,-100.0,-52.0,-72.0,-100.0,-100.0,-100.0,-100.0,-61.0,-74.0,-100.0,-100.0,-56.0,-63.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-54.0,-100.0,-53.0,-73.0,-90.0,-47.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-89.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-65.0,-75.0,-100.0,-100.0,-52.0,-74.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-77.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 121150,50.0,13.0,-16.768524409836065,15.710655499999998,-27.05803249180328,0.31576952182295087,0.8658247192622951,9.634287094262293,-0.0038674377171967213,-0.004252763624016393,-0.003036851510614754,-0.08960822865855496,-0.03276892199484459,0.71946447305992,1019.3160151639344,-70.0,-100.0,-35.0,-62.0,-100.0,-100.0,-100.0,-100.0,-66.0,-78.0,-100.0,-100.0,-61.0,-73.0,-100.0,-100.0,-100.0,-100.0,-66.0,-78.0,-100.0,-100.0,-60.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-59.0,-100.0,-54.0,-77.0,-100.0,-45.0,-70.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-64.0,-78.0,-100.0,-100.0,-50.0,-75.0,-100.0,-100.0,-79.0,-64.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-84.0,-87.0,-85.0,-87.0,-86.0,-88.0,-84.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 121307,49.0,19.0,-22.840499691666665,-16.190499816666666,-20.52399983333333,0.21913600215833332,0.7253655028333333,9.6664655625,-0.0037431786587416656,-0.0022147938144166665,0.006736825536208334,-0.07491314420476552,-0.022651689678120073,2.148492459456126,1019.4940813333334,-62.0,-100.0,-45.0,-69.0,-100.0,-100.0,-100.0,-84.0,-49.0,-68.0,-66.0,-100.0,-57.0,-63.0,-100.0,-100.0,-100.0,-84.0,-50.0,-68.0,-100.0,-100.0,-58.0,-72.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-53.0,-73.0,-100.0,-50.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-56.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
