Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:x7,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:i3,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:k6,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:f7,00:1a:ab:a0:de:a2,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:i9,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:f2,90:9f:33:a4:06:5c,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:b4,00:1a:ab:a0:de:a3,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:j4,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:m6,00:1a:ab:a0:de:a8,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:v2,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:f1,00:1a:ac:a0:de:m7,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:e2,00:1a:ac:a0:de:q7,00:1a:ac:a0:de:v4,00:1a:ac:a0:de:j3,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:e7
2021.01.30 163838,1.0,27.0,-37.33344771551725,-5.368965451724137,-37.63034437068966,6.280368588793103,-7.326811169827588,1.902065573275862,-0.0032049571636206895,-0.00676139374948276,0.0005067023797413794,0.8403237950185249,-1.276937250433297,-2.5605494523870536,1016.742167413793,-81.0,-64.0,-61.0,-63.0,-78.0,-88.0,-78.0,-88.0,-89.0,-72.0,-50.0,-65.0,-75.0,-82.0,-66.0,-87.0,-68.0,-69.0,-74.0,-84.0,-87.0,-51.0,-58.0,-91.0,-46.0,-46.0,-83.0,-78.0,-81.0,-87.0,-89.0,-81.0,-66.0,-87.0,-69.0,-74.0,-84.0,-81.0,-85.0,-50.0,-59.0,-91.0,-90.0,-46.0,-46.0,-72.0,-78.0,-81.0,-87.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 163851,1.0,26.0,-37.253944458715594,-3.2735779311926607,-23.879999706422016,7.240462763302751,-6.296635227522936,1.9852492064220182,0.006832045704495413,-0.008257878190642203,0.012893487948715596,0.6978598964323691,-1.3032224047074623,-2.725740434926584,1016.7412607339448,-100.0,-64.0,-65.0,-77.0,-75.0,-100.0,-78.0,-89.0,-100.0,-77.0,-55.0,-60.0,-73.0,-100.0,-72.0,-100.0,-63.0,-61.0,-100.0,-88.0,-87.0,-51.0,-73.0,-100.0,-46.0,-47.0,-69.0,-71.0,-81.0,-80.0,-84.0,-100.0,-72.0,-100.0,-61.0,-76.0,-87.0,-80.0,-86.0,-51.0,-74.0,-100.0,-100.0,-46.0,-48.0,-69.0,-71.0,-80.0,-80.0,-100.0,-91.0,-74.0,-75.0,-90.0,-90.0,-91.0,-84.0,-92.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 163903,1.0,25.0,-41.07368364035088,-9.60684189473684,-21.634210228070177,7.386295797368421,-6.095634638596491,1.9205024333333334,-0.002916431519912281,-0.0017367219696491228,0.005270748839999999,0.6739275654157003,-1.3166004764406305,-2.8534494157423054,1016.7391063157895,-100.0,-63.0,-65.0,-73.0,-100.0,-100.0,-73.0,-86.0,-85.0,-68.0,-50.0,-56.0,-71.0,-100.0,-63.0,-100.0,-63.0,-64.0,-70.0,-82.0,-86.0,-49.0,-59.0,-100.0,-42.0,-33.0,-60.0,-71.0,-100.0,-84.0,-78.0,-100.0,-62.0,-100.0,-64.0,-70.0,-83.0,-78.0,-90.0,-48.0,-59.0,-100.0,-100.0,-43.0,-34.0,-58.0,-70.0,-100.0,-84.0,-100.0,-100.0,-76.0,-78.0,-87.0,-100.0,-91.0,-78.0,-89.0,-62.0,-86.0,-77.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 163926,1.0,24.0,-15.6834996625,21.27149976666667,-41.768999183333335,7.732430211666666,-5.6621606741666675,1.6945479984999998,-0.004450560641416666,-0.004559294678666668,-0.004854342493416667,0.6208058809240659,-1.3553266415993372,-1.4851337323586147,1016.7236679166667,-100.0,-64.0,-62.0,-78.0,-100.0,-100.0,-73.0,-82.0,-100.0,-79.0,-53.0,-60.0,-77.0,-100.0,-60.0,-85.0,-55.0,-55.0,-59.0,-76.0,-73.0,-52.0,-55.0,-86.0,-33.0,-34.0,-58.0,-60.0,-61.0,-75.0,-100.0,-100.0,-61.0,-86.0,-55.0,-60.0,-76.0,-100.0,-73.0,-49.0,-55.0,-100.0,-85.0,-33.0,-34.0,-57.0,-60.0,-65.0,-75.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-84.0,-100.0,-85.0,-55.0,-100.0,-100.0,-100.0,-91.0,-91.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164040,2.0,24.0,-5.8073436578125,22.953749718749997,-41.736093078125,6.273130927343749,-7.2910718375000005,2.0514071671874996,-0.0040643282890624995,-0.0050253927109375,0.0041794680937499995,0.8350198194296876,-1.2551912432812502,-1.526248329328125,1016.7951230468751,-82.0,-100.0,-69.0,-81.0,-100.0,-100.0,-74.0,-85.0,-100.0,-100.0,-100.0,-64.0,-74.0,-73.0,-64.0,-88.0,-52.0,-61.0,-60.0,-76.0,-76.0,-52.0,-64.0,-81.0,-41.0,-40.0,-62.0,-60.0,-61.0,-73.0,-78.0,-100.0,-64.0,-88.0,-61.0,-60.0,-76.0,-65.0,-76.0,-51.0,-64.0,-100.0,-82.0,-43.0,-41.0,-62.0,-60.0,-61.0,-73.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-85.0,-65.0,-87.0,-54.0,-100.0,-78.0,-100.0,-100.0,-100.0,-83.0,-100.0,-90.0,-90.0,-89.0,-75.0,-89.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164320,3.0,24.0,-5.255876208247423,18.523917391752576,-43.7579376185567,7.305055856701031,-5.92049859072165,2.6340231721649485,0.0016947229771134024,0.00414737188628866,-0.018734576332989687,0.6511444984023104,-1.2249222870954533,-1.4984677304926606,1016.8021017525773,-100.0,-65.0,-58.0,-77.0,-76.0,-100.0,-72.0,-83.0,-80.0,-76.0,-62.0,-65.0,-71.0,-67.0,-61.0,-84.0,-49.0,-55.0,-60.0,-78.0,-74.0,-42.0,-59.0,-88.0,-36.0,-41.0,-56.0,-60.0,-60.0,-74.0,-79.0,-66.0,-61.0,-84.0,-55.0,-62.0,-78.0,-62.0,-74.0,-42.0,-59.0,-100.0,-87.0,-36.0,-40.0,-56.0,-60.0,-59.0,-74.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-81.0,-63.0,-81.0,-50.0,-91.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-88.0,-100.0,-90.0,-100.0,-91.0,-91.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164332,4.0,24.0,-4.423965438793103,16.574482556034482,-43.75034417241379,7.050354971551725,-6.143750419827586,2.9301589112068966,-0.005163939175086204,-0.005049917619568966,0.007294678929827585,0.6776291835924675,-1.177246111220327,-1.5755343889367992,1016.804759827586,-100.0,-63.0,-57.0,-100.0,-79.0,-82.0,-77.0,-82.0,-100.0,-69.0,-60.0,-63.0,-76.0,-100.0,-61.0,-89.0,-49.0,-51.0,-61.0,-76.0,-73.0,-45.0,-58.0,-86.0,-36.0,-35.0,-60.0,-59.0,-59.0,-73.0,-100.0,-100.0,-60.0,-90.0,-51.0,-100.0,-76.0,-61.0,-72.0,-43.0,-58.0,-100.0,-85.0,-36.0,-36.0,-59.0,-60.0,-57.0,-73.0,-100.0,-86.0,-79.0,-85.0,-100.0,-100.0,-83.0,-60.0,-84.0,-49.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-90.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164402,5.0,24.0,-4.205106303563829,12.666701880319149,-40.026701484042555,6.70423692393617,-6.2750886249999995,3.428576047872341,0.016913259598244683,0.007985646440691491,-0.009866578368138298,0.6940910987397457,-1.1007515436157267,-1.6965331542999187,1016.7957995212766,-100.0,-63.0,-51.0,-71.0,-100.0,-100.0,-74.0,-82.0,-74.0,-100.0,-100.0,-55.0,-73.0,-69.0,-62.0,-85.0,-53.0,-51.0,-60.0,-76.0,-76.0,-47.0,-56.0,-86.0,-33.0,-36.0,-59.0,-66.0,-58.0,-68.0,-75.0,-100.0,-61.0,-85.0,-51.0,-59.0,-76.0,-61.0,-76.0,-46.0,-56.0,-75.0,-86.0,-32.0,-37.0,-59.0,-66.0,-56.0,-68.0,-100.0,-100.0,-74.0,-83.0,-100.0,-100.0,-84.0,-59.0,-83.0,-53.0,-86.0,-75.0,-75.0,-100.0,-100.0,-79.0,-80.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164440,6.0,24.0,-6.349743505982906,17.16564076923077,-33.90512782905983,6.203115841880342,-7.383513743589745,1.8695602683760681,0.00645181796282051,0.012567774665555557,-0.01103204366854701,0.8503270770749475,-1.2785082923041449,-1.5903106550885062,1016.8095579487182,-80.0,-59.0,-52.0,-63.0,-100.0,-100.0,-73.0,-82.0,-73.0,-100.0,-100.0,-58.0,-71.0,-100.0,-61.0,-85.0,-54.0,-59.0,-61.0,-72.0,-75.0,-54.0,-68.0,-86.0,-27.0,-34.0,-57.0,-60.0,-57.0,-72.0,-74.0,-68.0,-60.0,-84.0,-59.0,-60.0,-72.0,-61.0,-75.0,-52.0,-68.0,-76.0,-86.0,-28.0,-34.0,-58.0,-60.0,-56.0,-72.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-61.0,-86.0,-53.0,-100.0,-74.0,-75.0,-91.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 164453,7.0,24.0,-4.994999918965517,16.922586025862067,-33.67862023275862,6.498784244827586,-6.939970657758621,2.4899013129310346,-0.0039632724975,0.006651311470258622,0.0019390757907758618,0.7838594425341179,-1.204868392697696,-1.5647690028979861,1016.8126546551724,-100.0,-62.0,-58.0,-69.0,-72.0,-100.0,-72.0,-83.0,-100.0,-64.0,-66.0,-59.0,-66.0,-72.0,-60.0,-82.0,-49.0,-57.0,-64.0,-74.0,-74.0,-56.0,-63.0,-85.0,-36.0,-43.0,-55.0,-60.0,-54.0,-66.0,-71.0,-72.0,-58.0,-82.0,-57.0,-65.0,-74.0,-100.0,-74.0,-57.0,-63.0,-100.0,-86.0,-37.0,-43.0,-54.0,-60.0,-54.0,-66.0,-100.0,-85.0,-72.0,-84.0,-83.0,-100.0,-83.0,-60.0,-83.0,-49.0,-82.0,-68.0,-100.0,-100.0,-100.0,-81.0,-81.0,-100.0,-91.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
