Simulated_Time,True_X,True_Y,00:1a:be:a0:de:39,00:1a:be:a0:de:52,00:1a:be:a0:de:64,00:1a:be:a0:de:72,00:1a:be:a0:de:73,00:1a:be:a0:de:89,00:1a:be:a0:de:90,00:1a:be:a0:de:91,00:1a:be:a0:de:92,00:1a:be:a0:de:93,00:1a:be:a0:de:94,00:1a:be:a0:de:95,00:1a:be:a0:de:96,00:1a:be:a0:df:01,00:1a:be:a0:df:02,00:1a:be:a0:df:03,00:1a:be:a0:df:08,00:1a:be:a0:df:11,00:1a:be:a0:df:20,00:1a:be:a0:df:22,00:1a:be:a0:df:28,00:1a:be:a0:df:29,00:1a:be:a0:df:36,00:1a:be:a0:df:45,00:1a:be:a0:df:46,00:1a:be:a0:df:47,00:1a:be:a0:df:48,00:1a:be:a0:df:49,00:1a:be:a0:df:50,00:1a:be:a0:df:51,00:1a:be:a0:df:52,00:1a:be:a0:df:56,00:1a:be:a0:df:57,00:1a:be:a0:df:58,00:1a:be:a0:df:64,00:1a:be:a0:df:67,00:1a:be:a0:df:73,00:1a:be:a0:df:75,00:1a:be:a0:de:40,00:1a:be:a0:de:43,00:1a:be:a0:de:53,00:1a:be:a0:de:66,00:1a:be:a0:df:12,00:1a:be:a0:df:68,00:1a:be:a0:df:74,00:1a:be:a0:de:80,00:1a:be:a0:de:37,00:1a:be:a0:de:48,00:1a:be:a0:df:13,00:1a:be:a0:df:69,00:1a:be:a0:de:56,00:1a:be:a0:de:59,00:1a:be:a0:de:84,00:1a:be:a0:df:34,00:1a:be:a0:df:40,00:1a:be:a0:de:78,00:1a:be:a0:de:65,00:1a:be:a0:df:21,00:1a:be:a0:de:82,00:1a:be:a0:df:38,00:1a:be:a0:de:81,00:1a:be:a0:df:14,00:1a:be:a0:df:37,00:1a:be:a0:df:70,00:1a:be:a0:de:44,00:1a:be:a0:de:57,00:1a:be:a0:de:67,00:1a:be:a0:df:23,00:1a:be:a0:df:06,00:1a:be:a0:de:79,00:1a:be:a0:df:35,00:1a:be:a0:de:83,00:1a:be:a0:df:15,00:1a:be:a0:df:39,00:1a:be:a0:df:71,00:1a:be:a0:de:38,00:1a:be:a0:de:51,00:1a:be:a0:de:68,00:1a:be:a0:df:24,00:1a:be:a0:de:60,00:1a:be:a0:de:05,00:1a:be:a0:df:09,00:1a:be:a0:df:65,00:1a:be:a0:de:33,00:1a:be:a0:de:32,00:1a:be:a0:de:97,00:1a:be:a0:df:53,00:1a:be:a0:de:86,00:1a:be:a0:df:44,00:1a:be:a0:df:62,00:1a:be:a0:de:55,00:1a:be:a0:de:88,00:1a:be:a0:de:41,00:1a:be:a0:de:49,00:1a:be:a0:de:54,00:1a:be:a0:df:10,00:1a:be:a0:df:66,00:1a:be:a0:df:42,00:1a:be:a0:de:70,00:1a:be:a0:de:08,00:1a:be:a0:de:12,00:1a:be:a0:de:69,00:1a:be:a0:df:25,00:1a:be:a0:de:74,00:1a:be:a0:df:26,00:1a:be:a0:de:85,00:1a:be:a0:de:62,00:1a:be:a0:df:30,00:1a:be:a0:df:41,00:1a:be:a0:df:18,00:1a:be:a0:de:76,00:1a:be:a0:df:32,00:1a:be:a0:de:98,00:1a:be:a0:de:87,00:1a:be:a0:df:43,00:1a:be:a0:df:54,00:1a:be:a0:de:71,00:1a:be:a0:de:75,00:1a:be:a0:df:27,00:1a:be:a0:df:31,00:1a:be:a0:de:17,00:1a:be:a0:df:04,00:1a:be:a0:df:59,00:1a:be:a0:de:15,00:1a:be:a0:df:05,00:1a:be:a0:df:60,00:1a:be:a0:de:63,00:1a:be:a0:df:19,00:1a:be:a0:de:02,00:1a:be:a0:de:99,00:1a:be:a0:df:55,00:1a:be:a0:de:16,00:1a:be:a0:de:77,00:1a:be:a0:de:27,00:1a:be:a0:de:30,00:1a:be:a0:df:33,00:1a:be:a0:de:26,00:1a:be:a0:de:61,00:1a:be:a0:df:61,00:1a:be:a0:de:01,00:1a:be:a0:de:03,00:1a:be:a0:de:04,00:1a:be:a0:de:24
2026-01-01 12:00:00.000,124.0,47.0,-80.44404315892358,-77.43487462919052,-80.15236879934926,-66.1885716155271,-76.36280300923302,-53.06225674526895,-50.58394260437613,-61.63646449417691,-64.67006375921726,-75.46481047437771,-88.8837041398543,-80.89066441257563,-78.39517697166426,-71.56935705797957,-83.04180974750192,-84.08310841303026,-89.97867937147696,-67.42271139281178,-83.17995437919795,-94.17816110250583,-66.64375441504637,-75.70803020153552,-81.69517067403136,-56.494864684591576,-53.14837573158236,-63.506132009749734,-65.83319047446822,-76.24131185708289,-88.90557131006858,-83.24104091179863,-88.33293964616182,-72.61049602683244,-88.49170529685745,-75.74430026181612,-81.33720002251864,-77.42075770032902,-82.56269195962469,-79.86789159658665,-94.62320921118952,,-93.72843502124617,,,,,,,,,,,,,,,,-88.22153329698656,,,,,,,,,,,,,,-92.84064819499409,,-94.22888691966064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-93.69510164308926,,,-90.69812806097768,,,,,-93.47217006076878,,,,-91.17730272724913,,,-93.74136793859704,,,,,,,-94.8989919729223,,,,,,,,,,,,,,,,,-91.95681964438609,
2026-01-01 12:00:00.500,123.5,47.5,-72.20081598953595,-71.90146714589507,-83.89572908300684,-81.17414508063226,-76.9562019574498,-41.32789354308681,-52.18704225966805,-69.75037746197114,-74.245614666181,-76.83101914539988,-83.91925080276489,-74.96569612602342,-78.3626220155749,-76.10763460652946,-92.332203938093,-92.72456191612238,,-66.11366232243056,-92.78424583072623,-86.04901776220865,-72.72236764428018,-73.29448235527104,,-47.85868444530459,-49.5932487826732,-54.03969811275317,-71.90599233543084,-67.67456214853314,-84.69499935996815,-76.6566777080713,-84.71391869921112,-69.87899367082512,-85.4160932410734,-87.41750259880183,-88.67933645084757,-74.78294852519342,-83.44953119313472,-81.9720831998606,-86.02022052629442,,-94.26157692326031,-91.32106778859765,,,-91.10852172598453,,,,,,,,-93.83910745140763,,,,-91.67351002100584,,,,,-92.98364964368915,-94.43379968764866,,,,,,,,,,,,-94.12811774481226,,,,,,,,,,-94.18291115702435,,,,,,,,,,,-93.98413580903164,,,,,,,,-94.11042686755489,,,,,,,,,,,,,,,,,,,,,,,,-94.9302050569867,,-90.70433468944003,,,,,,,,,,-93.72609438190528,,,-94.0379447717404
2026-01-01 12:00:01.000,123.0,48.0,-62.928799574065586,-62.41753583842025,-88.25628470618429,-78.1819963386243,-80.3394776792301,-46.98349516217191,-43.498342117651816,-66.37242859397986,-66.05307329067058,-74.20412830491532,-80.92355633902783,-78.34262362244574,-88.7536473950325,-75.30860108441426,,,,-75.6670140157031,-93.29907732259787,-87.4366515564297,-83.31019635793112,-76.74601339306838,,-47.10809808692461,-40.80020055458972,-59.04874322871674,-77.0972021871434,-66.12157440137487,-79.72684936498833,-81.21444499626436,-82.27659307308065,-71.32292398553292,,-92.55406523534273,,-70.61331649621202,-85.391023310371,-82.37499469558593,-82.70142565708638,-89.44183301649353,-77.71010202629736,-83.4469338818426,-93.78685643203501,-93.45744263500868,-80.34713222899079,-93.31985787399671,,,,,,,,,,,-94.95767955887305,,-93.51899594300099,,,,,,,,,,,,,,,,,,,-92.71380054909255,,,,,,,,,,,,,,,,,,,,,,,,,,,,-94.94658219533467,,,,,,,,,,,,,,,,,,,,,,,,-94.4014560159556,,,,-84.50916677790569,,,,-93.36335177874984,,,,,
2026-01-01 12:00:01.500,122.5,48.5,-63.67648667772571,-69.72264970436802,-83.08201113509882,-85.1827402148069,-78.53268061140162,-43.4401850347103,-39.63749650283675,-55.631621303863845,-69.56444348872013,-72.18695972928052,-83.00933480722449,-77.17627128648046,-89.12318817019252,-76.76989815176645,,,,-73.37223882721533,-94.48451070932678,-94.12479307913378,-83.12422390554963,-80.41323388015711,,-41.805720787514595,-54.79622135532493,-63.04881970456134,-75.449745445224,-70.31608223414759,-81.74651557557385,-80.16672755466327,-87.89711258559288,-73.86903930119988,,,,-75.616973680222,-89.49342037266852,-85.69950758366957,-79.32951728006442,-92.14339003562532,-80.12392970693156,-92.7497481011186,,-90.99460277831399,-86.8882013372437,-93.57687592261415,,,,,-90.04496980304293,,,,,,,,,,,,,,,,,,,,,,,-93.83387051398049,,,,-88.56594126028153,,,,,,,,,,,,-91.85594035704518,,,,,,,,,,,,,,,,,,,,,-94.01965087702486,-92.34115094998627,,-94.17748699228397,,-90.61014353348449,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01 12:00:02.000,122.0,49.0,-61.0815608798888,-66.14389201416095,-90.3451997807057,-73.76993838321212,-71.50759674876655,-46.70416944608285,-43.92204231310602,-58.8506845734409,-70.00362092219575,-69.39837518229618,-82.43858538245858,-87.56746735744458,-86.1432378893511,-75.09621399486575,,,,-77.59822610741463,-86.81094387832889,-92.61081069876788,-76.2727556922357,-74.64520019901512,-92.51776475384922,-54.01930012230802,-44.611424887029145,-67.49449220926915,-68.69928351604592,-72.64627362857877,-73.53280457033203,-81.71877957531198,-92.39484467515294,-82.74051781056471,,,,-74.62503230918468,-81.66265650285192,-78.24145815162106,-81.63987205840566,,-77.95485814246616,-88.41905388722495,,,,-82.74704004729908,,,-92.1849129408779,,-92.8468361231552,-91.16867775566845,,,,,,,,,-93.33773577987225,,,,,,,,-94.6885247660891,,-94.92696543793286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-93.99019824851815,,,,,,,,,,,,,,,,,,,-88.68924268331409,,,,-93.67723244967603,,,,,,,,-94.5762193481812,,,
2026-01-01 12:00:02.500,121.5,49.5,-63.58919239959361,-65.90229783504914,-91.44981058681734,-84.53950024013322,-75.01850065336868,-46.77353027756321,-53.13441425210579,-55.32403985219153,-77.35499538527762,-75.87888644108527,-86.74650242777875,-87.92468809879007,-91.86377498832015,-86.13786205833466,,,,-75.18158259291275,-86.35689534212833,,-77.5159899679102,-74.59354640043493,-89.91939611851824,-44.38202440848989,-45.26686054954355,-65.87686180722766,-80.09493441676342,-68.60025939912676,-81.5657550023681,-78.93079877531561,-84.11195529317384,-80.20670655244318,,,,-71.05093286879519,-84.4182821841119,-84.97806216480869,-77.43275826019268,,-77.9845372451707,-91.21489398399561,,-88.38176676217834,,-89.67232432903349,-94.24933834333021,,,,,,,,,,,,,-94.6746670356954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.55046788520217,-92.9232780250305,-93.2182811282509,,,,,,-92.53973854514867,,,,-93.9729134580373,,,-91.46820420668924,,,-93.7422783911392,,,-94.10224995679017,,,,,,,,,,,-89.51018771738552,,,,,,,,,,-93.17840290846026,,,,,,
2026-01-01 12:00:03.000,121.0,50.0,-62.83380623870877,-67.88001025270374,-79.66114369421257,-80.41557197010219,-74.63743037962809,-45.60371821003185,-55.558831678756036,-55.164555929264296,-60.96925028755652,-66.28492702959286,-89.89511006560558,-80.22593158546508,,,,,,-70.48605734321299,-83.42919929359033,,-74.81780195733504,-76.4400125475209,,-51.13964783735195,-56.63921722811652,-57.35629835214893,-72.55619189473828,-74.94957052822647,-87.9367828352325,-70.20441118301748,-80.30593837295427,-74.36581727289507,,,-92.6994924318498,-76.3574091934532,-82.4659593732243,-88.97111726620041,-82.16454412727252,,-78.19591921229303,,-92.58970262508868,-85.76637761490801,,-94.9422080801269,-93.58540517857236,,,-93.95728977091974,,,-88.35218413247385,,,,,,,,,,,,,,,,,,,,,,,,-91.8642405401273,,,,,,,-94.51358965226889,,,,-92.08032598319275,,,,,,,,,,,-89.90516823733365,-93.29171883299372,,,,,,,,,,,,,,,,,,,-94.15217476501401,,,,,,,,,,,,,,,,,,,,-94.58871487937657,-94.8806655669121,,,
2026-01-01 12:00:03.500,120.5,50.5,-65.90575062290783,-64.2533064825501,-85.7134921424854,-73.42083217824951,-72.66954637014653,-41.231412154028526,-53.608334398697366,-62.99142906036836,-61.828293489805205,-66.65794829906605,-82.67059982373863,-91.5649838683775,,-88.08003974279305,-93.24089510448684,,,-82.11318665664339,-85.28986832926485,-92.84008652510676,-75.64376054072133,-74.92197968216372,-92.47388792316156,-50.63219498278595,-53.06131172432224,-61.08279077814137,-70.39901724360531,-61.67923036507651,-83.2291437092547,-91.79422053423647,-86.10713341709729,-78.29184874455711,,-93.36231475700922,,-80.77815062952732,-81.09123421603121,-86.51753733545884,-82.88608930933397,,-77.4619735366862,-93.62845982592468,-88.07489504819526,-89.68589840183735,,-93.90046591378453,,-89.12201434118526,-87.29288886160177,-85.57825937592754,,,,,,,-94.76462367640696,,,,,,,-94.4398140747122,,,,,,,,,,,,,,,-93.98973099871559,,,,,,,,,,,,,,,,,,,,,-94.94368141190142,,,,,,,,,,,,,,,,-93.51757739143744,,,,,,,,,,,-91.88565579539284,,,,,,,,-94.71368323898557,,,,-94.93791679471951,,-93.3132431465211,,
2026-01-01 12:00:04.000,120.0,51.0,-73.36433497484268,-81.39758624045398,,-78.66616501624786,-71.24225170550405,-48.981817593563925,-48.97241307706011,-62.13202385242842,-68.43055242186367,-70.26374232164909,-87.7721720865467,,-86.96786516031929,-76.89488140908017,,-89.1382970038126,,-79.7161534510659,,-87.00523516261353,-77.93111569505338,-75.99083649143964,-90.82785980955012,-51.81116895484625,-46.614186038643375,-66.3573124076497,-75.47047229528943,-60.81361052673169,-81.64939493159257,,-77.90168770292213,-74.35629233815652,,,,-78.94507906858287,-89.52093708566893,-72.65779511461666,-85.65267055452892,-87.85728292821022,-81.64279310619023,-94.41424832935839,-80.64147381352856,-81.40494536002926,,-92.01474686664693,,-87.76002542219517,-88.95399925145028,-91.37576870939122,,-91.01384320494807,,,-91.17364588394298,,,,,-92.69759917603805,,,,,,,,,,,-92.75618253352889,,,,,,,,,,,,-93.55589272420318,,,,,,,,,,,,,,,,,,,,,,,,-88.59958234005578,,,,-90.39903733959585,,-93.732559696669,,,,,,,,,-94.9777938963116,-92.25680245348934,,,,,,,,,,,,,,,,,,,,
2026-01-01 12:00:04.500,119.5,51.5,-76.10691866166748,-76.39088070615486,-86.70817934355105,-75.0587361182674,-74.88646372995869,-55.587057201025345,-54.977934022066215,-58.34130888549003,-71.29362761612441,-71.38767931453752,-80.19232197429453,-83.19817672827216,-89.44280971398264,-68.4577335957583,,-81.82796614820097,,-83.6197222030875,-89.65516662206628,-85.16430021473886,-73.57619969826398,-80.36122502926821,-81.3574326552456,-59.15377161718066,-54.66296265198426,-69.62685647837797,-71.69274104777978,-69.80115208994235,-88.71878175540884,-91.29055797124178,-93.19600413370871,-82.87093534600254,,,,-85.25930959833194,-89.68494066466975,-92.7165466902469,-82.25335342137794,,-84.0742367744203,-88.98516690026824,-94.10514726140931,-92.43091162819566,,-91.6829966539197,,,-91.4842160577759,-94.02547069438238,-93.47606608707939,,,,-94.97851175438049,,,,,,,,,,,-92.03411375221651,,,,,,,,,,-94.3902647008943,,,,,,,,,,,-92.25609726851303,,,,,,,,,,,,,,,,,,,,,,,,,,,,-94.98421013013002,,,,,,,,,,,,,,,,,,,-92.75257444826633,,,,,,,,,
