Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:be:a0:de:05,00:1a:be:a0:de:06,00:1a:be:a0:de:07,00:1a:be:a0:de:08,00:1a:be:a0:de:09,00:1a:be:a0:de:10,00:1a:be:a0:de:11,00:1a:be:a0:de:12,00:1a:be:a0:de:13,00:1a:be:a0:de:14,00:1a:be:a0:de:18,00:1a:be:a0:de:19,00:1a:be:a0:de:22,00:1a:be:a0:de:23,00:1a:be:a0:de:28,00:1a:be:a0:de:29,00:1a:be:a0:de:33,00:1a:be:a0:de:36,00:1a:be:a0:de:42,00:1a:be:a0:de:50,00:1a:be:a0:de:64,00:1a:be:a0:de:65,00:1a:be:a0:de:68,00:1a:be:a0:de:80,00:1a:be:a0:de:88,00:1a:be:a0:df:06,00:1a:be:a0:df:07,00:1a:be:a0:df:16,00:1a:be:a0:df:20,00:1a:be:a0:df:21,00:1a:be:a0:df:26,00:1a:be:a0:df:36,00:1a:be:a0:df:44,00:1a:be:a0:df:62,00:1a:be:a0:df:63,00:1a:be:a0:df:64,00:1a:be:a0:de:39,00:1a:be:a0:de:40,00:1a:be:a0:de:45,00:1a:be:a0:de:52,00:1a:be:a0:de:53,00:1a:be:a0:de:72,00:1a:be:a0:de:73,00:1a:be:a0:de:89,00:1a:be:a0:de:90,00:1a:be:a0:de:91,00:1a:be:a0:de:92,00:1a:be:a0:de:93,00:1a:be:a0:de:94,00:1a:be:a0:de:95,00:1a:be:a0:df:01,00:1a:be:a0:df:08,00:1a:be:a0:df:11,00:1a:be:a0:df:28,00:1a:be:a0:df:29,00:1a:be:a0:df:45,00:1a:be:a0:df:46,00:1a:be:a0:df:47,00:1a:be:a0:df:48,00:1a:be:a0:df:49,00:1a:be:a0:df:50,00:1a:be:a0:df:51,00:1a:be:a0:df:56,00:1a:be:a0:df:67,00:1a:be:a0:df:73,00:1a:be:a0:df:75,00:1a:be:a0:de:82,00:1a:be:a0:df:69,00:1a:be:a0:de:66,00:1a:be:a0:df:13,00:1a:be:a0:df:22,00:1a:be:a0:df:68,00:1a:be:a0:de:43,00:1a:be:a0:de:56,00:1a:be:a0:df:02,00:1a:be:a0:df:14,00:1a:be:a0:df:57,00:1a:be:a0:df:70,00:1a:be:a0:df:38,00:1a:be:a0:de:78,00:1a:be:a0:df:34,00:1a:be:a0:de:44,00:1a:be:a0:de:57,00:1a:be:a0:de:67,00:1a:be:a0:de:79,00:1a:be:a0:df:35,00:1a:be:a0:df:17,00:1a:be:a0:df:23,00:1a:be:a0:df:72,00:1a:be:a0:de:32,00:1a:be:a0:de:97,00:1a:be:a0:df:53,00:1a:be:a0:de:81,00:1a:be:a0:de:83,00:1a:be:a0:df:37,00:1a:be:a0:df:39,00:1a:be:a0:de:47,00:1a:be:a0:de:49,00:1a:be:a0:de:70,00:1a:be:a0:de:41,00:1a:be:a0:de:54,00:1a:be:a0:de:84,00:1a:be:a0:df:09,00:1a:be:a0:df:40,00:1a:be:a0:df:65,00:1a:be:a0:df:10,00:1a:be:a0:df:54,00:1a:be:a0:df:66,00:1a:be:a0:de:69,00:1a:be:a0:de:76,00:1a:be:a0:df:24,00:1a:be:a0:df:25,00:1a:be:a0:df:32,00:1a:be:a0:df:42,00:1a:be:a0:de:62,00:1a:be:a0:de:74,00:1a:be:a0:de:86,00:1a:be:a0:de:98,00:1a:be:a0:df:03,00:1a:be:a0:df:30,00:1a:be:a0:df:58,00:1a:be:a0:de:17,00:1a:be:a0:de:85,00:1a:be:a0:df:41,00:1a:be:a0:df:18,00:1a:be:a0:df:43,00:1a:be:a0:de:15,00:1a:be:a0:de:87,00:1a:be:a0:df:04,00:1a:be:a0:df:19,00:1a:be:a0:df:59,00:1a:be:a0:de:27,00:1a:be:a0:de:71,00:1a:be:a0:df:27,00:1a:be:a0:de:02,00:1a:be:a0:de:63,00:1a:be:a0:de:77,00:1a:be:a0:de:99,00:1a:be:a0:df:05,00:1a:be:a0:df:33,00:1a:be:a0:df:55,00:1a:be:a0:df:60,00:1a:be:a0:de:20,00:1a:be:a0:de:03,00:1a:be:a0:de:24,00:1a:be:a0:de:30,00:1a:be:a0:de:01
2021.05.19 174309,124.0,47.0,9.544837268932039,2.138197464029126,-21.290202213592234,-0.11469360530485437,1.173884931067961,9.690274776699027,-0.0019591600135145633,-0.005375609762922329,-0.001306566912330097,-0.12055512459822068,0.01185082569627937,-1.1026955652005463,1001.4611078640777,-77.0,-80.0,-84.0,-84.0,-93.0,-84.0,-83.0,-81.0,-92.0,-85.0,-83.0,-84.0,-84.0,-84.0,-84.0,-82.0,-78.0,-83.0,-82.0,-81.0,-77.0,-92.0,-83.0,-74.0,-74.0,-65.0,-86.0,-84.0,-76.0,-92.0,-83.0,-76.0,-73.0,-71.0,-86.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175029,123.0,48.0,8.779540446,3.1715553880000003,-19.33072754,0.054819744423,1.292340475,9.6766632,0.0035895902589999995,-0.010369647893169999,-0.0034020302975000007,-0.13276755936443801,-0.005672494682075916,-1.0017590337991715,1001.6000632000001,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-82.0,-66.0,-77.0,-83.0,-59.0,-78.0,-74.0,-78.0,-36.0,-46.0,-54.0,-73.0,-62.0,-83.0,-73.0,-74.0,-81.0,-74.0,-75.0,-79.0,-39.0,-46.0,-53.0,-74.0,-61.0,-83.0,-73.0,-75.0,-72.0,-71.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175040,122.0,49.0,8.366670022916667,3.598489684791667,-19.73701423958333,0.11155854192708332,1.131539165625,9.685495322916665,0.00012623117580208334,-0.007390402197708334,-0.0005627820453125001,-0.11631198731871939,-0.011576208584301603,-0.9735382062693437,1001.6018579166667,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-58.0,-81.0,-100.0,-59.0,-80.0,-71.0,-76.0,-37.0,-61.0,-55.0,-72.0,-59.0,-87.0,-78.0,-74.0,-79.0,-67.0,-71.0,-75.0,-41.0,-60.0,-55.0,-72.0,-59.0,-88.0,-78.0,-73.0,-67.0,-75.0,-73.0,-84.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175051,121.0,50.0,9.708901729032258,1.548244030093548,-20.912174645161294,0.22008085083709678,1.3013087247311828,9.674891924731185,-0.0016540367992473129,-0.005588259844172042,-0.003056976090322581,-0.133693002805274,-0.0227721399567462,-1.1735481549334783,1001.5990694623656,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-82.0,-54.0,-84.0,-100.0,-54.0,-84.0,-72.0,-75.0,-45.0,-55.0,-63.0,-73.0,-100.0,-87.0,-75.0,-64.0,-100.0,-69.0,-75.0,-76.0,-44.0,-54.0,-63.0,-73.0,-100.0,-86.0,-76.0,-65.0,-68.0,-77.0,-77.0,-100.0,-100.0,-81.0,-82.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175101,120.0,51.0,9.58997790625,2.6939465288541666,-21.126469291666666,-0.05797264996666667,0.9477198160416668,9.716051723958333,-0.0022164878228385417,-0.005038741589583334,0.00015896252270833342,-0.09725818883938091,0.005948947807761794,-1.1068154697616894,1001.5983168749999,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-87.0,-100.0,-67.0,-89.0,-70.0,-73.0,-42.0,-67.0,-65.0,-72.0,-54.0,-87.0,-100.0,-68.0,-80.0,-67.0,-69.0,-74.0,-46.0,-68.0,-66.0,-71.0,-54.0,-86.0,-100.0,-66.0,-69.0,-76.0,-78.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175239,111.0,60.0,10.588158736842106,5.351352918947368,-24.83870912631579,-0.037077449976210534,0.6116630663157895,9.7337633,-0.00219354297305263,-0.005126513104894737,-0.005164940989473684,-0.06276671557049998,0.0037995793034784203,-0.9907501584605167,1001.5806814736843,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-87.0,-100.0,-76.0,-88.0,-74.0,-78.0,-46.0,-67.0,-55.0,-79.0,-61.0,-89.0,-74.0,-63.0,-100.0,-77.0,-75.0,-78.0,-42.0,-68.0,-56.0,-78.0,-60.0,-88.0,-74.0,-65.0,-77.0,-79.0,-79.0,-100.0,-87.0,-78.0,-80.0,-79.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175256,110.0,61.0,10.543869606060605,2.9243889328282826,-21.956460747474743,-0.2232695238787879,0.6559613546464647,9.728121181818182,-0.0012114391574747467,-0.005331157875757575,-0.0013166501336363634,-0.06732067620061861,0.022920133113258963,-1.1575615562573829,1001.6089307070707,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-79.0,-100.0,-100.0,-76.0,-100.0,-67.0,-78.0,-57.0,-72.0,-69.0,-100.0,-66.0,-87.0,-78.0,-55.0,-100.0,-76.0,-67.0,-77.0,-59.0,-72.0,-69.0,-100.0,-65.0,-86.0,-78.0,-55.0,-74.0,-100.0,-100.0,-81.0,-81.0,-74.0,-100.0,-74.0,-100.0,-79.0,-77.0,-78.0,-90.0,-78.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175308,109.0,62.0,9.529591932989693,1.9024145543608248,-19.588018278350514,-0.17291513891752577,0.7569407501030927,9.737370273195877,-0.0018319799246391758,-0.003024547464670103,-0.002066079023092783,-0.07756761776417796,0.017706310108589626,-1.2141902483615679,1001.6494454639173,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-84.0,-79.0,-100.0,-100.0,-77.0,-100.0,-65.0,-70.0,-50.0,-76.0,-100.0,-100.0,-59.0,-100.0,-78.0,-47.0,-75.0,-75.0,-66.0,-73.0,-56.0,-77.0,-100.0,-100.0,-59.0,-100.0,-79.0,-47.0,-75.0,-100.0,-100.0,-85.0,-100.0,-71.0,-100.0,-66.0,-100.0,-84.0,-80.0,-70.0,-100.0,-70.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175320,108.0,63.0,10.28084578125,4.633657311458333,-20.409636979166667,-0.10856723085208332,0.6460056896875,9.716255880208335,-0.0030010560317291664,-0.0021749987434375,-0.006510909450833334,-0.06646732363151382,0.011127459277304267,-1.0355594512075186,1001.6931085416667,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-81.0,-100.0,-64.0,-69.0,-58.0,-83.0,-69.0,-90.0,-69.0,-88.0,-75.0,-56.0,-79.0,-72.0,-65.0,-69.0,-62.0,-83.0,-69.0,-89.0,-69.0,-90.0,-76.0,-54.0,-72.0,-100.0,-100.0,-100.0,-80.0,-100.0,-80.0,-100.0,-100.0,-72.0,-72.0,-75.0,-100.0,-75.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175447,100.0,71.0,5.22782122020202,4.460742237373737,-25.471699939393936,-0.11402793535050505,0.5637452636363637,9.73023202020202,-0.000432951782828283,-0.006365846365555556,0.002965787895656566,-0.057888404485026336,0.011687468611688146,-0.692454738147331,1001.6697613131315,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-80.0,-79.0,-100.0,-100.0,-78.0,-100.0,-57.0,-79.0,-52.0,-80.0,-75.0,-100.0,-60.0,-91.0,-75.0,-47.0,-100.0,-74.0,-57.0,-80.0,-63.0,-79.0,-77.0,-100.0,-61.0,-89.0,-71.0,-47.0,-75.0,-82.0,-100.0,-78.0,-77.0,-70.0,-77.0,-71.0,-100.0,-69.0,-69.0,-67.0,-100.0,-66.0,-100.0,-100.0,-80.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
