Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:be:a0:de:39,00:1a:be:a0:de:52,00:1a:be:a0:de:64,00:1a:be:a0:de:72,00:1a:be:a0:de:73,00:1a:be:a0:de:89,00:1a:be:a0:de:90,00:1a:be:a0:de:91,00:1a:be:a0:de:92,00:1a:be:a0:de:93,00:1a:be:a0:de:94,00:1a:be:a0:de:95,00:1a:be:a0:de:96,00:1a:be:a0:df:01,00:1a:be:a0:df:02,00:1a:be:a0:df:03,00:1a:be:a0:df:08,00:1a:be:a0:df:11,00:1a:be:a0:df:20,00:1a:be:a0:df:22,00:1a:be:a0:df:28,00:1a:be:a0:df:29,00:1a:be:a0:df:36,00:1a:be:a0:df:45,00:1a:be:a0:df:46,00:1a:be:a0:df:47,00:1a:be:a0:df:48,00:1a:be:a0:df:49,00:1a:be:a0:df:50,00:1a:be:a0:df:51,00:1a:be:a0:df:52,00:1a:be:a0:df:56,00:1a:be:a0:df:57,00:1a:be:a0:df:58,00:1a:be:a0:df:64,00:1a:be:a0:df:67,00:1a:be:a0:df:73,00:1a:be:a0:df:75,00:1a:be:a0:de:40,00:1a:be:a0:de:43,00:1a:be:a0:de:53,00:1a:be:a0:de:66,00:1a:be:a0:df:12,00:1a:be:a0:df:68,00:1a:be:a0:df:74,00:1a:be:a0:de:80,00:1a:be:a0:de:37,00:1a:be:a0:de:48,00:1a:be:a0:df:13,00:1a:be:a0:df:69,00:1a:be:a0:de:56,00:1a:be:a0:de:59,00:1a:be:a0:de:84,00:1a:be:a0:df:34,00:1a:be:a0:df:40,00:1a:be:a0:de:78,00:1a:be:a0:de:65,00:1a:be:a0:df:21,00:1a:be:a0:de:82,00:1a:be:a0:df:38,00:1a:be:a0:de:81,00:1a:be:a0:df:14,00:1a:be:a0:df:37,00:1a:be:a0:df:70,00:1a:be:a0:de:44,00:1a:be:a0:de:57,00:1a:be:a0:de:67,00:1a:be:a0:df:23,00:1a:be:a0:df:06,00:1a:be:a0:de:79,00:1a:be:a0:df:35,00:1a:be:a0:de:83,00:1a:be:a0:df:15,00:1a:be:a0:df:39,00:1a:be:a0:df:71,00:1a:be:a0:de:38,00:1a:be:a0:de:51,00:1a:be:a0:de:68,00:1a:be:a0:df:24,00:1a:be:a0:de:60,00:1a:be:a0:de:05,00:1a:be:a0:df:09,00:1a:be:a0:df:65,00:1a:be:a0:de:33,00:1a:be:a0:de:32,00:1a:be:a0:de:97,00:1a:be:a0:df:53,00:1a:be:a0:de:86,00:1a:be:a0:df:44,00:1a:be:a0:df:62,00:1a:be:a0:de:55,00:1a:be:a0:de:88,00:1a:be:a0:de:41,00:1a:be:a0:de:49,00:1a:be:a0:de:54,00:1a:be:a0:df:10,00:1a:be:a0:df:66,00:1a:be:a0:df:42,00:1a:be:a0:de:70,00:1a:be:a0:de:08,00:1a:be:a0:de:12,00:1a:be:a0:de:69,00:1a:be:a0:df:25,00:1a:be:a0:de:74,00:1a:be:a0:df:26,00:1a:be:a0:de:85,00:1a:be:a0:de:62,00:1a:be:a0:df:30,00:1a:be:a0:df:41,00:1a:be:a0:df:18,00:1a:be:a0:de:76,00:1a:be:a0:df:32,00:1a:be:a0:de:98,00:1a:be:a0:de:87,00:1a:be:a0:df:43,00:1a:be:a0:df:54,00:1a:be:a0:de:71,00:1a:be:a0:de:75,00:1a:be:a0:df:27,00:1a:be:a0:df:31,00:1a:be:a0:de:17,00:1a:be:a0:df:04,00:1a:be:a0:df:59,00:1a:be:a0:de:15,00:1a:be:a0:df:05,00:1a:be:a0:df:60,00:1a:be:a0:de:63,00:1a:be:a0:df:19,00:1a:be:a0:de:02,00:1a:be:a0:de:99,00:1a:be:a0:df:55,00:1a:be:a0:de:16,00:1a:be:a0:de:77,00:1a:be:a0:de:27,00:1a:be:a0:de:30,00:1a:be:a0:df:33,00:1a:be:a0:de:26,00:1a:be:a0:de:61,00:1a:be:a0:df:61,00:1a:be:a0:de:01,00:1a:be:a0:de:03,00:1a:be:a0:de:04,00:1a:be:a0:de:24
2021.05.19 171520,124.0,47.0,32.0431339402985,-15.961343000000003,-30.742387649253732,-0.352405091,1.117500966492537,9.897038652985072,0.005876213738432836,-0.0008880976923880597,0.0008729631221940302,-0.11237521636397085,0.035569117578274675,-1.9488633088211516,1003.1173935074628,-81.0,-80.0,-85.0,-76.0,-76.0,-50.0,-55.0,-63.0,-68.0,-71.0,-86.0,-80.0,-80.0,-70.0,-86.0,-83.0,-90.0,-75.0,-85.0,-88.0,-75.0,-76.0,-86.0,-51.0,-55.0,-64.0,-68.0,-71.0,-87.0,-79.0,-80.0,-71.0,-86.0,-83.0,-88.0,-74.0,-85.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171533,123.0,48.0,31.198749513888895,-14.7766664375,-29.161249611111106,-0.30071426483333336,0.8752570877777779,9.919962618055555,0.003958712145486112,-0.0023544782049305553,0.0008352903426250002,-0.08797008937431701,0.03030428511232857,-1.95051209628582,1003.120514861111,-65.0,-63.0,-89.0,-82.0,-78.0,-44.0,-48.0,-59.0,-75.0,-71.0,-82.0,-79.0,-86.0,-76.0,-100.0,-100.0,-100.0,-75.0,-91.0,-89.0,-81.0,-78.0,-100.0,-44.0,-48.0,-59.0,-74.0,-71.0,-82.0,-80.0,-84.0,-76.0,-100.0,-100.0,-100.0,-75.0,-84.0,-82.0,-76.0,-89.0,-76.0,-88.0,-89.0,-89.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171547,122.0,49.0,31.362236342105263,-14.385789174342108,-28.72697339473684,-0.40794032348684206,0.83793317625,9.918740204605262,0.006713634126644736,-0.004887693485197369,-0.0021451336749473684,-0.08429864874893893,0.04095264451921374,-1.9441576733400947,1003.1201229605263,-65.0,-65.0,-90.0,-78.0,-76.0,-41.0,-46.0,-61.0,-76.0,-69.0,-81.0,-84.0,-89.0,-79.0,-100.0,-100.0,-100.0,-77.0,-90.0,-90.0,-76.0,-77.0,-84.0,-42.0,-46.0,-61.0,-76.0,-69.0,-81.0,-82.0,-87.0,-80.0,-100.0,-100.0,-100.0,-76.0,-81.0,-80.0,-78.0,-100.0,-78.0,-91.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171601,121.0,50.0,33.21829741843972,-15.674467865248227,-29.91616980851063,-0.3741011943971631,0.9403217117730495,9.903229992907802,0.005452028616312056,0.0021620254760992916,4.670716617021278e-05,-0.09460794421058172,0.03771174843142346,-1.9468490333421855,1003.1240295035464,-62.0,-63.0,-86.0,-76.0,-76.0,-45.0,-51.0,-56.0,-70.0,-68.0,-83.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-88.0,-100.0,-79.0,-75.0,-100.0,-46.0,-51.0,-54.0,-69.0,-68.0,-83.0,-81.0,-88.0,-76.0,-100.0,-100.0,-100.0,-77.0,-83.0,-85.0,-80.0,-100.0,-80.0,-100.0,-87.0,-88.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171613,120.0,51.0,32.256922720279725,-15.751468206293705,-30.493845713286717,-0.3588900742097902,0.9307701468531469,9.92130553146853,0.004738579817482519,1.2802487832168392e-05,-0.0018844423482797202,-0.09350770770513506,0.03614972793445039,-1.958919380928253,1003.1267583916083,-74.0,-75.0,-100.0,-76.0,-72.0,-50.0,-49.0,-66.0,-70.0,-66.0,-85.0,-100.0,-85.0,-74.0,-100.0,-86.0,-100.0,-77.0,-89.0,-90.0,-76.0,-72.0,-89.0,-50.0,-49.0,-66.0,-70.0,-65.0,-84.0,-100.0,-86.0,-74.0,-100.0,-100.0,-100.0,-77.0,-83.0,-82.0,-83.0,-91.0,-82.0,-90.0,-87.0,-88.0,-100.0,-88.0,-100.0,-91.0,-90.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171628,119.0,52.0,32.266573090909084,-12.89706261888112,-30.465314356643354,-0.4334642008391609,0.8502856740559441,9.912833447552448,0.006276422578671327,-0.0029090985431468536,-0.0048447892789650355,-0.08562727423606215,0.04356728929218708,-1.8872684665493198,1003.1311046153845,-75.0,-75.0,-89.0,-76.0,-78.0,-49.0,-53.0,-62.0,-69.0,-72.0,-86.0,-81.0,-83.0,-73.0,-85.0,-90.0,-100.0,-84.0,-89.0,-90.0,-74.0,-78.0,-88.0,-50.0,-53.0,-63.0,-69.0,-71.0,-86.0,-81.0,-83.0,-73.0,-85.0,-100.0,-100.0,-84.0,-100.0,-100.0,-83.0,-100.0,-83.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171642,118.0,53.0,34.27757095,-11.814428382142857,-27.898285285714284,-0.4643011943714286,0.8232200885,9.91968574642857,0.0034143883860714296,-0.002172673013642858,0.0018183713036000002,-0.08275812522375153,0.04684050557885447,-1.8466919916016715,1003.1297105000001,-75.0,-73.0,-88.0,-75.0,-77.0,-49.0,-60.0,-61.0,-73.0,-71.0,-86.0,-80.0,-87.0,-72.0,-86.0,-100.0,-91.0,-81.0,-87.0,-100.0,-75.0,-77.0,-87.0,-49.0,-60.0,-61.0,-73.0,-71.0,-87.0,-80.0,-86.0,-71.0,-85.0,-100.0,-88.0,-79.0,-85.0,-84.0,-87.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171654,117.0,54.0,35.60676210791367,-13.461150776978418,-31.39942403597122,-0.35867614744604315,0.6636964230935252,9.928713151079137,0.008774494597841727,0.0006156159902877697,-0.0029369915501151083,-0.0667254607052468,0.03602365685774263,-1.8863482715414583,1003.1315379856117,-75.0,-75.0,-84.0,-77.0,-74.0,-54.0,-60.0,-68.0,-72.0,-68.0,-86.0,-84.0,-86.0,-73.0,-87.0,-89.0,-100.0,-79.0,-84.0,-86.0,-77.0,-74.0,-100.0,-56.0,-60.0,-69.0,-72.0,-68.0,-85.0,-84.0,-87.0,-73.0,-87.0,-89.0,-89.0,-100.0,-89.0,-87.0,-100.0,-91.0,-100.0,-85.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171707,116.0,55.0,34.163649145985396,-15.648612934306572,-33.896058116788325,-0.4582152640875912,0.8900585515328466,9.91827463868613,0.008007087888321168,-0.0008510955640145978,-0.0019814460446277377,-0.08943753961446506,0.04614243084007367,-1.9357603449020944,1003.1372752554743,-82.0,-82.0,-83.0,-77.0,-80.0,-54.0,-61.0,-67.0,-69.0,-70.0,-84.0,-84.0,-87.0,-69.0,-86.0,-100.0,-89.0,-75.0,-84.0,-100.0,-72.0,-79.0,-88.0,-53.0,-61.0,-66.0,-69.0,-71.0,-86.0,-100.0,-87.0,-73.0,-88.0,-82.0,-100.0,-75.0,-86.0,-85.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-91.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 171719,115.0,56.0,32.87399953571429,-15.374571196428567,-34.13657104285714,-0.4200584125285714,0.7102103142857142,9.92939967142857,0.008392939381785713,0.0023695460645000005,-0.0024576853398571435,-0.07136963096979468,0.042302990917648546,-1.957944587298802,1003.1394951428572,-80.0,-79.0,-83.0,-74.0,-82.0,-58.0,-61.0,-63.0,-74.0,-78.0,-85.0,-86.0,-87.0,-71.0,-85.0,-82.0,-88.0,-72.0,-83.0,-82.0,-74.0,-81.0,-84.0,-58.0,-61.0,-63.0,-74.0,-79.0,-84.0,-86.0,-87.0,-72.0,-86.0,-83.0,-100.0,-72.0,-100.0,-100.0,-89.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-90.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
