Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:cs:a0:de:04,00:1a:cs:a0:de:12,00:1a:cs:a0:de:16,00:1a:cs:a0:de:18,00:1a:cs:a0:de:19,00:1a:cs:a0:de:29,00:1a:cs:a0:de:34,00:1a:cs:a0:de:39,00:1a:cs:a0:de:56,00:1a:cs:a0:de:57,00:1a:cs:a0:de:58,00:1a:cs:a0:de:59,00:1a:cs:a0:de:63,00:1a:cs:a0:de:64,00:1a:cs:a0:de:70,00:1a:cs:a0:de:72,00:1a:cs:a0:de:73,00:1a:cs:a0:de:74,00:1a:cs:a0:de:75,00:1a:cs:a0:de:76,00:1a:cs:a0:de:77,00:1a:cs:a0:de:78,00:1a:cs:a0:de:79,00:1a:cs:a0:de:80,00:1a:cs:a0:de:81,00:1a:cs:a0:de:82,00:1a:cs:a0:de:83,00:1a:cs:a0:de:86,00:1a:cs:a0:de:88,00:1a:cs:a0:de:95,00:1a:cs:a0:de:97,00:1a:cs:a0:de:98,00:1a:cs:a0:df:02,00:1a:cs:a0:df:03,00:1a:cs:a0:df:09,00:1a:cs:a0:df:11,00:1a:cs:a0:df:12,00:1a:cs:a0:df:13,00:1a:cs:a0:df:14,00:1a:cs:a0:df:15,00:1a:cs:a0:df:16,00:1a:cs:a0:df:17,00:1a:cs:a0:df:18,00:1a:cs:a0:df:19,00:1a:cs:a0:df:20,00:1a:cs:a0:df:21,00:1a:cs:a0:df:22,00:1a:cs:a0:df:25,00:1a:cs:a0:df:27,00:1a:cs:a0:df:34,00:1a:cs:a0:df:36,00:1a:cs:a0:df:37,00:1a:cs:a0:de:05,00:1a:cs:a0:de:07,00:1a:cs:a0:de:08,00:1a:cs:a0:de:11,00:1a:cs:a0:de:24,00:1a:cs:a0:de:28,00:1a:cs:a0:de:36,00:1a:cs:a0:de:37,00:1a:cs:a0:de:40,00:1a:cs:a0:de:48,00:1a:cs:a0:de:61,00:1a:cs:a0:de:62,00:1a:cs:a0:de:65,00:1a:cs:a0:de:66,00:1a:cs:a0:de:67,00:1a:cs:a0:de:71,00:1a:cs:a0:de:84,00:1a:cs:a0:de:85,00:1a:cs:a0:de:87,00:1a:cs:a0:de:89,00:1a:cs:a0:de:90,00:1a:cs:a0:de:91,00:1a:cs:a0:de:92,00:1a:cs:a0:de:93,00:1a:cs:a0:de:94,00:1a:cs:a0:de:96,00:1a:cs:a0:de:99,00:1a:cs:a0:df:01,00:1a:cs:a0:df:04,00:1a:cs:a0:df:05,00:1a:cs:a0:df:06,00:1a:cs:a0:df:08,00:1a:cs:a0:df:10,00:1a:cs:a0:df:23,00:1a:cs:a0:df:24,00:1a:cs:a0:df:26,00:1a:cs:a0:df:28,00:1a:cs:a0:df:29,00:1a:cs:a0:df:30,00:1a:cs:a0:df:32,00:1a:cs:a0:df:33,00:1a:cs:a0:df:35,f0:b0:52:11:13:4c,f0:b0:52:11:14:8c,f0:b0:52:51:13:4c,f0:b0:52:51:14:8c,00:1a:cs:a0:de:25,00:1a:cs:a0:de:33,00:1a:cs:a0:de:44,00:1a:cs:a0:de:68,00:1a:cs:a0:de:69,00:1a:cs:a0:df:07,00:1a:cs:a0:de:01,00:1a:cs:a0:de:32,00:1a:cs:a0:de:47,00:1a:cs:a0:df:31,00:1a:cs:a0:de:15,00:1a:cs:a0:de:60,f0:b0:52:29:88:9c,f0:b0:52:69:88:9c,00:1a:cs:a0:de:30,00:1a:cs:a0:de:38,00:1a:cs:a0:de:46,00:1a:cs:a0:de:51,00:1a:cs:a0:de:02,00:1a:cs:a0:de:03,00:1a:cs:a0:de:23,00:1a:cs:a0:de:27,00:1a:cs:a0:de:31,00:1a:cs:a0:de:49,00:1a:cs:a0:de:54,00:1a:cs:a0:de:55,00:1a:cs:a0:de:45,00:1a:cs:a0:de:13,f0:b0:52:2a:1f:ac,00:1a:cs:a0:de:26,90:9f:33:a4:06:5e,c4:12:f5:a9:c3:20,00:1a:cs:a0:de:17,00:1a:cs:a0:de:20,00:1a:cs:a0:de:41,00:1a:cs:a0:de:35,00:1a:cs:a0:de:52,00:1a:cs:a0:de:53
2021.02.11 151939,43.0,24.0,29.200353592920354,-0.4715044128318584,-47.03097281415929,-0.05210037217345132,0.9178903184070797,9.670752615044245,-0.0031462268570796445,-0.008022336131415928,-0.0016325780508849555,-0.09473246372247161,0.005410559026949483,-1.4335628684643096,1018.5135008849555,-71.0,-82.0,-76.0,-85.0,-77.0,-76.0,-79.0,-76.0,-39.0,-45.0,-54.0,-66.0,-61.0,-75.0,-86.0,-59.0,-66.0,-52.0,-66.0,-58.0,-83.0,-52.0,-62.0,-59.0,-72.0,-50.0,-87.0,-81.0,-80.0,-84.0,-58.0,-74.0,-62.0,-78.0,-86.0,-59.0,-65.0,-53.0,-66.0,-58.0,-83.0,-51.0,-62.0,-60.0,-73.0,-50.0,-86.0,-81.0,-80.0,-84.0,-59.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 151956,44.0,24.0,31.801439624,0.7574399818399999,-48.788159367999995,-0.171252459752,0.74400296312,9.673379248,0.0049504520436,-0.0068368039624,-0.0035918877388000005,-0.0768091146945953,0.017659379940712785,-1.4248147640228273,1018.51709344,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-63.0,-73.0,-100.0,-66.0,-82.0,-48.0,-59.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-66.0,-100.0,-66.0,-60.0,-57.0,-100.0,-100.0,-49.0,-59.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-61.0,-100.0,-100.0,-60.0,-57.0,-100.0,-100.0,-80.0,-54.0,-59.0,-56.0,-75.0,-86.0,-57.0,-78.0,-81.0,-56.0,-57.0,-78.0,-67.0,-53.0,-62.0,-72.0,-42.0,-59.0,-73.0,-82.0,-53.0,-70.0,-80.0,-58.0,-87.0,-75.0,-56.0,-79.0,-66.0,-54.0,-63.0,-76.0,-72.0,-41.0,-60.0,-73.0,-85.0,-57.0,-69.0,-58.0,-87.0,-75.0,-88.0,-90.0,-88.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152007,45.0,24.0,32.148174583941596,3.203649584671533,-48.65605767153285,-0.18110300960364964,0.9580826259124089,9.644683302919708,0.005872332505839417,-0.0073080885627737225,-0.0023007772733576637,-0.09899351821981203,0.01879786891745056,-1.3180429100120155,1018.507963138686,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-75.0,-100.0,-66.0,-83.0,-43.0,-62.0,-59.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-66.0,-100.0,-63.0,-61.0,-57.0,-100.0,-100.0,-43.0,-61.0,-61.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-65.0,-60.0,-57.0,-100.0,-100.0,-78.0,-57.0,-67.0,-53.0,-100.0,-100.0,-57.0,-78.0,-84.0,-63.0,-56.0,-76.0,-69.0,-54.0,-65.0,-72.0,-45.0,-58.0,-70.0,-83.0,-60.0,-69.0,-100.0,-63.0,-76.0,-73.0,-56.0,-77.0,-67.0,-54.0,-65.0,-73.0,-72.0,-45.0,-54.0,-72.0,-84.0,-58.0,-68.0,-63.0,-75.0,-73.0,-88.0,-100.0,-87.0,-100.0,-77.0,-78.0,-71.0,-81.0,-76.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152027,45.0,23.0,14.565109218978101,-26.730218664233576,-40.877517613138686,-0.15448717607737228,0.7996633690510949,9.672837014598539,0.009501852707664234,-0.006478738687591242,-0.0027511231018248184,-0.08253151038321695,0.016072620409982676,-2.6031104822228426,1018.510798321168,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-72.0,-100.0,-64.0,-75.0,-47.0,-60.0,-64.0,-100.0,-100.0,-72.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-65.0,-60.0,-58.0,-100.0,-100.0,-45.0,-60.0,-65.0,-100.0,-100.0,-72.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-64.0,-56.0,-58.0,-100.0,-100.0,-69.0,-64.0,-69.0,-57.0,-81.0,-100.0,-100.0,-79.0,-82.0,-60.0,-57.0,-82.0,-75.0,-51.0,-57.0,-71.0,-40.0,-47.0,-65.0,-77.0,-57.0,-71.0,-78.0,-70.0,-78.0,-80.0,-57.0,-85.0,-100.0,-51.0,-58.0,-100.0,-72.0,-40.0,-47.0,-65.0,-78.0,-56.0,-73.0,-70.0,-78.0,-78.0,-87.0,-100.0,-90.0,-100.0,-76.0,-100.0,-100.0,-78.0,-74.0,-80.0,-71.0,-74.0,-79.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152142,45.0,17.0,7.817727140151516,-14.962726950757576,-30.223636,-0.35216530365151516,0.5945056787121211,9.676964238636364,0.008741851860227273,-0.003632797108333333,0.0034893362481060604,-0.061370467626009874,0.036400058747720725,-2.667382787574421,1018.4798112121211,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-75.0,-90.0,-71.0,-100.0,-56.0,-60.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-63.0,-58.0,-100.0,-100.0,-56.0,-60.0,-68.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-62.0,-57.0,-100.0,-100.0,-72.0,-68.0,-71.0,-59.0,-85.0,-100.0,-58.0,-82.0,-83.0,-48.0,-63.0,-86.0,-100.0,-57.0,-63.0,-69.0,-100.0,-56.0,-80.0,-84.0,-54.0,-67.0,-100.0,-100.0,-77.0,-74.0,-62.0,-86.0,-100.0,-57.0,-63.0,-71.0,-68.0,-60.0,-55.0,-80.0,-85.0,-55.0,-67.0,-100.0,-74.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-65.0,-100.0,-72.0,-100.0,-61.0,-70.0,-78.0,-100.0,-86.0,-88.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152204,46.0,17.0,26.30842072368421,2.626578908552632,-34.584868046052634,-0.16868095978552633,0.7794229112499999,9.66191121381579,0.003484343037500001,-0.008262756097039473,-0.010256106038815788,-0.08052565201528758,0.017456098602116575,-1.3615766826428866,1018.467357631579,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-81.0,-66.0,-100.0,-100.0,-100.0,-100.0,-73.0,-84.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-74.0,-100.0,-100.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-80.0,-100.0,-100.0,-76.0,-76.0,-100.0,-51.0,-100.0,-100.0,-100.0,-100.0,-100.0,-48.0,-66.0,-100.0,-100.0,-100.0,-77.0,-100.0,-48.0,-55.0,-100.0,-100.0,-52.0,-70.0,-100.0,-70.0,-100.0,-100.0,-71.0,-100.0,-85.0,-100.0,-78.0,-100.0,-100.0,-49.0,-56.0,-100.0,-100.0,-53.0,-70.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-57.0,-69.0,-100.0,-100.0,-87.0,-100.0,-100.0,-70.0,-89.0,-89.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152216,47.0,17.0,35.31559283050848,7.122711777966102,-29.811863957627118,-0.31035346798305097,0.775112651016949,9.669409597457628,0.005477080058474577,-0.005244122830932203,0.002231211262288135,-0.07998373634102988,0.03210890995164919,-1.2987990035849102,1018.4631205084747,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-71.0,-100.0,-100.0,-100.0,-82.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-70.0,-100.0,-100.0,-100.0,-72.0,-100.0,-53.0,-100.0,-78.0,-59.0,-100.0,-100.0,-56.0,-64.0,-100.0,-85.0,-56.0,-78.0,-100.0,-52.0,-61.0,-100.0,-100.0,-56.0,-67.0,-100.0,-69.0,-100.0,-100.0,-65.0,-100.0,-87.0,-56.0,-78.0,-100.0,-100.0,-53.0,-60.0,-100.0,-100.0,-56.0,-67.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-81.0,-69.0,-100.0,-100.0,-100.0,-71.0,-72.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-84.0,-90.0,-82.0,-88.0,-85.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152228,47.0,18.0,-4.93770482295082,9.718032590163935,-31.952950450819674,-0.347767610057377,0.7528783109836066,9.677068893442623,0.00042560279795081905,-0.008552113392622952,-0.0017574894926229508,-0.07762677530895488,0.03593513175852776,0.4637268395697484,1018.4637019672131,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-68.0,-85.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-67.0,-86.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-72.0,-79.0,-64.0,-58.0,-80.0,-100.0,-57.0,-81.0,-100.0,-53.0,-68.0,-100.0,-100.0,-59.0,-81.0,-100.0,-52.0,-58.0,-100.0,-100.0,-58.0,-67.0,-100.0,-77.0,-100.0,-88.0,-68.0,-100.0,-100.0,-58.0,-81.0,-100.0,-100.0,-52.0,-59.0,-100.0,-100.0,-59.0,-67.0,-76.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-75.0,-100.0,-100.0,-100.0,-100.0,-64.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-85.0,-79.0,-73.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152348,50.0,21.0,29.53462151260505,-4.4495797655462175,-29.65562988235294,-0.2655350760756302,0.7535095968067226,9.674808075630253,0.007853981643697478,-0.00791044835462185,-0.0012576636752100838,-0.07776586335747179,0.0274560454564693,-1.6426934073953068,1018.4290574789916,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-70.0,-100.0,-100.0,-100.0,-100.0,-74.0,-74.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-70.0,-68.0,-100.0,-100.0,-75.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-69.0,-68.0,-100.0,-100.0,-100.0,-74.0,-67.0,-65.0,-100.0,-100.0,-67.0,-100.0,-100.0,-44.0,-63.0,-100.0,-100.0,-63.0,-73.0,-82.0,-48.0,-55.0,-87.0,-100.0,-57.0,-69.0,-100.0,-73.0,-100.0,-100.0,-63.0,-90.0,-100.0,-59.0,-73.0,-100.0,-82.0,-51.0,-55.0,-88.0,-100.0,-56.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-49.0,-61.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152440,50.0,22.0,2.044137908689655,21.659172179310346,-42.20813733793103,-0.15270053366551722,0.8912209431034482,9.66240364827586,0.0050006693886206904,-0.004111754866206896,0.00031175192862068835,-0.09203462718889627,0.01585954677269405,-0.05402384959040848,1018.3995240689654,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-79.0,-100.0,-79.0,-100.0,-54.0,-81.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-69.0,-74.0,-100.0,-100.0,-53.0,-84.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-72.0,-100.0,-100.0,-78.0,-74.0,-71.0,-100.0,-77.0,-100.0,-49.0,-72.0,-75.0,-57.0,-67.0,-87.0,-77.0,-65.0,-61.0,-80.0,-50.0,-60.0,-77.0,-84.0,-56.0,-62.0,-100.0,-68.0,-86.0,-87.0,-64.0,-86.0,-77.0,-65.0,-62.0,-100.0,-83.0,-51.0,-56.0,-78.0,-82.0,-56.0,-62.0,-67.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-71.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-75.0,-100.0,-81.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
