Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:08:9f:7c:21:44,00:1a:ee:a0:de:01,00:1a:ee:a0:de:06,00:1a:ee:a0:de:07,00:1a:ee:a0:de:16,00:1a:ee:a0:de:22,00:1a:ee:a0:de:52,00:1a:ee:a0:de:58,00:1a:ee:a0:de:71,00:1a:ee:a0:de:77,00:1a:ee:a0:de:78,00:1a:ee:a0:de:84,00:1a:ee:a0:de:90,00:1a:ee:a0:de:95,00:1a:ee:a0:de:97,00:1a:ee:a0:df:02,00:1a:ee:a0:df:14,00:1a:ee:a0:df:16,00:1a:ee:a0:df:18,00:1a:ee:a0:df:19,00:1a:ee:a0:df:31,00:1a:ee:a0:df:32,00:1a:ee:a0:df:44,00:1a:ee:a0:df:45,00:1a:ee:a0:de:15,00:1a:ee:a0:de:61,00:1a:ee:a0:de:72,00:1a:ee:a0:de:86,00:1a:ee:a0:df:01,00:1a:ee:a0:df:13,00:1a:ee:a0:de:12,00:1a:ee:a0:de:53,00:1a:ee:a0:de:65,00:1a:ee:a0:df:09,00:1a:ee:a0:de:76,00:1a:ee:a0:de:99,00:1a:ee:a0:df:20,00:1a:ee:a0:df:07,00:1a:ee:a0:de:62,00:1a:ee:a0:de:80,00:1a:ee:a0:df:05,00:1a:ee:a0:de:66,00:1a:ee:a0:df:06,00:1a:ee:a0:de:02,00:1a:ee:a0:de:18,00:1a:ee:a0:de:51,00:1a:ee:a0:df:15,00:1a:ee:a0:df:23,00:1a:ee:a0:df:35,00:1a:ee:a0:de:17,00:1a:ee:a0:de:33,00:1a:ee:a0:de:03,00:1a:ee:a0:de:05,00:1a:ee:a0:de:09,00:1a:ee:a0:de:19,00:1a:ee:a0:de:21,00:1a:ee:a0:de:43,00:1a:ee:a0:de:64,00:1a:ee:a0:de:70,00:1a:ee:a0:df:04,00:1a:ee:a0:df:08,00:1a:ee:a0:de:08,00:1a:ee:a0:de:10,00:1a:ee:a0:de:20,00:1a:ee:a0:de:37,00:1a:ee:a0:de:44,00:1a:ee:a0:de:48,00:1a:ee:a0:de:91,00:1a:ee:a0:de:92,00:1a:ee:a0:df:10,00:1a:ee:a0:df:17,00:1a:ee:a0:de:11,00:1a:ee:a0:de:14,00:1a:ee:a0:de:36,00:1a:ee:a0:de:55,00:1a:ee:a0:de:68,00:1a:ee:a0:de:23,00:1a:ee:a0:de:29,00:1a:ee:a0:de:30,00:1a:ee:a0:de:81,00:1a:ee:a0:de:82,00:1a:ee:a0:de:93,00:1a:ee:a0:de:94,00:1a:ee:a0:df:03,00:1a:ee:a0:de:24,00:1a:ee:a0:de:39,00:1a:ee:a0:de:46,00:1a:ee:a0:df:27,00:1a:ee:a0:de:75,00:1a:ee:a0:df:39,00:1a:ee:a0:de:54,00:1a:ee:a0:de:31,00:1a:ee:a0:de:13,00:1a:ee:a0:de:63,00:1a:ee:a0:de:74,64:e5:99:c6:97:5c,00:1a:ee:a0:de:67,00:1a:ee:a0:df:11,00:1a:ee:a0:de:79,00:1a:ee:a0:de:56,00:1a:ee:a0:de:04,00:1a:ee:a0:de:32,00:1a:ee:a0:de:50,00:1a:ee:a0:de:69,00:1a:ee:a0:de:87,00:1a:ee:a0:de:73,00:1a:ee:a0:df:21,00:1a:ee:a0:de:40,00:1a:ee:a0:de:47,00:1a:ee:a0:de:89,00:1a:ee:a0:de:38,00:1a:ee:a0:de:45,00:1a:ee:a0:df:40,00:1a:ee:a0:de:59,00:1a:ee:a0:df:25,00:1a:ee:a0:df:37,00:1a:ee:a0:df:22,00:1a:ee:a0:df:24,00:1a:ee:a0:df:28,00:1a:ee:a0:df:33,00:1a:ee:a0:df:26,00:1a:ee:a0:df:38,00:1a:ee:a0:df:34,00:1a:ee:a0:de:34,00:1a:ee:a0:de:35,00:1a:ee:a0:de:41,00:1a:ee:a0:de:42,00:1a:ee:a0:df:12
2021.02.11 161956,44.0,35.0,2.2789380200884954,-34.15327400000001,-32.26938007079645,-0.2262907519646018,0.5058700097345132,10.004360738938054,0.0002532116969911501,0.0005117101542477868,-0.006369011011946903,-0.05054710480689469,0.02260852927969933,-2.649686646672477,1016.2503615044249,-81.0,-79.0,-92.0,-88.0,-75.0,-73.0,-67.0,-90.0,-88.0,-82.0,-89.0,-81.0,-87.0,-84.0,-82.0,-75.0,-72.0,-79.0,-89.0,-68.0,-85.0,-81.0,-86.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162008,44.0,34.0,3.7413952906976746,-31.986511263565898,-32.115348387596896,-0.1808512681596899,0.4359992987627907,10.007456182170543,0.0014192911452713176,-0.004393901530000001,0.003940099941317829,-0.043574157332488865,0.017999732361063177,-3.0392129513644432,1016.2419482170543,-100.0,-87.0,-100.0,-100.0,-73.0,-80.0,-63.0,-100.0,-100.0,-80.0,-91.0,-83.0,-87.0,-87.0,-100.0,-76.0,-68.0,-84.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-91.0,-83.0,-90.0,-91.0,-68.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162019,44.0,33.0,6.979114913274336,-30.149203159292036,-31.512742964601774,-0.25961990385840705,0.20319553448672564,9.99544047345133,0.002875067032566372,0.0010955462255752219,-0.004487761990442479,-0.020339527248767513,0.02594586069061029,-2.9367095896628053,1016.2317907079647,-87.0,-86.0,-100.0,-89.0,-74.0,-75.0,-63.0,-100.0,-89.0,-83.0,-100.0,-83.0,-86.0,-88.0,-88.0,-74.0,-71.0,-76.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-89.0,-100.0,-100.0,-91.0,-91.0,-85.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162030,44.0,33.0,9.801578754385966,-24.471052368421052,-28.634210078947365,-0.29149245699298254,0.28412061071754385,10.010588942982457,-0.0016851304638596499,-0.0012639337957894735,-0.0027105058998245614,-0.028419184936578096,0.029055950198150934,-2.7805556769956623,1016.2306458771931,-100.0,-84.0,-100.0,-100.0,-100.0,-77.0,-66.0,-100.0,-87.0,-100.0,-100.0,-80.0,-100.0,-87.0,-87.0,-75.0,-68.0,-73.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-68.0,-84.0,-100.0,-100.0,-79.0,-86.0,-89.0,-87.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162041,44.0,32.0,5.091504359292036,-21.602123592920357,-31.12938007079646,-0.4187014547345133,0.13689742894690266,10.002602119469026,0.001729018921592921,-0.005856424662566373,0.0009073132039823009,-0.013711003374423701,0.041826492443318083,-2.966748092026837,1016.2255500884957,-86.0,-86.0,-92.0,-100.0,-100.0,-74.0,-61.0,-100.0,-79.0,-86.0,-90.0,-83.0,-89.0,-85.0,-100.0,-73.0,-68.0,-79.0,-100.0,-71.0,-91.0,-91.0,-88.0,-91.0,-88.0,-75.0,-89.0,-100.0,-76.0,-83.0,-100.0,-89.0,-81.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162058,44.0,30.0,1.61734510920354,-23.490796221238938,-31.196282548672567,-0.252543020380531,0.23584666358584072,10.004530252212389,-0.0011306951415929205,-0.0017857913571681413,0.0002153597546017698,-0.023637977841596557,0.025248109488706757,-0.38241256443800126,1016.213992743363,-83.0,-83.0,-100.0,-88.0,-70.0,-70.0,-61.0,-100.0,-82.0,-82.0,-89.0,-80.0,-83.0,-84.0,-100.0,-74.0,-68.0,-77.0,-100.0,-76.0,-88.0,-100.0,-87.0,-100.0,-100.0,-73.0,-88.0,-100.0,-70.0,-85.0,-100.0,-88.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-94.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162109,44.0,29.0,-0.22232141410714293,-23.387678312500004,-30.748928125,-0.15381077884285713,0.1335021979035714,10.01655545982143,-0.0028516496662499996,-0.004155018307767857,-0.002500664156160714,-0.013316159467519456,0.01532486591038049,0.8097732024533408,1016.2113029464284,-81.0,-81.0,-100.0,-87.0,-75.0,-69.0,-56.0,-100.0,-84.0,-84.0,-87.0,-77.0,-100.0,-81.0,-100.0,-77.0,-74.0,-76.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-86.0,-73.0,-100.0,-100.0,-68.0,-80.0,-89.0,-100.0,-100.0,-84.0,-100.0,-100.0,-87.0,-90.0,-100.0,-92.0,-100.0,-89.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162128,44.0,28.0,0.7037837780180181,-25.934594279279278,-33.7999994954955,-0.18630046348648646,0.15146484421981982,10.005954783783785,0.0005914938695495506,-0.004294074428378378,0.0019656979005405403,-0.015178288436947811,0.018542990235292933,0.0866759510727616,1016.2121044144142,-86.0,-86.0,-100.0,-87.0,-72.0,-72.0,-56.0,-100.0,-78.0,-85.0,-87.0,-78.0,-84.0,-83.0,-100.0,-76.0,-65.0,-77.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-69.0,-81.0,-100.0,-100.0,-82.0,-100.0,-100.0,-90.0,-100.0,-82.0,-100.0,-91.0,-82.0,-100.0,-92.0,-89.0,-88.0,-91.0,-88.0,-90.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162139,44.0,27.0,4.051794814529915,-24.541025384615384,-40.2815378974359,-0.22315869161367521,0.2863716375606838,10.01148622222222,-0.0022786840020512823,-0.0035998133184615387,-0.0030327005191453,-0.028572378921398103,0.022242700704472873,-3.0092018445332847,1016.207452991453,-82.0,-83.0,-100.0,-91.0,-65.0,-69.0,-58.0,-100.0,-71.0,-80.0,-85.0,-80.0,-78.0,-100.0,-100.0,-100.0,-66.0,-68.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-93.0,-72.0,-88.0,-100.0,-67.0,-86.0,-90.0,-100.0,-100.0,-89.0,-100.0,-100.0,-81.0,-100.0,-88.0,-86.0,-79.0,-93.0,-87.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162158,44.0,25.7972972972973,0.8643243085810811,-31.107567141891888,-44.20864795945946,-0.07711829735675677,0.21972324660810813,10.002422672297296,0.0018971493540540542,0.001494011338513514,-0.0021906618803378373,-0.022031146300660807,0.007771776059989757,0.14361650718225016,1016.2073652027027,-77.0,-76.0,-100.0,-77.0,-58.0,-58.0,-58.0,-100.0,-77.0,-76.0,-87.0,-80.0,-79.0,-83.0,-100.0,-77.0,-70.0,-73.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-85.0,-79.0,-73.0,-81.0,-87.0,-90.0,-80.0,-78.0,-100.0,-100.0,-76.0,-100.0,-82.0,-91.0,-81.0,-87.0,-85.0,-80.0,-100.0,-86.0,-85.0,-89.0,-88.0,-89.0,-100.0,-82.0,-91.0,-92.0,-82.0,-89.0,-87.0,-90.0,-90.0,-88.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
