Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ia:ct:de:06,00:1a:ia:ct:de:09,00:1a:ia:ct:de:10,00:1a:ia:ct:de:16,00:1a:ia:ct:de:17,00:1a:ia:ct:de:23,00:1a:ia:ct:de:24,00:1a:ia:ct:de:29,00:1a:ia:ct:de:30,00:1a:ia:ct:de:35,00:1a:ia:ct:de:36,00:1a:ia:ct:de:47,00:1a:ia:ct:de:62,00:1a:ia:ct:de:64,00:1a:ia:ct:de:65,00:1a:ia:ct:de:66,00:1a:ia:ct:de:67,00:1a:ia:ct:de:68,00:1a:ia:ct:de:69,00:1a:ia:ct:de:70,00:1a:ia:ct:de:71,00:1a:ia:ct:de:72,00:1a:ia:ct:de:74,00:1a:ia:ct:de:75,00:1a:ia:ct:de:76,00:1a:ia:ct:de:77,00:1a:ia:ct:de:79,00:1a:ia:ct:de:80,00:1a:ia:ct:de:81,00:1a:ia:ct:de:82,00:1a:ia:ct:de:83,00:1a:ia:ct:de:84,00:1a:ia:ct:de:85,00:1a:ia:ct:de:86,00:1a:ia:ct:de:87,00:1a:ia:ct:de:89,00:1a:ia:ct:de:90,00:1a:ia:ct:de:91,00:1a:ia:ct:de:92,00:1a:ia:ct:de:93,00:1a:ia:ct:de:94,00:1a:ia:ct:de:95,00:1a:ia:ct:de:96,00:1a:ia:ct:de:97,00:1a:ia:ct:de:98,00:1a:ia:ct:de:99,00:1a:ia:ct:df:01,00:1a:ia:ct:df:02,00:1a:ia:ct:df:03,00:1a:ia:ct:df:04,00:1a:ia:ct:df:05,00:1a:ia:ct:df:06,00:1a:ia:ct:df:07,00:1a:ia:ct:df:08,00:1a:ia:ct:df:09,00:1a:ia:ct:df:10,00:1a:ia:ct:df:11,00:1a:ia:ct:df:12,00:1a:ia:ct:df:13,00:1a:ia:ct:df:14,00:23:eb:22:cc:77,00:1a:ia:ct:de:07,00:1a:ia:ct:de:18,00:1a:ia:ct:de:19,00:1a:ia:ct:de:31,00:1a:ia:ct:de:32,00:1a:ia:ct:de:39,00:1a:ia:ct:de:40,00:1a:ia:ct:de:46,00:1a:ia:ct:de:63,00:1a:ia:ct:de:78,00:1a:ia:ct:df:15,00:1a:ia:ct:de:04,94:f6:65:00:06:7c,94:f6:65:40:06:7c,00:1a:ia:ct:de:57,00:1a:ia:ct:de:88,00:1a:ia:ct:de:50,00:1a:ia:ct:de:73,88:3c:1c:7c:d0:74,00:25:a6:ba:e3:64,50:64:2b:74:9e:a9,00:1a:ia:ct:de:53,00:1a:ia:ct:de:01,00:1a:ia:ct:de:08,00:1a:ia:ct:de:11,00:1a:ia:ct:de:13,00:1a:ia:ct:de:20,00:1a:ia:ct:de:21,00:1a:ia:ct:de:22,00:1a:ia:ct:de:25,00:1a:ia:ct:de:27,00:1a:ia:ct:de:33,00:1a:ia:ct:de:34,00:1a:ia:ct:de:51,00:1a:ia:ct:de:52,00:1a:ia:ct:de:12,00:1a:ia:ct:de:14,00:1a:ia:ct:de:38
2021.02.12 115336,7.0,18.0,6.714883593798449,-34.27023204651163,-23.591627627906977,0.05053807136976744,1.1068821468992245,9.632615817829457,-0.0032674190116279067,-0.008675233566666666,0.004399176800775194,-0.11444683915884915,-0.005250033526717809,-2.9268656109654625,1018.8399713178294,-84.0,-59.0,-69.0,-60.0,-70.0,-59.0,-68.0,-59.0,-70.0,-77.0,-77.0,-73.0,-76.0,-80.0,-65.0,-75.0,-84.0,-65.0,-72.0,-57.0,-64.0,-79.0,-68.0,-75.0,-54.0,-66.0,-78.0,-64.0,-72.0,-84.0,-64.0,-72.0,-57.0,-63.0,-76.0,-68.0,-76.0,-54.0,-67.0,-43.0,-54.0,-61.0,-69.0,-60.0,-66.0,-64.0,-73.0,-49.0,-72.0,-43.0,-52.0,-61.0,-66.0,-60.0,-66.0,-66.0,-72.0,-48.0,-72.0,-79.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115349,7.0,17.0,5.431162703875969,-31.886511178294572,-22.73209280620155,-0.12902705572093023,0.6970467672635658,9.681019503875971,0.0060755046418604665,-0.00828693166860465,-0.007912835815891472,-0.0719522374389736,0.01332384397448561,-2.973198874052181,1018.824444883721,-82.0,-72.0,-100.0,-81.0,-100.0,-72.0,-100.0,-82.0,-100.0,-85.0,-86.0,-100.0,-100.0,-100.0,-65.0,-85.0,-100.0,-48.0,-70.0,-42.0,-63.0,-100.0,-63.0,-80.0,-41.0,-50.0,-100.0,-64.0,-84.0,-100.0,-47.0,-70.0,-43.0,-64.0,-100.0,-63.0,-80.0,-44.0,-49.0,-35.0,-44.0,-61.0,-74.0,-50.0,-63.0,-66.0,-75.0,-60.0,-75.0,-33.0,-42.0,-62.0,-74.0,-52.0,-63.0,-66.0,-77.0,-59.0,-76.0,-100.0,-100.0,-84.0,-56.0,-61.0,-56.0,-60.0,-87.0,-75.0,-88.0,-70.0,-65.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115359,7.0,16.0,2.2115043946902655,-29.02938013274336,-18.630796168141593,-0.08809814769469027,0.9031013543362831,9.662786141592921,-0.002178572529646018,-0.010454985576548673,-0.003130008639823009,-0.09321796379785618,0.009101894760820186,-3.0666960530576453,1018.8246017699114,-83.0,-73.0,-100.0,-71.0,-100.0,-72.0,-100.0,-70.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-70.0,-86.0,-80.0,-56.0,-71.0,-56.0,-67.0,-81.0,-62.0,-78.0,-48.0,-60.0,-100.0,-70.0,-87.0,-100.0,-57.0,-73.0,-56.0,-64.0,-81.0,-63.0,-78.0,-48.0,-59.0,-33.0,-43.0,-54.0,-75.0,-52.0,-63.0,-60.0,-77.0,-58.0,-76.0,-32.0,-43.0,-54.0,-73.0,-52.0,-64.0,-61.0,-77.0,-57.0,-76.0,-86.0,-100.0,-84.0,-53.0,-59.0,-53.0,-61.0,-100.0,-100.0,-100.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115410,7.0,15.0,-1.5237209008527133,-25.174418325581392,-17.262790488372094,-0.008259067582170538,0.8584048237209302,9.658822085271318,0.0015153247604651173,0.002552375044186046,-0.0019083620589147288,-0.08866179832654403,0.0008866401036558493,3.076270478640416,1018.8291122480621,-81.0,-66.0,-88.0,-100.0,-100.0,-68.0,-89.0,-100.0,-100.0,-89.0,-90.0,-100.0,-100.0,-100.0,-68.0,-88.0,-100.0,-63.0,-77.0,-54.0,-68.0,-100.0,-56.0,-80.0,-50.0,-58.0,-100.0,-100.0,-88.0,-100.0,-57.0,-77.0,-54.0,-68.0,-100.0,-62.0,-80.0,-51.0,-58.0,-35.0,-46.0,-100.0,-71.0,-55.0,-63.0,-65.0,-74.0,-56.0,-73.0,-35.0,-46.0,-65.0,-71.0,-56.0,-63.0,-65.0,-74.0,-55.0,-73.0,-100.0,-100.0,-78.0,-48.0,-57.0,-48.0,-57.0,-100.0,-77.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115541,10.0,10.0,20.313478050724637,-0.8730434525362318,-31.430869181159423,-0.22111667089130435,0.5877765189130435,9.691051815217392,0.007449900147826086,0.0005134809181159421,-0.004966600124637681,-0.06053392068091505,0.02280233428894498,-1.5160944651866304,1018.8009959420289,-82.0,-74.0,-100.0,-74.0,-100.0,-75.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-86.0,-100.0,-71.0,-74.0,-65.0,-67.0,-89.0,-67.0,-79.0,-43.0,-49.0,-100.0,-100.0,-84.0,-100.0,-71.0,-74.0,-65.0,-67.0,-89.0,-68.0,-81.0,-43.0,-49.0,-43.0,-49.0,-60.0,-76.0,-58.0,-64.0,-66.0,-82.0,-59.0,-73.0,-43.0,-50.0,-60.0,-78.0,-57.0,-65.0,-66.0,-82.0,-59.0,-72.0,-100.0,-100.0,-81.0,-53.0,-56.0,-53.0,-56.0,-100.0,-100.0,-100.0,-79.0,-79.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115552,11.0,10.0,19.779415875912413,0.8899269830656935,-33.315328065693436,-0.23461429131678832,0.483506411459854,9.6835671459854,0.005051900186131386,-0.004155667174817518,-5.796519927007332e-05,-0.04985215669892126,0.024197347800801367,-1.4355632614915388,1018.7989557664234,-76.0,-73.0,-100.0,-58.0,-69.0,-72.0,-100.0,-58.0,-70.0,-100.0,-82.0,-100.0,-100.0,-100.0,-63.0,-77.0,-85.0,-65.0,-77.0,-56.0,-58.0,-77.0,-56.0,-70.0,-44.0,-64.0,-100.0,-62.0,-75.0,-82.0,-65.0,-73.0,-57.0,-55.0,-77.0,-46.0,-71.0,-44.0,-64.0,-50.0,-61.0,-54.0,-63.0,-56.0,-63.0,-58.0,-67.0,-46.0,-64.0,-49.0,-62.0,-55.0,-64.0,-57.0,-63.0,-57.0,-66.0,-46.0,-62.0,-100.0,-100.0,-87.0,-50.0,-71.0,-52.0,-70.0,-100.0,-100.0,-100.0,-77.0,-77.0,-100.0,-100.0,-90.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115609,12.0,10.0,19.678079808000003,0.08351999888,-32.13599956,-0.1283675182424,0.56813449288,9.685503483999998,0.0056346210696,-0.0047696359252,-0.009275377821200002,-0.058630794733762696,0.013215646851746875,-1.467925189971924,1018.7949027199999,-79.0,-74.0,-100.0,-55.0,-72.0,-74.0,-100.0,-55.0,-75.0,-88.0,-85.0,-76.0,-100.0,-100.0,-69.0,-75.0,-78.0,-64.0,-77.0,-46.0,-56.0,-76.0,-56.0,-68.0,-43.0,-57.0,-100.0,-70.0,-76.0,-71.0,-64.0,-78.0,-45.0,-55.0,-76.0,-56.0,-67.0,-42.0,-56.0,-41.0,-62.0,-54.0,-67.0,-50.0,-61.0,-60.0,-68.0,-49.0,-62.0,-41.0,-62.0,-54.0,-69.0,-50.0,-58.0,-61.0,-68.0,-49.0,-62.0,-100.0,-100.0,-86.0,-56.0,-68.0,-54.0,-72.0,-90.0,-100.0,-90.0,-79.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115620,13.0,10.0,16.974406542372883,-0.9172881117796611,-21.392542169491524,-0.07626952716186443,0.8535734852542373,9.668070466101696,0.007004243107627119,0.002945612805508475,-0.003349405239830509,-0.08812209899079494,0.007917945582017083,-1.5119621248568518,1018.7876983050845,-77.0,-72.0,-100.0,-54.0,-71.0,-73.0,-100.0,-54.0,-73.0,-88.0,-80.0,-68.0,-69.0,-100.0,-58.0,-76.0,-79.0,-56.0,-76.0,-54.0,-56.0,-84.0,-60.0,-68.0,-40.0,-53.0,-100.0,-58.0,-75.0,-78.0,-58.0,-75.0,-55.0,-56.0,-83.0,-60.0,-67.0,-40.0,-51.0,-38.0,-56.0,-53.0,-66.0,-53.0,-54.0,-58.0,-68.0,-52.0,-64.0,-38.0,-53.0,-54.0,-66.0,-53.0,-54.0,-58.0,-69.0,-52.0,-64.0,-88.0,-100.0,-100.0,-62.0,-69.0,-61.0,-69.0,-100.0,-100.0,-100.0,-69.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115750,13.0,18.0,-10.281230592307693,18.823384384615384,-36.92215332307692,-0.2179644396,0.7252957795384615,9.682464753846153,0.0016916266915384614,-0.005596465443076924,-0.004421724511923076,-0.07478111323255757,0.02256349648635543,0.4766375720500946,1018.7517415384616,-78.0,-80.0,-100.0,-64.0,-76.0,-79.0,-100.0,-64.0,-74.0,-82.0,-80.0,-71.0,-64.0,-100.0,-62.0,-76.0,-75.0,-56.0,-77.0,-51.0,-57.0,-78.0,-63.0,-72.0,-31.0,-40.0,-100.0,-59.0,-75.0,-76.0,-56.0,-78.0,-52.0,-53.0,-77.0,-60.0,-73.0,-30.0,-41.0,-36.0,-53.0,-50.0,-73.0,-40.0,-49.0,-59.0,-68.0,-53.0,-65.0,-36.0,-53.0,-51.0,-70.0,-40.0,-48.0,-59.0,-67.0,-54.0,-66.0,-100.0,-100.0,-88.0,-57.0,-70.0,-57.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115802,14.0,18.0,28.602655874999996,0.1064062490625,-33.14906197656249,-0.18474632917421874,0.897114857734375,9.66513039453125,0.0013839916039062516,-0.005564600683984375,-0.0013410401558593748,-0.09250951453577724,0.019135777897417897,-1.4559206999838352,1018.7506246875,-81.0,-72.0,-100.0,-76.0,-100.0,-72.0,-100.0,-76.0,-100.0,-83.0,-85.0,-100.0,-100.0,-85.0,-67.0,-77.0,-100.0,-56.0,-75.0,-56.0,-55.0,-84.0,-66.0,-76.0,-56.0,-61.0,-85.0,-66.0,-79.0,-100.0,-58.0,-76.0,-56.0,-54.0,-84.0,-66.0,-78.0,-57.0,-58.0,-29.0,-41.0,-61.0,-74.0,-56.0,-68.0,-67.0,-77.0,-52.0,-61.0,-29.0,-39.0,-61.0,-76.0,-56.0,-66.0,-100.0,-75.0,-53.0,-61.0,-87.0,-100.0,-86.0,-66.0,-100.0,-66.0,-100.0,-100.0,-78.0,-100.0,-77.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
