Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x4,32:24:a9:c6:2d:75,86:25:19:b5:ef:50,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:x3,ea:d8:d1:b4:cf:21,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:x7,00:1a:ac:a0:de:h3,70:5d:cc:e8:73:1c,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:g2,70:5d:cc:e8:73:1e,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t6,72:5d:cc:c6:d1:c8,00:1a:ac:a0:de:d5,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:m9,00:1a:ac:a0:de:q4,88:36:6c:4b:14:1c,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:t4,00:1b:ad:a1:df:a8,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:t2,70:5d:cc:b1:75:50,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:q2,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,70:5d:cc:ea:72:5c,88:36:6c:51:f3:22,00:1a:ab:a0:de:a3,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:k3,28:b3:71:0f:d8:ec,28:b3:71:0f:d8:ed,28:b3:71:4f:d8:ec,28:b3:71:8f:d8:ec,28:b3:71:cf:d8:ec,72:5d:cc:4b:31:60,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,70:5d:cc:ea:72:5e,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:i7,70:5d:cc:1b:31:60,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:q7,00:1a:ac:a0:de:v4
2021.05.22 151848,1.0,27.0,46.737735150943394,-37.713961691823904,-6.547924432704403,-0.23177077013836483,1.4065859698113206,9.612373525157233,0.0020093240694968547,-0.004402840240880504,0.0014714553864779876,-0.14532840762685675,0.02402620262210779,-2.2317488748322494,1001.9976818867922,-59.0,-79.0,-57.0,-82.0,-62.0,-54.0,-69.0,-87.0,-62.0,-56.0,-77.0,-77.0,-89.0,-88.0,-64.0,-61.0,-62.0,-69.0,-88.0,-77.0,-43.0,-52.0,-38.0,-43.0,-67.0,-73.0,-87.0,-88.0,-88.0,-64.0,-60.0,-63.0,-69.0,-88.0,-80.0,-43.0,-52.0,-90.0,-38.0,-43.0,-66.0,-72.0,-86.0,-75.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 151859,1.0,26.0,5.660217302173913,-29.40163007065217,-28.724021336956522,-0.40573911517934785,1.4137370847826087,9.599538671195653,0.0018458756684782605,-0.000142756472554347,0.0037315899298913054,-0.14619582482492147,0.042243450358712444,-2.9645293691883916,1001.9938384782608,-64.0,-74.0,-55.0,-100.0,-65.0,-58.0,-75.0,-100.0,-100.0,-64.0,-71.0,-100.0,-100.0,-100.0,-68.0,-56.0,-67.0,-72.0,-100.0,-100.0,-55.0,-61.0,-40.0,-48.0,-67.0,-76.0,-86.0,-100.0,-100.0,-67.0,-62.0,-66.0,-74.0,-100.0,-100.0,-56.0,-59.0,-89.0,-40.0,-47.0,-67.0,-77.0,-86.0,-100.0,-75.0,-90.0,-73.0,-73.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 151912,1.0,25.0,4.6453713514285715,-43.43245645142857,-30.822513874285715,-0.26728867589714284,1.1748689977142857,9.634199182857143,0.004328416569142857,-0.006031858249428571,0.0021746803279999996,-0.12132206929581502,0.027686815469392667,-3.0456018039158415,1001.9976494857143,-64.0,-79.0,-56.0,-87.0,-67.0,-100.0,-68.0,-87.0,-61.0,-58.0,-76.0,-100.0,-100.0,-88.0,-63.0,-53.0,-63.0,-69.0,-83.0,-100.0,-41.0,-54.0,-33.0,-43.0,-51.0,-73.0,-83.0,-100.0,-87.0,-63.0,-52.0,-63.0,-70.0,-84.0,-100.0,-41.0,-54.0,-81.0,-34.0,-45.0,-51.0,-73.0,-82.0,-70.0,-75.0,-88.0,-63.0,-65.0,-100.0,-72.0,-74.0,-75.0,-72.0,-82.0,-83.0,-79.0,-87.0,-74.0,-72.0,-83.0,-82.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 151924,1.0,24.0,37.31576429411765,-4.173882284117647,-32.01352897058824,-0.23518102438235294,1.1295562164117647,9.641154505882353,0.006669210794411765,-0.005781659862941177,-0.008986905704117646,-0.11678389341515649,0.024527004795313282,-1.5792598808512968,1001.9977820000001,-63.0,-83.0,-54.0,-100.0,-64.0,-54.0,-71.0,-87.0,-69.0,-63.0,-88.0,-100.0,-75.0,-82.0,-60.0,-48.0,-64.0,-63.0,-85.0,-63.0,-39.0,-67.0,-28.0,-37.0,-60.0,-64.0,-71.0,-76.0,-82.0,-59.0,-46.0,-66.0,-63.0,-80.0,-64.0,-39.0,-69.0,-75.0,-28.0,-38.0,-58.0,-65.0,-72.0,-100.0,-73.0,-100.0,-57.0,-57.0,-100.0,-100.0,-80.0,-100.0,-100.0,-79.0,-75.0,-75.0,-87.0,-77.0,-100.0,-79.0,-75.0,-86.0,-85.0,-86.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152051,9.0,24.0,28.806908727272734,-1.8523636078181818,-29.66327236363637,-0.25776120501212124,0.8729694667272728,9.661082639393937,-0.0018140846515151516,-0.007752435275757577,-0.0003591146445454544,-0.09008985374009966,0.026640352972154595,-1.5387555028453017,1002.0031979393938,-61.0,-78.0,-100.0,-80.0,-73.0,-63.0,-72.0,-85.0,-67.0,-64.0,-80.0,-100.0,-75.0,-86.0,-61.0,-43.0,-56.0,-69.0,-81.0,-62.0,-36.0,-54.0,-32.0,-39.0,-53.0,-63.0,-67.0,-76.0,-87.0,-60.0,-43.0,-55.0,-69.0,-82.0,-61.0,-35.0,-53.0,-70.0,-32.0,-39.0,-53.0,-63.0,-69.0,-100.0,-76.0,-100.0,-52.0,-53.0,-81.0,-100.0,-75.0,-100.0,-72.0,-87.0,-71.0,-71.0,-84.0,-100.0,-72.0,-87.0,-71.0,-84.0,-100.0,-81.0,-100.0,-68.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152102,10.0,24.0,27.908789458598726,-0.44025476656050955,-31.773248101910827,-0.25915327185987264,0.8156602888535033,9.662997996815285,0.0018637225773885352,-0.009104615842038217,-0.0025913136885350324,-0.08422499154783354,0.02673359901776272,-1.4859302780430788,1001.9872130573248,-65.0,-100.0,-100.0,-69.0,-100.0,-100.0,-80.0,-80.0,-59.0,-62.0,-75.0,-59.0,-78.0,-86.0,-56.0,-40.0,-54.0,-52.0,-76.0,-57.0,-60.0,-73.0,-39.0,-47.0,-100.0,-59.0,-73.0,-78.0,-84.0,-62.0,-40.0,-54.0,-53.0,-76.0,-57.0,-60.0,-73.0,-72.0,-39.0,-46.0,-54.0,-60.0,-71.0,-100.0,-70.0,-78.0,-55.0,-55.0,-100.0,-68.0,-70.0,-100.0,-64.0,-83.0,-68.0,-72.0,-82.0,-100.0,-63.0,-84.0,-70.0,-82.0,-80.0,-100.0,-66.0,-100.0,-78.0,-84.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152113,11.0,24.0,28.038193206451616,-0.5833548235483871,-33.15058016129032,-0.21155475063032259,0.9228643546451615,9.661376112903227,0.0021242346361290327,-0.0032159096074193547,0.005383496401290322,-0.09520529950818703,0.02189405941584654,-1.4746896936047462,1001.9730379354837,-64.0,-77.0,-53.0,-73.0,-100.0,-100.0,-85.0,-77.0,-58.0,-59.0,-72.0,-58.0,-80.0,-85.0,-61.0,-39.0,-54.0,-56.0,-72.0,-100.0,-63.0,-68.0,-48.0,-46.0,-47.0,-56.0,-69.0,-100.0,-85.0,-60.0,-40.0,-53.0,-56.0,-73.0,-100.0,-64.0,-68.0,-72.0,-48.0,-45.0,-47.0,-55.0,-69.0,-100.0,-63.0,-100.0,-54.0,-54.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-72.0,-72.0,-82.0,-100.0,-100.0,-100.0,-72.0,-82.0,-100.0,-100.0,-63.0,-70.0,-78.0,-100.0,-100.0,-81.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152125,12.0,24.0,28.76463542384106,-1.7499337501324503,-33.90516512582782,-0.26242670283046354,0.7399668746357615,9.675175152317879,0.0005501833039735105,-0.004336738718874173,0.0003843193102649015,-0.07632399273925265,0.02707930289872683,-1.5383524105248862,1001.9852919205297,-62.0,-69.0,-48.0,-76.0,-100.0,-100.0,-87.0,-82.0,-60.0,-60.0,-80.0,-56.0,-100.0,-85.0,-66.0,-39.0,-50.0,-52.0,-73.0,-56.0,-63.0,-76.0,-45.0,-55.0,-53.0,-52.0,-70.0,-100.0,-85.0,-65.0,-39.0,-51.0,-52.0,-74.0,-61.0,-63.0,-76.0,-70.0,-44.0,-54.0,-54.0,-54.0,-67.0,-62.0,-66.0,-70.0,-62.0,-63.0,-100.0,-100.0,-66.0,-100.0,-64.0,-100.0,-75.0,-69.0,-76.0,-100.0,-63.0,-100.0,-75.0,-78.0,-100.0,-100.0,-100.0,-61.0,-78.0,-100.0,-100.0,-100.0,-61.0,-70.0,-75.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152257,20.0,24.0,35.20012238650307,1.325889542944785,-28.884294171779146,-0.38470267855214724,1.0229704230674848,9.639643539877303,0.010879397465644172,-0.00606742839815951,0.006479668648466258,-0.10569269333514694,0.03982676569218143,-1.4387818669980288,1001.9619621472391,-63.0,-69.0,-60.0,-71.0,-100.0,-100.0,-100.0,-82.0,-64.0,-60.0,-74.0,-55.0,-69.0,-83.0,-65.0,-34.0,-48.0,-57.0,-75.0,-63.0,-61.0,-73.0,-57.0,-54.0,-58.0,-64.0,-72.0,-72.0,-83.0,-67.0,-34.0,-48.0,-58.0,-75.0,-63.0,-63.0,-73.0,-72.0,-57.0,-53.0,-58.0,-64.0,-69.0,-100.0,-69.0,-71.0,-50.0,-51.0,-100.0,-100.0,-65.0,-60.0,-66.0,-87.0,-67.0,-71.0,-79.0,-56.0,-65.0,-88.0,-68.0,-78.0,-88.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-76.0,-88.0,-78.0,-87.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152308,21.0,24.0,37.017374475,1.3889999730625,-31.14899948125,-0.28354830075000004,0.9328857280625001,9.660469253125,0.00699440682125,-0.006051383782500001,0.0020311269287500004,-0.09624796640127893,0.029346488299051943,-1.4472306430339814,1001.9617561875,-85.0,-100.0,-69.0,-83.0,-100.0,-100.0,-100.0,-72.0,-100.0,-78.0,-88.0,-100.0,-100.0,-77.0,-77.0,-28.0,-35.0,-54.0,-61.0,-52.0,-63.0,-87.0,-57.0,-67.0,-48.0,-55.0,-64.0,-74.0,-77.0,-100.0,-27.0,-34.0,-70.0,-61.0,-54.0,-65.0,-87.0,-70.0,-57.0,-68.0,-48.0,-54.0,-64.0,-65.0,-79.0,-100.0,-56.0,-56.0,-49.0,-57.0,-52.0,-60.0,-52.0,-100.0,-71.0,-66.0,-75.0,-60.0,-51.0,-100.0,-72.0,-75.0,-100.0,-100.0,-100.0,-55.0,-57.0,-100.0,-68.0,-100.0,-53.0,-100.0,-100.0,-100.0,-73.0,-75.0,-75.0,-76.0,-100.0,-81.0,-69.0,-80.0,-75.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
