Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ab:a0:de:a1,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:j4,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:d9,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:m8,00:1a:ac:a0:de:e5,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:e2,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:d7,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v3,00:1a:cs:a0:de:10,00:1a:ac:a0:de:g2,00:1a:cs:a0:de:52,00:1a:cs:a0:de:53,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:n8,00:1a:ab:a0:de:a3,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:n9,70:5d:cc:b5:7e:cc,00:1a:ac:a0:de:d2,2c:5d:93:16:e5:d8,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:u9,70:5d:cc:05:03:10
2021.02.07 165843,46.0,24.0,25.232678312499996,3.9123213651785718,-29.862321053571428,-0.3041156558035714,0.8152933251785716,9.952872053571427,0.0021429153664285715,-0.0012683743271428567,-0.0036804631176785715,-0.0817043793919895,0.030658728696705193,-1.3123262865202767,1011.6708407142858,-66.0,-57.0,-91.0,-83.0,-73.0,-80.0,-80.0,-54.0,-85.0,-68.0,-63.0,-86.0,-49.0,-67.0,-64.0,-87.0,-87.0,-49.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.07 165855,47.0,24.0,26.212173626086955,6.295304253913043,-28.71130393913043,-0.33753028904347826,0.6838881583478261,9.969427226086959,0.0024529960264347826,-0.0022537740558260873,-0.005274688578608695,-0.06844381923260894,0.03388020233453611,-1.251661125473354,1011.6524801739132,-100.0,-100.0,-88.0,-100.0,-100.0,-79.0,-78.0,-88.0,-87.0,-100.0,-65.0,-82.0,-55.0,-60.0,-64.0,-82.0,-60.0,-54.0,-60.0,-61.0,-61.0,-79.0,-67.0,-85.0,-56.0,-80.0,-62.0,-68.0,-90.0,-74.0,-68.0,-86.0,-68.0,-72.0,-60.0,-69.0,-68.0,-79.0,-77.0,-44.0,-47.0,-72.0,-76.0,-62.0,-67.0,-80.0,-67.0,-87.0,-66.0,-72.0,-69.0,-69.0,-79.0,-76.0,-43.0,-47.0,-74.0,-76.0,-62.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.07 165906,48.0,24.0,26.326551422413793,5.551034412931035,-26.498275517241378,-0.2607076289224138,0.6789007480172413,9.966684922413794,0.00010230949370689618,-0.0015931787701724133,-0.004004326976896551,-0.06797991259473148,0.026164972885704456,-1.289375940273548,1011.6441487931033,-100.0,-100.0,-84.0,-100.0,-74.0,-100.0,-100.0,-88.0,-80.0,-71.0,-64.0,-80.0,-49.0,-51.0,-63.0,-81.0,-61.0,-49.0,-51.0,-56.0,-60.0,-100.0,-71.0,-85.0,-60.0,-75.0,-64.0,-68.0,-100.0,-72.0,-70.0,-86.0,-70.0,-75.0,-61.0,-71.0,-100.0,-80.0,-75.0,-48.0,-49.0,-73.0,-75.0,-65.0,-71.0,-100.0,-70.0,-87.0,-70.0,-76.0,-71.0,-76.0,-79.0,-100.0,-48.0,-49.0,-73.0,-76.0,-59.0,-71.0,-87.0,-76.0,-67.0,-57.0,-89.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.07 165919,48.0,23.0,12.018749651785715,-30.077142464285714,-29.590178178571428,-0.24227068179285713,0.5194507466071429,9.984168683035714,0.007826143846785713,-0.00018299787446428542,-0.004645848300357143,-0.05197593838342328,0.024311737823804143,-2.7650056630373,1011.6550998214286,-100.0,-89.0,-82.0,-100.0,-78.0,-73.0,-79.0,-89.0,-81.0,-67.0,-64.0,-80.0,-47.0,-58.0,-65.0,-80.0,-66.0,-46.0,-58.0,-57.0,-62.0,-81.0,-72.0,-100.0,-56.0,-100.0,-66.0,-66.0,-100.0,-74.0,-100.0,-88.0,-69.0,-74.0,-66.0,-76.0,-74.0,-76.0,-75.0,-44.0,-47.0,-75.0,-73.0,-100.0,-69.0,-78.0,-100.0,-88.0,-70.0,-74.0,-76.0,-100.0,-76.0,-75.0,-44.0,-47.0,-74.0,-73.0,-70.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.07 165931,48.0,22.0,12.26920325663717,-30.622831415929202,-28.50902618584071,-0.35339919938053105,0.5627181442477875,9.967005769911504,0.00012178929088495609,0.00040112760318584056,-0.002266147870088495,-0.05637138531403199,0.03552038016506524,-2.7715360337654045,1011.6656966371683,-100.0,-100.0,-84.0,-78.0,-70.0,-100.0,-100.0,-100.0,-100.0,-72.0,-64.0,-84.0,-52.0,-64.0,-64.0,-82.0,-69.0,-53.0,-64.0,-60.0,-70.0,-83.0,-69.0,-76.0,-58.0,-77.0,-59.0,-68.0,-89.0,-70.0,-74.0,-80.0,-62.0,-65.0,-69.0,-81.0,-100.0,-78.0,-76.0,-54.0,-65.0,-74.0,-75.0,-67.0,-59.0,-100.0,-72.0,-81.0,-68.0,-65.0,-81.0,-100.0,-78.0,-70.0,-54.0,-65.0,-74.0,-75.0,-66.0,-59.0,-80.0,-63.0,-72.0,-100.0,-100.0,-100.0,-70.0,-100.0,-86.0,-83.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.07 165941,48.0,21.0,19.764642660714287,-26.921249687499994,-18.118928357142856,-0.30608238197142856,0.54125575375,9.979316008928572,0.0020829195185714283,-1.391892107142837e-05,-0.006462081696160715,-0.05415750940197276,0.030672357496898988,-2.503337406686374,1011.6655973214287,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-72.0,-100.0,-87.0,-100.0,-76.0,-86.0,-61.0,-69.0,-76.0,-86.0,-80.0,-61.0,-69.0,-56.0,-72.0,-100.0,-72.0,-78.0,-59.0,-79.0,-55.0,-68.0,-88.0,-68.0,-69.0,-81.0,-70.0,-74.0,-81.0,-85.0,-100.0,-79.0,-100.0,-54.0,-65.0,-81.0,-81.0,-60.0,-64.0,-100.0,-70.0,-80.0,-71.0,-74.0,-85.0,-100.0,-78.0,-100.0,-56.0,-65.0,-81.0,-80.0,-67.0,-64.0,-86.0,-100.0,-65.0,-54.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-89.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.07 165952,48.0,20.0,10.435384381196581,-23.909230478632484,-20.768204897435893,-0.13205346424957262,0.6418702845299147,9.973730230769231,-0.0014563602660683764,-0.0024527648217094015,-0.004713582590427351,-0.06427254623327495,0.013255786550933707,-2.7192409914782925,1011.6725741025639,-100.0,-93.0,-100.0,-100.0,-86.0,-73.0,-79.0,-100.0,-85.0,-77.0,-75.0,-100.0,-67.0,-78.0,-74.0,-100.0,-81.0,-67.0,-78.0,-71.0,-69.0,-83.0,-59.0,-86.0,-59.0,-75.0,-55.0,-61.0,-100.0,-61.0,-76.0,-85.0,-79.0,-82.0,-81.0,-100.0,-70.0,-76.0,-83.0,-56.0,-65.0,-84.0,-89.0,-75.0,-76.0,-100.0,-75.0,-86.0,-75.0,-82.0,-100.0,-70.0,-76.0,-82.0,-57.0,-65.0,-84.0,-90.0,-75.0,-76.0,-100.0,-100.0,-63.0,-52.0,-100.0,-90.0,-100.0,-100.0,-90.0,-100.0,-100.0,-87.0,-90.0,-100.0,-90.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.07 170005,48.0,19.0,10.725132420353981,-31.249380035398225,-33.666902088495576,-0.19512280319469025,0.7781181246902654,9.970438300884958,-0.0021108420453982302,-0.004323617637876107,-0.0006822229918584072,-0.07787501413078432,0.019589060258153223,-2.8034575175395053,1011.6669192035399,-100.0,-100.0,-90.0,-100.0,-86.0,-72.0,-84.0,-100.0,-87.0,-79.0,-77.0,-100.0,-74.0,-79.0,-77.0,-100.0,-84.0,-75.0,-79.0,-66.0,-74.0,-100.0,-65.0,-100.0,-57.0,-84.0,-58.0,-57.0,-100.0,-66.0,-74.0,-86.0,-77.0,-84.0,-87.0,-100.0,-100.0,-75.0,-86.0,-57.0,-68.0,-100.0,-89.0,-68.0,-73.0,-84.0,-75.0,-88.0,-83.0,-83.0,-100.0,-73.0,-75.0,-85.0,-58.0,-68.0,-89.0,-100.0,-69.0,-73.0,-100.0,-76.0,-100.0,-59.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-91.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.07 170016,48.0,18.0,10.564864527027028,-31.668107756756758,-36.94162110810811,-0.1038381888918919,0.47982561913513516,9.976511680180185,0.0036391222537837833,-0.0018287764594594593,-0.0035848433829729727,-0.048050308818215676,0.010421368258854187,-2.814447475983216,1011.6915827027027,-100.0,-100.0,-90.0,-82.0,-100.0,-65.0,-84.0,-100.0,-100.0,-70.0,-86.0,-100.0,-77.0,-83.0,-86.0,-100.0,-85.0,-76.0,-82.0,-59.0,-76.0,-89.0,-67.0,-100.0,-58.0,-79.0,-65.0,-64.0,-89.0,-67.0,-77.0,-100.0,-82.0,-86.0,-88.0,-100.0,-78.0,-72.0,-88.0,-60.0,-66.0,-100.0,-91.0,-76.0,-77.0,-100.0,-80.0,-100.0,-100.0,-87.0,-100.0,-78.0,-72.0,-90.0,-60.0,-66.0,-100.0,-89.0,-75.0,-77.0,-100.0,-78.0,-69.0,-53.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-83.0,-88.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.07 170030,48.0,17.0,9.416841890350877,-33.122631140350876,-35.034736377192985,-0.19267611496491227,0.49790415192982457,9.984861057017543,0.0018334638989473688,0.000342706159122807,-0.001224945546578947,-0.049813757732249095,0.019302815149881292,-2.870587658463863,1011.7065350877194,-100.0,-100.0,-88.0,-83.0,-85.0,-64.0,-79.0,-100.0,-85.0,-100.0,-78.0,-100.0,-75.0,-81.0,-81.0,-100.0,-89.0,-76.0,-81.0,-59.0,-77.0,-84.0,-62.0,-89.0,-55.0,-90.0,-55.0,-68.0,-90.0,-62.0,-85.0,-91.0,-85.0,-100.0,-88.0,-100.0,-76.0,-73.0,-100.0,-58.0,-72.0,-100.0,-100.0,-81.0,-85.0,-88.0,-84.0,-90.0,-86.0,-100.0,-100.0,-76.0,-73.0,-100.0,-58.0,-72.0,-100.0,-100.0,-80.0,-85.0,-100.0,-71.0,-100.0,-55.0,-100.0,-100.0,-88.0,-89.0,-100.0,-100.0,-100.0,-78.0,-85.0,-100.0,-100.0,-88.0,-100.0,-100.0,-87.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
