Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:be:a0:de:33,00:1a:be:a0:de:69,00:1a:be:a0:de:70,00:1a:be:a0:de:72,00:1a:be:a0:de:73,00:1a:be:a0:de:78,00:1a:be:a0:de:79,00:1a:be:a0:de:85,00:1a:be:a0:de:86,00:1a:be:a0:df:13,00:1a:be:a0:df:14,00:1a:be:a0:df:25,00:1a:be:a0:df:26,00:1a:be:a0:df:28,00:1a:be:a0:df:29,00:1a:be:a0:df:35,00:1a:be:a0:df:41,00:1a:be:a0:df:42,00:1a:be:a0:df:69,00:1a:be:a0:df:70,00:1a:be:a0:de:39,00:1a:be:a0:de:40,00:1a:be:a0:de:52,00:1a:be:a0:de:53,00:1a:be:a0:de:89,00:1a:be:a0:de:90,00:1a:be:a0:de:91,00:1a:be:a0:de:92,00:1a:be:a0:de:94,00:1a:be:a0:de:95,00:1a:be:a0:de:96,00:1a:be:a0:df:08,00:1a:be:a0:df:11,00:1a:be:a0:df:12,00:1a:be:a0:df:20,00:1a:be:a0:df:45,00:1a:be:a0:df:46,00:1a:be:a0:df:47,00:1a:be:a0:df:48,00:1a:be:a0:df:50,00:1a:be:a0:df:51,00:1a:be:a0:df:52,00:1a:be:a0:df:56,00:1a:be:a0:df:67,00:1a:be:a0:df:68,00:1a:be:a0:df:73,00:1a:be:a0:de:35,00:1a:be:a0:de:80,00:1a:be:a0:de:93,00:1a:be:a0:df:49,00:1a:be:a0:df:75,00:1a:be:a0:df:01,00:1a:be:a0:df:03,00:1a:be:a0:df:22,00:1a:be:a0:df:34,00:1a:be:a0:df:58,00:1a:be:a0:de:66,00:1a:be:a0:df:36,00:1a:be:a0:de:64,00:1a:be:a0:de:65,00:1a:be:a0:de:82,00:1a:be:a0:df:02,00:1a:be:a0:df:24,00:1a:be:a0:df:38,00:1a:be:a0:df:57,00:1a:be:a0:df:21,00:1a:be:a0:df:64,00:1a:be:a0:de:43,00:1a:be:a0:de:56,00:1a:be:a0:df:37,00:1a:be:a0:de:44,00:1a:be:a0:de:57,00:1a:be:a0:de:67,00:1a:be:a0:df:23,00:1a:be:a0:de:81,00:1a:be:a0:de:32,00:1a:be:a0:de:05,00:1a:be:a0:de:68,00:1a:be:a0:de:83,00:1a:be:a0:df:09,00:1a:be:a0:df:39,00:1a:be:a0:df:65,00:1a:be:a0:de:97,00:1a:be:a0:df:53,00:1a:be:a0:df:10,00:1a:be:a0:de:88,00:1a:be:a0:de:98,00:1a:be:a0:df:54,00:1a:be:a0:de:84,00:1a:be:a0:df:40,00:1a:be:a0:df:06,00:1a:be:a0:df:44,00:1a:be:a0:df:62,00:1a:be:a0:de:74,00:1a:be:a0:de:62,00:1a:be:a0:df:30,00:1a:be:a0:de:15,00:1a:be:a0:de:76,00:1a:be:a0:df:32,00:1a:be:a0:df:18,00:1a:be:a0:df:27,00:1a:be:a0:de:71,00:1a:be:a0:de:87,00:1a:be:a0:df:04,00:1a:be:a0:df:05,00:1a:be:a0:df:43,00:1a:be:a0:df:59,00:1a:be:a0:de:27,00:1a:be:a0:de:63,00:1a:be:a0:df:19,00:1a:be:a0:df:60,00:1a:be:a0:de:77,00:1a:be:a0:de:99,00:1a:be:a0:df:33,00:1a:be:a0:df:55,00:1a:be:a0:de:17,00:1a:be:a0:de:30,00:1a:be:a0:de:26,00:1a:be:a0:de:07,00:1a:be:a0:de:11,00:1a:be:a0:de:24
2021.05.19 174315,124.0,47.0,28.139999596491226,-11.574736570175439,-27.179473350877196,0.4842315775438597,1.3049847815789475,9.620364134210526,-0.001990895598333333,-0.005290596647192981,0.002851594157894737,-0.13486758201268678,-0.050216438044516094,-1.8363521454627054,1002.9805956140349,-81.0,-78.0,-79.0,-59.0,-62.0,-71.0,-80.0,-72.0,-71.0,-48.0,-65.0,-78.0,-79.0,-58.0,-62.0,-80.0,-72.0,-70.0,-48.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175034,123.0,48.0,28.327635999999988,-10.542545209999998,-24.773999790909095,0.2873129770181818,1.1407848777272727,9.665447954545456,0.005568147967272727,0.002413417478363636,0.0019608219069090897,-0.11742425208741965,-0.029706794789738245,-1.829193127155304,1003.1132897272723,-100.0,-100.0,-100.0,-75.0,-81.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-74.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-77.0,-58.0,-76.0,-38.0,-51.0,-60.0,-80.0,-81.0,-74.0,-91.0,-88.0,-66.0,-88.0,-82.0,-38.0,-51.0,-60.0,-80.0,-81.0,-75.0,-90.0,-73.0,-66.0,-89.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175046,122.0,49.0,27.917777277777777,-9.319444163888889,-24.506666398148145,0.19218489243518522,0.854135370648148,9.665953374999999,0.0006350512088888893,0.004089697612407407,0.0017706722590740743,-0.08814921223179055,-0.019813273080486624,-1.8184040089448292,1003.1175651851853,-100.0,-100.0,-100.0,-72.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-81.0,-57.0,-81.0,-39.0,-50.0,-59.0,-80.0,-84.0,-100.0,-100.0,-100.0,-63.0,-88.0,-100.0,-40.0,-50.0,-59.0,-79.0,-84.0,-100.0,-87.0,-100.0,-63.0,-89.0,-76.0,-89.0,-81.0,-58.0,-58.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175057,121.0,50.0,30.779999616822433,-11.395513789719626,-25.559999635514018,-0.008995312738317756,0.8864410891588784,9.673586294392523,-0.0031309472094392513,-0.0026016980231775687,-0.0028628854385046726,-0.09141819725666088,0.0009179935348873067,-1.8555294431258584,1003.1173536448597,-100.0,-100.0,-100.0,-72.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-78.0,-100.0,-100.0,-100.0,-88.0,-100.0,-59.0,-83.0,-58.0,-83.0,-45.0,-54.0,-57.0,-81.0,-88.0,-100.0,-88.0,-100.0,-66.0,-90.0,-100.0,-45.0,-54.0,-57.0,-81.0,-87.0,-100.0,-86.0,-70.0,-66.0,-90.0,-100.0,-100.0,-100.0,-100.0,-64.0,-85.0,-71.0,-91.0,-80.0,-87.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175107,120.0,51.0,28.61889876146789,-11.510091376146786,-26.606972110091743,0.2392297884036697,0.7736802506422019,9.67935010091743,-0.0029928305144036682,-0.007510722737247708,0.0007765893340366978,-0.07982383559056375,-0.024643058488172578,-1.8819191718320234,1003.1186847706423,-100.0,-100.0,-100.0,-73.0,-80.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-87.0,-41.0,-54.0,-60.0,-81.0,-88.0,-80.0,-89.0,-100.0,-72.0,-100.0,-100.0,-42.0,-54.0,-60.0,-81.0,-90.0,-100.0,-89.0,-100.0,-72.0,-100.0,-77.0,-100.0,-100.0,-67.0,-68.0,-77.0,-68.0,-87.0,-78.0,-100.0,-88.0,-78.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175245,111.0,60.0,30.412499616071425,-6.27964275,-30.55017808035714,0.22082909673035717,0.3157022374642858,9.713444620535714,-0.00152681390625,-0.002955453339464286,-0.006440657606428572,-0.03250490170570884,-0.022754242579529564,-1.739683700459344,1003.1019771428571,-100.0,-100.0,-100.0,-72.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-91.0,-70.0,-92.0,-52.0,-57.0,-60.0,-77.0,-88.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-51.0,-57.0,-60.0,-77.0,-88.0,-75.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-79.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175302,110.0,61.0,29.54999966363637,-10.391454331818183,-28.19999975454546,0.3275803253727273,0.6077540115454548,9.690914413636365,0.002291688800545455,-0.00016887618218181826,-0.007313223123818182,-0.06257532365958794,-0.03371810201364988,-1.8481153444810348,1003.1243919999998,-100.0,-100.0,-100.0,-68.0,-78.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-76.0,-71.0,-100.0,-87.0,-100.0,-100.0,-100.0,-81.0,-100.0,-76.0,-61.0,-76.0,-70.0,-100.0,-88.0,-100.0,-100.0,-56.0,-81.0,-100.0,-100.0,-100.0,-100.0,-67.0,-67.0,-100.0,-56.0,-100.0,-77.0,-100.0,-100.0,-79.0,-100.0,-77.0,-91.0,-85.0,-77.0,-90.0,-86.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175314,109.0,62.0,29.059645566371675,-11.24973431858407,-25.558406831858406,0.2775028068584071,0.6215156015929203,9.690244608849559,0.0028422045881415924,0.0008643852932743367,-0.0026129516442477884,-0.06422604636940277,-0.028541210086900793,-1.884228354006742,1003.1670196460176,-100.0,-100.0,-100.0,-66.0,-74.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-66.0,-74.0,-100.0,-100.0,-100.0,-85.0,-100.0,-84.0,-100.0,-85.0,-100.0,-62.0,-72.0,-100.0,-100.0,-81.0,-83.0,-100.0,-85.0,-100.0,-100.0,-75.0,-62.0,-72.0,-100.0,-100.0,-81.0,-100.0,-100.0,-51.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-51.0,-87.0,-78.0,-100.0,-86.0,-78.0,-82.0,-76.0,-90.0,-89.0,-75.0,-100.0,-89.0,-75.0,-90.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175326,108.0,63.0,29.851327106194688,-8.36336267522124,-26.411681008849555,0.27460001265840706,0.5709815709203541,9.683294893805309,0.0014366738943362835,8.053156566371672e-05,-0.008294539142566372,-0.058949749920912765,-0.02829023045322862,-1.7909279586994542,1003.2164931858408,-100.0,-100.0,-100.0,-69.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-81.0,-100.0,-60.0,-77.0,-68.0,-100.0,-84.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-60.0,-77.0,-76.0,-100.0,-85.0,-100.0,-100.0,-63.0,-76.0,-100.0,-100.0,-100.0,-80.0,-59.0,-59.0,-100.0,-63.0,-100.0,-74.0,-100.0,-100.0,-75.0,-100.0,-100.0,-87.0,-100.0,-76.0,-100.0,-87.0,-76.0,-89.0,-100.0,-71.0,-70.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 175452,100.0,71.0,24.490434469565216,-9.697043330434783,-31.203651817391304,0.289124296106087,0.6180351953913044,9.689005530434784,0.002534586179652174,-0.002892659352347827,-0.0021051742594782622,-0.0637719001944946,-0.029812535320904634,-1.8667701130327972,1003.1847460000001,-100.0,-100.0,-100.0,-63.0,-68.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-62.0,-68.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-71.0,-76.0,-100.0,-82.0,-84.0,-100.0,-100.0,-79.0,-100.0,-100.0,-61.0,-71.0,-74.0,-100.0,-81.0,-85.0,-100.0,-57.0,-78.0,-100.0,-100.0,-100.0,-79.0,-60.0,-66.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-73.0,-100.0,-100.0,-70.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
