Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:x7,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:i3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:l9,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:k9,00:1a:ab:a0:de:a2,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:i9,88:36:6c:88:5b:3e,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:k6,90:9f:33:a4:06:5c,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:v9,00:1a:ab:a0:de:a8,00:1a:ac:a0:de:d2,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:u8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:m7,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:k5,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:f1,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:j4
2021.01.30 154902,1.0,27.0,37.618420464912276,-4.004210479824561,-9.200526095614036,-5.562698482456141,8.22506902631579,0.3004394818421053,-0.0036776872834210525,0.00025100125219298247,0.0021150405812280703,-0.9754234975890109,1.516842248146994,0.23874058595678785,1016.1914014912282,-86.0,-67.0,-79.0,-67.0,-69.0,-78.0,-77.0,-85.0,-84.0,-77.0,-71.0,-87.0,-77.0,-63.0,-89.0,-65.0,-75.0,-87.0,-82.0,-74.0,-68.0,-83.0,-58.0,-65.0,-69.0,-78.0,-73.0,-78.0,-50.0,-55.0,-80.0,-89.0,-40.0,-47.0,-62.0,-68.0,-65.0,-69.0,-87.0,-76.0,-69.0,-83.0,-55.0,-65.0,-69.0,-78.0,-74.0,-78.0,-52.0,-56.0,-81.0,-90.0,-41.0,-47.0,-62.0,-68.0,-66.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 154914,1.0,26.0,51.86224051724139,-5.908448179310346,-1.963448250948276,-5.307818285344828,8.392057025862071,0.20720797184827588,-0.002571995559655172,0.0010971770712931035,0.001251957842068965,-1.0062869982472782,1.5318054186886754,-0.0023144873324279867,1016.1753674137931,-100.0,-61.0,-74.0,-68.0,-76.0,-76.0,-74.0,-89.0,-89.0,-100.0,-70.0,-81.0,-77.0,-51.0,-100.0,-59.0,-70.0,-100.0,-100.0,-100.0,-68.0,-100.0,-63.0,-69.0,-77.0,-89.0,-80.0,-86.0,-48.0,-64.0,-100.0,-90.0,-50.0,-52.0,-68.0,-76.0,-77.0,-78.0,-100.0,-100.0,-69.0,-100.0,-62.0,-69.0,-77.0,-100.0,-79.0,-85.0,-48.0,-64.0,-100.0,-89.0,-50.0,-53.0,-68.0,-76.0,-78.0,-78.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 154926,1.0,25.0,48.30833263888889,-19.399999805555556,-4.7061110351851845,-4.957279471296296,8.597996009259258,0.15824382855185182,-0.0031793499396296303,0.00015454885027777808,0.0010442401716666667,-1.0474152664343517,1.5388785446131672,0.0965501359293099,1016.1815853703704,-100.0,-63.0,-100.0,-65.0,-73.0,-82.0,-79.0,-83.0,-100.0,-78.0,-71.0,-100.0,-74.0,-49.0,-100.0,-58.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-61.0,-66.0,-87.0,-100.0,-87.0,-46.0,-60.0,-79.0,-91.0,-39.0,-46.0,-59.0,-73.0,-69.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-86.0,-100.0,-85.0,-47.0,-60.0,-100.0,-91.0,-40.0,-46.0,-59.0,-74.0,-72.0,-73.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 154938,1.0,24.0,20.52777760185185,-36.96722174074074,-35.226666370370374,-5.716375407407407,8.118121273148148,-0.014942047561111114,0.004925927074351851,-0.003680327376481481,0.004211689703333334,-0.9570816059907278,1.5734940436151292,1.7009299331241183,1016.2053120370372,-100.0,-63.0,-100.0,-69.0,-72.0,-79.0,-73.0,-76.0,-100.0,-100.0,-75.0,-100.0,-100.0,-46.0,-100.0,-56.0,-69.0,-100.0,-76.0,-100.0,-65.0,-88.0,-59.0,-55.0,-60.0,-79.0,-63.0,-76.0,-48.0,-61.0,-100.0,-81.0,-39.0,-47.0,-60.0,-63.0,-76.0,-56.0,-81.0,-77.0,-64.0,-88.0,-59.0,-55.0,-60.0,-79.0,-68.0,-75.0,-48.0,-61.0,-100.0,-81.0,-40.0,-47.0,-60.0,-63.0,-56.0,-56.0,-100.0,-100.0,-91.0,-89.0,-83.0,-75.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 154948,2.0,24.0,16.98842955785124,-32.3533879338843,-35.86561944628099,-5.617186354545455,8.191882640495868,0.0058570688462809915,-0.002794824691735537,0.001898796349421488,0.002157288340330578,-0.9695574163405363,1.56998654436474,1.6898555716207204,1016.2240538842975,-100.0,-100.0,-100.0,-70.0,-80.0,-75.0,-70.0,-75.0,-100.0,-80.0,-68.0,-100.0,-100.0,-48.0,-100.0,-60.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-78.0,-62.0,-71.0,-50.0,-68.0,-100.0,-82.0,-100.0,-50.0,-59.0,-60.0,-64.0,-61.0,-77.0,-100.0,-100.0,-90.0,-100.0,-57.0,-63.0,-78.0,-63.0,-71.0,-50.0,-67.0,-100.0,-83.0,-100.0,-50.0,-59.0,-60.0,-65.0,-62.0,-100.0,-100.0,-100.0,-87.0,-86.0,-100.0,-86.0,-89.0,-89.0,-87.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155000,3.0,24.0,19.659999824561403,-33.59315750877193,-36.334210236842104,-5.534891272807018,8.226623157894737,-0.2902323101999999,-0.000569776523859649,0.0006100186516666661,0.0016702878238596495,-0.9778067746706176,1.6232315824742902,1.6803304302064996,1016.2112712280701,-100.0,-65.0,-100.0,-65.0,-74.0,-100.0,-72.0,-78.0,-81.0,-100.0,-70.0,-100.0,-100.0,-56.0,-100.0,-61.0,-76.0,-100.0,-76.0,-100.0,-74.0,-84.0,-52.0,-55.0,-64.0,-75.0,-65.0,-72.0,-50.0,-62.0,-70.0,-86.0,-43.0,-45.0,-66.0,-58.0,-63.0,-61.0,-100.0,-100.0,-75.0,-85.0,-52.0,-56.0,-56.0,-76.0,-65.0,-71.0,-50.0,-62.0,-70.0,-86.0,-43.0,-45.0,-66.0,-58.0,-65.0,-62.0,-100.0,-100.0,-100.0,-100.0,-85.0,-78.0,-84.0,-100.0,-100.0,-100.0,-89.0,-87.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155010,4.0,24.0,20.35472701818182,-29.12999954545454,-36.53454489090909,-5.545575786363638,8.22779475909091,-0.2130469251690909,0.0035975520362727287,-0.004415833851909089,0.002835803102545455,-0.9771490573883057,1.6092242002487183,1.5873482476581227,1016.1900638181817,-100.0,-100.0,-100.0,-65.0,-69.0,-83.0,-68.0,-78.0,-100.0,-100.0,-68.0,-88.0,-76.0,-58.0,-100.0,-63.0,-77.0,-100.0,-100.0,-100.0,-68.0,-86.0,-52.0,-61.0,-59.0,-82.0,-64.0,-79.0,-52.0,-64.0,-69.0,-82.0,-35.0,-39.0,-62.0,-63.0,-63.0,-70.0,-100.0,-100.0,-69.0,-87.0,-50.0,-61.0,-59.0,-81.0,-63.0,-79.0,-52.0,-65.0,-69.0,-83.0,-35.0,-40.0,-62.0,-63.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-85.0,-76.0,-85.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-89.0,-89.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155020,5.0,24.0,23.796545272727272,-26.257636027272728,-33.32618136363636,-5.585364288181818,8.20211078909091,-0.16722921169999996,0.001609463232181818,0.00018231553536363619,0.005867916030727271,-0.9725514986298301,1.6009035836566579,1.4532543409954417,1016.1863172727274,-100.0,-100.0,-100.0,-54.0,-64.0,-67.0,-69.0,-82.0,-100.0,-100.0,-68.0,-100.0,-100.0,-60.0,-100.0,-60.0,-72.0,-100.0,-75.0,-66.0,-66.0,-86.0,-51.0,-59.0,-55.0,-73.0,-64.0,-77.0,-54.0,-69.0,-100.0,-84.0,-39.0,-37.0,-55.0,-63.0,-63.0,-73.0,-100.0,-66.0,-66.0,-84.0,-50.0,-60.0,-57.0,-73.0,-65.0,-76.0,-54.0,-69.0,-100.0,-84.0,-39.0,-37.0,-57.0,-63.0,-63.0,-74.0,-100.0,-100.0,-100.0,-88.0,-88.0,-75.0,-88.0,-90.0,-88.0,-100.0,-100.0,-100.0,-90.0,-100.0,-79.0,-90.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155030,6.0,24.0,25.41853172477064,-24.849357568807342,-29.275045532110095,-5.461143136697246,8.288583917431191,-0.23081687699816517,-0.006176699600642202,0.00521800533614679,-0.00048121059284403676,-0.9874419061415786,1.6130047456933818,1.3598259053099047,1016.1953555045873,-100.0,-64.0,-65.0,-50.0,-60.0,-64.0,-71.0,-81.0,-100.0,-100.0,-70.0,-100.0,-100.0,-60.0,-100.0,-58.0,-63.0,-100.0,-100.0,-100.0,-61.0,-83.0,-100.0,-59.0,-55.0,-79.0,-62.0,-76.0,-56.0,-68.0,-69.0,-88.0,-35.0,-34.0,-54.0,-61.0,-61.0,-71.0,-75.0,-100.0,-59.0,-82.0,-57.0,-59.0,-55.0,-79.0,-65.0,-76.0,-56.0,-67.0,-69.0,-88.0,-34.0,-34.0,-53.0,-61.0,-59.0,-71.0,-100.0,-100.0,-100.0,-89.0,-85.0,-100.0,-85.0,-100.0,-89.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.30 155040,7.0,24.0,25.561110842592598,-26.09388857407407,-26.98111065740741,-5.464466700925927,8.272418921296294,-0.42301071777777777,0.0034270444763888886,-0.0034936741331481483,-0.0017499026016666666,-0.9855486137999429,1.6478623339423426,1.3963973091708288,1016.1999181481484,-100.0,-55.0,-74.0,-58.0,-63.0,-73.0,-69.0,-82.0,-100.0,-100.0,-67.0,-100.0,-100.0,-72.0,-100.0,-52.0,-63.0,-100.0,-73.0,-100.0,-62.0,-86.0,-63.0,-59.0,-58.0,-78.0,-60.0,-75.0,-53.0,-68.0,-100.0,-85.0,-27.0,-33.0,-60.0,-60.0,-62.0,-71.0,-100.0,-73.0,-56.0,-85.0,-62.0,-59.0,-56.0,-78.0,-60.0,-75.0,-52.0,-69.0,-100.0,-85.0,-26.0,-33.0,-61.0,-60.0,-63.0,-72.0,-100.0,-100.0,-100.0,-87.0,-85.0,-72.0,-85.0,-100.0,-100.0,-81.0,-89.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
