Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1b:ad:a1:df:a8,70:5d:cc:1b:31:60,70:5d:cc:ea:72:5c,70:5d:cc:ea:72:5e,72:5d:cc:4b:31:60,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x2,86:25:19:b5:ef:50,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:x1,70:5d:cc:e8:73:1c,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:x7,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:h9,70:5d:cc:e8:73:1e,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:d5,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:r3,ea:d8:d1:b4:cf:21,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:l2,32:24:a9:c6:2d:75,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:t2,88:36:6c:51:f3:22,00:1a:ac:a0:de:b2,70:5d:cc:b1:75:50,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:w1,00:1a:ab:a0:de:a7,00:1a:ab:a0:de:a3,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:u8,28:b3:71:0f:d8:ed,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:s9,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:x6,00:1a:ac:a0:de:v4,00:1a:ac:a0:de:q8
2021.05.22 145616,1.0,27.0,31.775525828947366,-45.24394670394737,-11.887894480263158,-0.2095871565618421,1.1581793361842105,9.616169351973683,0.00584742731381579,-0.0056103149967105265,0.0006229217453947367,-0.1199204612425283,0.021756655359862785,-2.5138384260629354,1002.4236670394737,-84.0,-68.0,-45.0,-56.0,-63.0,-63.0,-56.0,-77.0,-75.0,-39.0,-64.0,-76.0,-77.0,-39.0,-63.0,-46.0,-67.0,-41.0,-57.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145628,1.0,26.0,15.511907234104045,-27.238959092485548,-25.50728285549133,-0.3685133110404625,1.053296522716763,9.617923413294797,0.007379817180635839,-0.008894621556936417,0.0026765079378612716,-0.10909818319571496,0.0380802028247214,-2.601909075169205,1002.4146005202313,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54.0,-49.0,-65.0,-59.0,-67.0,-86.0,-66.0,-90.0,-59.0,-77.0,-87.0,-65.0,-72.0,-75.0,-46.0,-61.0,-39.0,-50.0,-66.0,-79.0,-61.0,-73.0,-74.0,-46.0,-62.0,-39.0,-49.0,-79.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145643,1.0,25.0,4.32315783625731,-42.145262643274854,-32.30140310526316,-0.1771009197152047,1.1146759239766082,9.626076967251462,0.0008502101374269005,-0.002811409103508772,-0.003440135879239767,-0.11538781212610107,0.01822171389813195,-3.044014685335215,1002.4012494736842,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-84.0,-73.0,-82.0,-100.0,-84.0,-72.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-60.0,-63.0,-59.0,-68.0,-100.0,-58.0,-100.0,-57.0,-85.0,-79.0,-66.0,-64.0,-65.0,-44.0,-54.0,-31.0,-41.0,-64.0,-75.0,-68.0,-64.0,-65.0,-49.0,-54.0,-31.0,-43.0,-78.0,-78.0,-88.0,-77.0,-83.0,-87.0,-90.0,-73.0,-86.0,-56.0,-75.0,-87.0,-56.0,-64.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145655,1.0,24.0,37.56724105747126,-3.0793103005747127,-32.71034417816092,-0.23864962327011496,1.103671957586207,9.625543922413794,0.007010907464655174,-0.004160202887931034,0.0032860334511494254,-0.11426196157418445,0.02467989718043723,-1.5493766823034176,1002.3919931609196,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-69.0,-64.0,-67.0,-100.0,-70.0,-63.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-66.0,-68.0,-48.0,-68.0,-83.0,-62.0,-100.0,-58.0,-83.0,-71.0,-64.0,-57.0,-67.0,-40.0,-61.0,-31.0,-44.0,-54.0,-68.0,-64.0,-56.0,-66.0,-40.0,-61.0,-31.0,-43.0,-69.0,-75.0,-100.0,-100.0,-78.0,-86.0,-100.0,-82.0,-79.0,-49.0,-81.0,-82.0,-100.0,-48.0,-100.0,-90.0,-79.0,-63.0,-78.0,-88.0,-76.0,-71.0,-78.0,-78.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145822,9.0,24.0,29.48749963690476,-2.0289285279761904,-30.434999523809523,-0.3511353319583333,0.8760925554761905,9.65032868452381,0.004097887685119049,-0.007334018990476191,0.0025489079175595236,-0.09056507966791585,0.036401462547170575,-1.541529085664522,1002.3537416666666,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-82.0,-65.0,-56.0,-72.0,-81.0,-67.0,-56.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-52.0,-100.0,-57.0,-76.0,-71.0,-58.0,-100.0,-60.0,-78.0,-100.0,-66.0,-48.0,-54.0,-56.0,-64.0,-42.0,-41.0,-55.0,-65.0,-69.0,-49.0,-54.0,-56.0,-66.0,-42.0,-40.0,-66.0,-60.0,-100.0,-70.0,-100.0,-83.0,-100.0,-100.0,-78.0,-47.0,-100.0,-79.0,-47.0,-52.0,-82.0,-80.0,-73.0,-60.0,-73.0,-84.0,-79.0,-100.0,-73.0,-73.0,-87.0,-66.0,-61.0,-68.0,-87.0,-87.0,-62.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145834,10.0,24.0,28.837930764367815,-1.2899999723563218,-32.17689611494253,-0.4176368393816092,0.9062879021264368,9.639455099425287,0.0028823009637931035,-0.0024785681735632185,-0.003191244468390803,-0.0937764740966517,0.04326635967968857,-1.5035336387568508,1002.3442387356321,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-70.0,-62.0,-74.0,-100.0,-69.0,-64.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-46.0,-100.0,-45.0,-78.0,-73.0,-63.0,-80.0,-61.0,-74.0,-64.0,-73.0,-54.0,-53.0,-53.0,-64.0,-42.0,-47.0,-48.0,-63.0,-74.0,-53.0,-53.0,-53.0,-64.0,-42.0,-45.0,-63.0,-65.0,-100.0,-66.0,-66.0,-81.0,-83.0,-100.0,-83.0,-38.0,-100.0,-83.0,-38.0,-48.0,-86.0,-100.0,-75.0,-58.0,-68.0,-85.0,-74.0,-63.0,-76.0,-70.0,-85.0,-100.0,-100.0,-100.0,-87.0,-100.0,-61.0,-100.0,-88.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145846,11.0,24.0,29.42727233939394,0.2036363536969697,-32.86690868484848,-0.4584678624242424,0.7272859270909091,9.65011289090909,-0.00053311870909091,-0.009399920370606062,0.003402334193636363,-0.07528917595292578,0.047432906282218974,-1.4709263852148344,1002.3151241818182,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-69.0,-66.0,-73.0,-100.0,-69.0,-65.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-46.0,-100.0,-100.0,-88.0,-64.0,-54.0,-88.0,-59.0,-80.0,-63.0,-57.0,-52.0,-56.0,-60.0,-75.0,-45.0,-51.0,-48.0,-66.0,-57.0,-52.0,-56.0,-60.0,-74.0,-45.0,-53.0,-63.0,-59.0,-100.0,-100.0,-76.0,-88.0,-100.0,-100.0,-88.0,-39.0,-63.0,-87.0,-39.0,-48.0,-82.0,-70.0,-76.0,-58.0,-73.0,-83.0,-75.0,-63.0,-75.0,-74.0,-80.0,-66.0,-60.0,-77.0,-87.0,-87.0,-60.0,-55.0,-88.0,-86.0,-70.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145857,12.0,24.0,30.322889653179196,-1.866242743930636,-33.611791427745665,-0.5800057437283238,0.8662581571098266,9.632067182080924,0.0035592608138728314,-0.007090273823121388,0.0024116817390173405,-0.08971998545561907,0.060148394786055576,-1.52397067629533,1002.3176128901737,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-64.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-54.0,-100.0,-100.0,-88.0,-66.0,-56.0,-100.0,-57.0,-78.0,-63.0,-60.0,-48.0,-100.0,-56.0,-69.0,-43.0,-48.0,-50.0,-57.0,-60.0,-49.0,-100.0,-55.0,-69.0,-43.0,-47.0,-57.0,-62.0,-100.0,-68.0,-73.0,-78.0,-100.0,-100.0,-90.0,-44.0,-74.0,-88.0,-44.0,-50.0,-76.0,-100.0,-76.0,-100.0,-73.0,-77.0,-100.0,-63.0,-78.0,-72.0,-77.0,-100.0,-58.0,-100.0,-82.0,-82.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-88.0,-88.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 150028,20.0,24.0,36.433011578313256,-0.7832530042771085,-28.9984333313253,-0.5315127816144579,1.2370955722891566,9.621359108433735,0.0017295581469879517,-0.005957776108433734,-0.001438845245783132,-0.12779794884733403,0.055333632807505376,-1.4795982902308544,1002.262718313253,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-71.0,-60.0,-66.0,-81.0,-74.0,-60.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-54.0,-100.0,-100.0,-100.0,-68.0,-55.0,-81.0,-63.0,-76.0,-57.0,-60.0,-46.0,-51.0,-58.0,-71.0,-45.0,-53.0,-51.0,-61.0,-60.0,-47.0,-50.0,-58.0,-70.0,-45.0,-54.0,-60.0,-100.0,-100.0,-100.0,-74.0,-82.0,-100.0,-100.0,-87.0,-35.0,-100.0,-87.0,-34.0,-50.0,-79.0,-74.0,-70.0,-67.0,-74.0,-77.0,-75.0,-59.0,-71.0,-75.0,-76.0,-100.0,-53.0,-100.0,-84.0,-85.0,-100.0,-100.0,-88.0,-100.0,-72.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 150041,21.0,24.0,38.09029888622755,-0.05029940113772454,-31.812574347305386,-0.3755312536568863,0.91323741502994,9.672861598802395,-0.001422913852994012,-0.007860775040718564,-0.0034201137257485045,-0.09412989102883963,0.038834782997386706,-1.4871952212499286,1002.2735428143711,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-55.0,-65.0,-100.0,-100.0,-55.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-62.0,-100.0,-100.0,-100.0,-63.0,-70.0,-75.0,-100.0,-90.0,-51.0,-100.0,-28.0,-50.0,-68.0,-82.0,-62.0,-67.0,-53.0,-53.0,-100.0,-30.0,-48.0,-67.0,-80.0,-62.0,-66.0,-55.0,-100.0,-100.0,-100.0,-81.0,-76.0,-100.0,-58.0,-100.0,-20.0,-54.0,-100.0,-20.0,-56.0,-63.0,-100.0,-61.0,-64.0,-70.0,-79.0,-100.0,-54.0,-61.0,-68.0,-79.0,-63.0,-100.0,-100.0,-79.0,-80.0,-60.0,-100.0,-84.0,-83.0,-100.0,-100.0,-75.0,-100.0,-56.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
