Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:x7,70:5d:cc:b6:d1:c8,70:5d:cc:e8:73:1c,70:5d:cc:e8:73:1e,86:25:19:b5:ef:50,88:36:6c:4b:14:1c,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:v7,88:36:6c:51:f3:22,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:f3,70:5d:cc:05:03:10,00:1a:ac:a0:de:d5,00:1a:ac:a0:de:m9,00:1a:ac:a0:de:l2,ea:d8:d1:b4:cf:21,32:24:a9:c6:2d:75,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:i9,70:5d:cc:b1:75:50,00:1a:ac:a0:de:f9,90:9f:33:a4:06:5c,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:g7,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:k3,72:5d:cc:4b:31:60,00:1a:ac:a0:de:j8,28:b3:71:0f:d8:ec,28:b3:71:0f:d8:ed,28:b3:71:4f:d8:ec,28:b3:71:8f:d8:ec,28:b3:71:cf:d8:ec,70:5d:cc:ea:72:5c,70:5d:cc:ea:72:5e,00:1a:ac:a0:de:j1,00:1b:ad:a1:df:a8,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,70:5d:cc:1b:31:60,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:q7,00:1a:ac:a0:de:v4
2021.05.22 145613,1.0,27.0,26.514782253623185,-35.96086919565217,-22.0882605942029,-0.1402906233884058,0.7412362499275362,9.96210895652174,0.00025274762421014456,-0.001549959987608696,0.0033652123144927537,-0.07432222798250718,0.01404058342228361,-2.488488605056984,1001.0297568115942,-89.0,-74.0,-61.0,-64.0,-72.0,-69.0,-87.0,-68.0,-64.0,-89.0,-85.0,-75.0,-61.0,-64.0,-84.0,-91.0,-62.0,-76.0,-86.0,-75.0,-77.0,-88.0,-64.0,-84.0,-52.0,-62.0,-65.0,-76.0,-77.0,-80.0,-56.0,-67.0,-88.0,-50.0,-43.0,-67.0,-69.0,-74.0,-72.0,-86.0,-74.0,-78.0,-87.0,-64.0,-84.0,-51.0,-62.0,-63.0,-76.0,-81.0,-58.0,-68.0,-87.0,-50.0,-43.0,-68.0,-70.0,-74.0,-72.0,-82.0,-86.0,-83.0,-77.0,-73.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145627,1.0,26.0,12.509999707692309,-29.81353799230769,-30.54507653076923,-0.17190893079999997,0.6252004016153846,9.96673982307692,-9.9946795815384e-05,-0.003983546349615385,0.00017066630461538536,-0.06262995033310004,0.017303717949440682,-2.7360437466548038,1001.0164812307692,-100.0,-66.0,-63.0,-73.0,-71.0,-67.0,-72.0,-100.0,-73.0,-100.0,-85.0,-100.0,-77.0,-63.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-67.0,-72.0,-81.0,-88.0,-86.0,-81.0,-49.0,-62.0,-100.0,-51.0,-49.0,-73.0,-76.0,-80.0,-82.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-68.0,-73.0,-82.0,-88.0,-81.0,-49.0,-62.0,-100.0,-51.0,-49.0,-73.0,-77.0,-82.0,-82.0,-100.0,-100.0,-84.0,-85.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145641,1.0,25.0,5.48754090409836,-37.67213074590164,-35.35131105737705,-0.1761950751688525,0.5156718440983606,9.965285741803278,-0.0009194924356803275,-0.003261369572868852,0.002600723906557377,-0.05171048048822602,0.017673480303812023,-3.007588437346161,1001.0108680327869,-100.0,-65.0,-64.0,-74.0,-73.0,-63.0,-74.0,-83.0,-76.0,-100.0,-85.0,-100.0,-71.0,-63.0,-82.0,-100.0,-100.0,-87.0,-85.0,-100.0,-79.0,-100.0,-68.0,-89.0,-57.0,-66.0,-74.0,-82.0,-100.0,-89.0,-40.0,-59.0,-100.0,-40.0,-49.0,-72.0,-74.0,-100.0,-84.0,-100.0,-100.0,-80.0,-100.0,-67.0,-89.0,-58.0,-66.0,-74.0,-82.0,-88.0,-42.0,-60.0,-100.0,-40.0,-49.0,-71.0,-74.0,-100.0,-85.0,-81.0,-100.0,-82.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145654,1.0,24.0,36.12047962399999,4.9507199304,-38.007839576000016,-0.293614709528,0.4129836726432,9.975161832,0.0006945538199760006,3.054378959999937e-06,-0.0031056385992,-0.04149514519842337,0.029403249945491518,-1.3848660774230956,1001.0029996000001,-100.0,-100.0,-64.0,-78.0,-79.0,-59.0,-70.0,-100.0,-71.0,-100.0,-78.0,-100.0,-67.0,-66.0,-81.0,-100.0,-100.0,-90.0,-100.0,-79.0,-100.0,-88.0,-66.0,-79.0,-54.0,-65.0,-100.0,-81.0,-100.0,-80.0,-42.0,-55.0,-78.0,-40.0,-44.0,-58.0,-61.0,-65.0,-77.0,-100.0,-79.0,-100.0,-89.0,-67.0,-79.0,-54.0,-65.0,-100.0,-82.0,-80.0,-42.0,-55.0,-78.0,-41.0,-44.0,-58.0,-61.0,-65.0,-77.0,-100.0,-100.0,-82.0,-82.0,-100.0,-100.0,-88.0,-85.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145704,2.0,24.0,37.44878018699187,2.8253658,-33.24585329268292,-0.3552286258211382,0.5356751900406503,9.955316711382114,0.002171715594308942,-0.00665011278593496,0.0025615217829268308,-0.05374569848285817,0.03570308677503849,-1.4415656890326398,1000.9899759349593,-100.0,-68.0,-68.0,-83.0,-76.0,-60.0,-78.0,-87.0,-73.0,-100.0,-82.0,-100.0,-71.0,-67.0,-77.0,-90.0,-100.0,-100.0,-100.0,-100.0,-75.0,-88.0,-71.0,-86.0,-48.0,-63.0,-69.0,-84.0,-71.0,-75.0,-50.0,-60.0,-100.0,-42.0,-42.0,-59.0,-64.0,-61.0,-73.0,-100.0,-100.0,-75.0,-90.0,-71.0,-86.0,-50.0,-63.0,-68.0,-84.0,-75.0,-49.0,-60.0,-100.0,-42.0,-42.0,-58.0,-65.0,-62.0,-73.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-85.0,-100.0,-85.0,-87.0,-71.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145715,3.0,24.0,38.92862016379309,2.0529309969827585,-31.91017196551724,-0.3467776816810345,0.5714473512068966,9.957768245689657,0.0004520191689137935,-0.0028715932568103455,0.003740095970689656,-0.057300912376878545,0.034848299776685604,-1.4660390173566753,1001.0002862931035,-100.0,-68.0,-61.0,-74.0,-73.0,-62.0,-77.0,-100.0,-78.0,-100.0,-100.0,-100.0,-71.0,-67.0,-82.0,-100.0,-100.0,-90.0,-100.0,-100.0,-71.0,-83.0,-72.0,-88.0,-51.0,-56.0,-100.0,-78.0,-100.0,-76.0,-45.0,-63.0,-100.0,-33.0,-42.0,-61.0,-68.0,-58.0,-70.0,-100.0,-100.0,-72.0,-84.0,-72.0,-87.0,-52.0,-56.0,-100.0,-78.0,-76.0,-45.0,-63.0,-100.0,-33.0,-43.0,-62.0,-69.0,-58.0,-70.0,-100.0,-100.0,-100.0,-79.0,-78.0,-100.0,-82.0,-100.0,-82.0,-100.0,-100.0,-100.0,-85.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145725,4.0,24.0,37.52139070434783,-1.3893912778260873,-30.69965165217392,-0.23734550177913047,0.5770826872173912,9.963202060869564,-0.0012965480891565205,-0.006770644578347827,0.0019593369808695664,-0.05790586074733211,0.02382546367032612,-1.558705180624257,1000.9814306956521,-100.0,-66.0,-57.0,-73.0,-75.0,-53.0,-79.0,-100.0,-74.0,-100.0,-81.0,-100.0,-69.0,-70.0,-81.0,-91.0,-100.0,-89.0,-100.0,-100.0,-100.0,-87.0,-68.0,-83.0,-49.0,-60.0,-71.0,-82.0,-68.0,-78.0,-43.0,-56.0,-100.0,-35.0,-39.0,-62.0,-64.0,-59.0,-70.0,-100.0,-74.0,-100.0,-88.0,-67.0,-84.0,-47.0,-61.0,-71.0,-82.0,-77.0,-43.0,-56.0,-100.0,-35.0,-40.0,-62.0,-64.0,-59.0,-70.0,-100.0,-100.0,-84.0,-80.0,-78.0,-100.0,-82.0,-100.0,-82.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145736,5.0,24.0,33.61932154237288,-6.0498304220338985,-29.579491101694916,-0.2813069995338983,0.6011658805932204,9.95726131355932,-0.004603863479686441,-0.006396742671949153,0.0019048227305084747,-0.06032004971372876,0.02821842697843652,-1.697570992728411,1000.9941528813561,-100.0,-67.0,-57.0,-69.0,-70.0,-61.0,-75.0,-100.0,-73.0,-100.0,-80.0,-100.0,-68.0,-64.0,-68.0,-100.0,-100.0,-87.0,-84.0,-100.0,-100.0,-84.0,-64.0,-87.0,-52.0,-60.0,-100.0,-75.0,-100.0,-74.0,-44.0,-61.0,-100.0,-32.0,-36.0,-58.0,-63.0,-60.0,-74.0,-82.0,-100.0,-100.0,-85.0,-64.0,-86.0,-52.0,-60.0,-100.0,-76.0,-74.0,-44.0,-61.0,-100.0,-31.0,-36.0,-58.0,-63.0,-59.0,-73.0,-82.0,-100.0,-87.0,-77.0,-82.0,-100.0,-84.0,-100.0,-84.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-81.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145746,6.0,24.0,31.222726825757572,-4.970908993939394,-29.56227225757576,-0.2207448824409091,0.6122813659151516,9.949499643939392,-0.0006082176810606067,-0.005863843475151515,-0.0012029975333333336,-0.06155746781609412,0.022138900071061465,-1.6719512325344663,1000.9811796969697,-100.0,-59.0,-56.0,-66.0,-59.0,-100.0,-77.0,-100.0,-71.0,-100.0,-81.0,-100.0,-70.0,-63.0,-67.0,-100.0,-79.0,-84.0,-79.0,-100.0,-68.0,-85.0,-65.0,-78.0,-57.0,-55.0,-62.0,-80.0,-67.0,-76.0,-60.0,-65.0,-83.0,-35.0,-36.0,-61.0,-63.0,-59.0,-72.0,-100.0,-100.0,-68.0,-84.0,-66.0,-79.0,-57.0,-55.0,-62.0,-81.0,-76.0,-61.0,-65.0,-83.0,-35.0,-36.0,-62.0,-63.0,-59.0,-74.0,-80.0,-100.0,-79.0,-100.0,-100.0,-100.0,-88.0,-100.0,-88.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 145758,7.0,24.0,29.87714243650794,-2.89571422468254,-31.313332857142857,-0.2495366411174603,0.6266919308730159,9.954482646825394,-0.0021475019559523806,-0.0026036919856349205,0.003039122607142857,-0.06304282840851336,0.024961807945926104,-1.6005250310140944,1000.9710117460319,-100.0,-57.0,-65.0,-72.0,-66.0,-55.0,-79.0,-100.0,-72.0,-100.0,-81.0,-76.0,-67.0,-57.0,-69.0,-100.0,-100.0,-86.0,-100.0,-100.0,-71.0,-87.0,-66.0,-84.0,-50.0,-59.0,-62.0,-76.0,-60.0,-70.0,-51.0,-64.0,-79.0,-30.0,-39.0,-65.0,-64.0,-60.0,-78.0,-79.0,-100.0,-70.0,-88.0,-66.0,-83.0,-50.0,-60.0,-63.0,-77.0,-72.0,-53.0,-64.0,-78.0,-30.0,-39.0,-64.0,-64.0,-59.0,-78.0,-100.0,-100.0,-84.0,-72.0,-100.0,-71.0,-87.0,-100.0,-87.0,-100.0,-67.0,-100.0,-100.0,-88.0,-86.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
