Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a2,00:1a:ab:a0:de:a3,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:l5,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:m1,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:n2,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:x7,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:i3,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:e3,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:n9,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:k6,00:1a:ac:a0:de:m9,00:1a:ac:a0:de:d4,70:5d:cc:05:03:10,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:d5,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:t4,90:9f:33:a4:06:5c,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:d6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:l4,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:j4,00:1a:ac:a0:de:u8,00:1a:ab:a0:de:a8,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:f1,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:k5,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:m7,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:q9,00:1a:ac:a0:de:v6,00:1a:ac:a0:de:j3
2021.01.10 212408,1.0,27.0,20.197590108433733,-39.2616861566265,-19.857831120481926,-0.3907427636746988,1.2476767963855422,9.905244650602409,-0.000516836136626506,-0.0011556760823493977,-0.0026935403248192773,-0.12521343251847356,0.03946662587618608,-2.65214507694704,1021.2348460843375,-91.0,-92.0,-83.0,-87.0,-74.0,-68.0,-73.0,-80.0,-69.0,-90.0,-91.0,-81.0,-86.0,-76.0,-72.0,-89.0,-89.0,-76.0,-59.0,-88.0,-62.0,-81.0,-83.0,-89.0,-87.0,-89.0,-73.0,-89.0,-85.0,-79.0,-77.0,-74.0,-84.0,-64.0,-83.0,-55.0,-54.0,-63.0,-82.0,-68.0,-78.0,-47.0,-51.0,-75.0,-82.0,-39.0,-46.0,-58.0,-65.0,-61.0,-69.0,-79.0,-77.0,-71.0,-84.0,-64.0,-83.0,-53.0,-54.0,-62.0,-82.0,-68.0,-79.0,-48.0,-51.0,-75.0,-83.0,-38.0,-46.0,-59.0,-65.0,-60.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.10 212428,1.0,26.0,7.711874858125,-39.02287444374999,-29.068124543750002,-0.33588682668750003,0.8883358103749999,9.955349737499999,0.0006548475651874998,0.0007177666606249999,-0.0036387715267499994,-0.08896227313671258,0.03373810749035324,-2.958608682453632,1021.2381541249999,-100.0,-100.0,-100.0,-100.0,-63.0,-70.0,-77.0,-78.0,-100.0,-100.0,-100.0,-88.0,-100.0,-85.0,-70.0,-87.0,-100.0,-100.0,-57.0,-100.0,-64.0,-81.0,-100.0,-100.0,-100.0,-100.0,-85.0,-88.0,-87.0,-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-100.0,-73.0,-74.0,-90.0,-100.0,-84.0,-50.0,-60.0,-100.0,-100.0,-46.0,-51.0,-82.0,-78.0,-83.0,-84.0,-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-100.0,-73.0,-74.0,-100.0,-100.0,-83.0,-49.0,-60.0,-100.0,-100.0,-46.0,-51.0,-81.0,-78.0,-83.0,-84.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.10 212446,1.0,25.0,2.9447272242424245,-42.38909041212121,-30.93709041818182,-0.20564643982424244,0.8145468003636362,9.969223393939394,0.0005937609771515153,-2.175041424242463e-05,-0.0020367542997575755,-0.08151825372919888,0.020657521045315173,-3.0841089595447886,1021.2426091515152,-100.0,-100.0,-83.0,-100.0,-100.0,-63.0,-74.0,-73.0,-77.0,-100.0,-100.0,-87.0,-100.0,-100.0,-69.0,-85.0,-100.0,-100.0,-60.0,-92.0,-61.0,-76.0,-88.0,-100.0,-100.0,-100.0,-100.0,-88.0,-86.0,-100.0,-100.0,-87.0,-100.0,-71.0,-87.0,-64.0,-64.0,-65.0,-83.0,-100.0,-87.0,-46.0,-56.0,-100.0,-88.0,-34.0,-39.0,-71.0,-75.0,-74.0,-85.0,-100.0,-100.0,-85.0,-91.0,-70.0,-87.0,-64.0,-64.0,-65.0,-82.0,-82.0,-87.0,-46.0,-56.0,-100.0,-91.0,-33.0,-39.0,-70.0,-74.0,-74.0,-85.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.10 212506,1.0,24.0,32.717142484472056,-3.2627328708074534,-35.81590008695652,-0.30048892389440995,0.8684228067080744,9.967380850931677,-0.00015293637689441008,-4.2400157142857104e-05,-0.00567950254726708,-0.08687589322187882,0.0301832706285698,-1.571528835326248,1021.2460511801244,-100.0,-100.0,-100.0,-100.0,-68.0,-57.0,-75.0,-100.0,-71.0,-100.0,-100.0,-79.0,-100.0,-100.0,-69.0,-100.0,-86.0,-78.0,-56.0,-100.0,-72.0,-79.0,-100.0,-100.0,-100.0,-100.0,-75.0,-91.0,-73.0,-85.0,-83.0,-76.0,-84.0,-63.0,-79.0,-56.0,-58.0,-65.0,-81.0,-100.0,-72.0,-41.0,-55.0,-77.0,-86.0,-42.0,-42.0,-64.0,-65.0,-61.0,-70.0,-100.0,-82.0,-75.0,-84.0,-61.0,-80.0,-55.0,-58.0,-66.0,-82.0,-100.0,-72.0,-41.0,-55.0,-76.0,-100.0,-41.0,-43.0,-63.0,-65.0,-61.0,-70.0,-100.0,-70.0,-92.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.10 212519,2.0,24.0,33.4699994382716,-4.009629564814814,-32.145555086419755,-0.19882826560864195,0.9152189358641973,9.965060398148148,-0.002014105629938272,-0.00024264924018518497,-0.004482340582777778,-0.09158148326807547,0.019954324487228774,-1.599975581522341,1021.2501693827159,-100.0,-100.0,-85.0,-86.0,-70.0,-69.0,-79.0,-100.0,-77.0,-92.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-66.0,-100.0,-65.0,-80.0,-100.0,-100.0,-100.0,-81.0,-82.0,-91.0,-86.0,-80.0,-80.0,-73.0,-85.0,-63.0,-79.0,-53.0,-60.0,-69.0,-84.0,-71.0,-76.0,-46.0,-55.0,-79.0,-81.0,-40.0,-45.0,-65.0,-69.0,-56.0,-80.0,-77.0,-82.0,-74.0,-85.0,-62.0,-79.0,-52.0,-60.0,-70.0,-84.0,-71.0,-76.0,-45.0,-55.0,-100.0,-81.0,-39.0,-45.0,-64.0,-69.0,-57.0,-80.0,-100.0,-81.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.10 212533,3.0,24.0,35.19592554938272,-4.688518445679013,-30.191851432098762,-0.21647495744444448,0.905021100925926,9.966730466049382,-0.0018406500603703705,-0.002829399596049382,-0.0034340657141358026,-0.09052112376616321,0.021732883453139135,-1.624412116445141,1021.253322160494,-100.0,-100.0,-100.0,-100.0,-69.0,-62.0,-72.0,-76.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-89.0,-71.0,-57.0,-100.0,-69.0,-77.0,-100.0,-90.0,-100.0,-87.0,-79.0,-90.0,-100.0,-100.0,-82.0,-100.0,-84.0,-67.0,-79.0,-47.0,-58.0,-71.0,-80.0,-70.0,-70.0,-41.0,-53.0,-100.0,-83.0,-35.0,-41.0,-58.0,-66.0,-55.0,-79.0,-100.0,-81.0,-100.0,-84.0,-67.0,-80.0,-47.0,-58.0,-63.0,-80.0,-71.0,-70.0,-43.0,-53.0,-100.0,-83.0,-36.0,-41.0,-59.0,-66.0,-56.0,-77.0,-100.0,-79.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.10 212547,4.0,24.0,34.32037689937106,-7.165660232075473,-28.53282979245283,-0.2397135894012579,0.9140407592452833,9.963089484276727,0.0006083603045911947,-0.0006562960292452835,-0.003769949062138364,-0.09146188461930495,0.02405741515769999,-1.70191645922151,1021.2680491194968,-100.0,-100.0,-81.0,-100.0,-64.0,-57.0,-73.0,-78.0,-77.0,-100.0,-100.0,-82.0,-100.0,-75.0,-71.0,-86.0,-100.0,-76.0,-47.0,-100.0,-67.0,-78.0,-100.0,-100.0,-100.0,-83.0,-79.0,-88.0,-100.0,-100.0,-82.0,-100.0,-84.0,-60.0,-83.0,-48.0,-62.0,-65.0,-81.0,-69.0,-73.0,-43.0,-55.0,-100.0,-83.0,-38.0,-39.0,-57.0,-60.0,-60.0,-75.0,-100.0,-82.0,-100.0,-85.0,-60.0,-83.0,-48.0,-62.0,-63.0,-80.0,-69.0,-73.0,-44.0,-56.0,-100.0,-84.0,-37.0,-40.0,-58.0,-60.0,-59.0,-75.0,-100.0,-70.0,-90.0,-87.0,-100.0,-92.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.10 212600,5.0,24.0,30.51019316129032,-11.42438690645161,-27.10258029677419,-0.2822000415354839,0.8306279964516131,9.96850908064516,0.0025918814750322578,-0.000331542198,-0.004662340311677418,-0.08309568080209911,0.02831878991677391,-1.866413886316361,1021.2733587096776,-100.0,-100.0,-79.0,-100.0,-67.0,-64.0,-66.0,-72.0,-73.0,-100.0,-100.0,-80.0,-88.0,-100.0,-71.0,-100.0,-100.0,-68.0,-100.0,-100.0,-62.0,-73.0,-100.0,-100.0,-100.0,-82.0,-100.0,-83.0,-100.0,-80.0,-100.0,-100.0,-85.0,-70.0,-82.0,-52.0,-58.0,-62.0,-78.0,-100.0,-74.0,-44.0,-57.0,-76.0,-81.0,-38.0,-41.0,-57.0,-65.0,-60.0,-76.0,-80.0,-100.0,-100.0,-85.0,-69.0,-82.0,-54.0,-58.0,-62.0,-77.0,-100.0,-75.0,-45.0,-57.0,-75.0,-88.0,-37.0,-41.0,-57.0,-65.0,-60.0,-74.0,-100.0,-70.0,-81.0,-100.0,-100.0,-100.0,-89.0,-82.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.10 212614,6.0,24.0,27.464347465838514,-11.373912804347826,-27.198260490683232,-0.20568456417391304,0.7958658707453415,9.974489366459627,0.00016577602236024855,-0.002671776688819876,-0.005292494683043479,-0.07962040593905474,0.02066301171572424,-1.8980171665641832,1021.2797030434782,-100.0,-100.0,-74.0,-100.0,-70.0,-55.0,-61.0,-71.0,-100.0,-100.0,-100.0,-80.0,-100.0,-79.0,-63.0,-81.0,-85.0,-70.0,-64.0,-100.0,-60.0,-72.0,-100.0,-100.0,-100.0,-83.0,-73.0,-84.0,-83.0,-100.0,-100.0,-72.0,-87.0,-62.0,-80.0,-49.0,-59.0,-59.0,-78.0,-100.0,-68.0,-50.0,-62.0,-100.0,-90.0,-29.0,-35.0,-61.0,-63.0,-59.0,-71.0,-100.0,-100.0,-72.0,-87.0,-63.0,-80.0,-50.0,-59.0,-58.0,-78.0,-100.0,-68.0,-52.0,-62.0,-100.0,-89.0,-28.0,-35.0,-62.0,-63.0,-59.0,-71.0,-100.0,-68.0,-89.0,-84.0,-100.0,-100.0,-87.0,-100.0,-100.0,-88.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.10 212629,7.0,24.0,26.737646673202615,-8.012941011111112,-28.750587797385617,-0.2567194655555555,0.9482580180392156,9.968899568627451,-0.0006894551412418301,0.0008233705671241828,-0.00039282622581699334,-0.09481694442189592,0.025759412636189048,-1.7675454281513987,1021.2880356862747,-100.0,-100.0,-75.0,-100.0,-68.0,-56.0,-70.0,-65.0,-72.0,-100.0,-100.0,-83.0,-86.0,-76.0,-65.0,-83.0,-84.0,-100.0,-59.0,-100.0,-59.0,-76.0,-100.0,-100.0,-100.0,-82.0,-69.0,-87.0,-80.0,-80.0,-100.0,-70.0,-90.0,-66.0,-76.0,-50.0,-56.0,-59.0,-74.0,-65.0,-68.0,-55.0,-71.0,-77.0,-80.0,-31.0,-39.0,-61.0,-67.0,-62.0,-70.0,-100.0,-100.0,-69.0,-90.0,-66.0,-76.0,-47.0,-57.0,-57.0,-74.0,-66.0,-68.0,-55.0,-71.0,-77.0,-82.0,-30.0,-39.0,-60.0,-67.0,-61.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-88.0,-89.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
