Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ab:a0:de:a1,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:x5,00:1a:cs:a0:de:10,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:u5,90:9f:33:a4:06:5c,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u8
2021.02.11 120008,46.0,24.0,24.825305823129252,2.4644897625850346,-24.226122204081634,-0.4498981858843537,0.8868481360544217,9.636450085034014,-0.003328592316326531,-0.004699922360884353,0.001230041554421769,-0.09168711441512006,0.04666936418459727,-1.37161681684507,1020.2768121768707,-67.0,-51.0,-70.0,-74.0,-84.0,-75.0,-46.0,-76.0,-64.0,-72.0,-68.0,-83.0,-54.0,-81.0,-88.0,-72.0,-77.0,-78.0,-48.0,-61.0,-54.0,-82.0,-86.0,-72.0,-77.0,-79.0,-48.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120021,47.0,24.0,24.97578921804511,4.586165354887218,-24.407819315789475,-0.18975398556390977,0.7907886160150376,9.631657428571428,-0.0028200847766917283,-0.0056034255018797,-0.001630504977067669,-0.08193650623237275,0.019665419461933814,-1.3073029545016754,1020.2689494736842,-100.0,-100.0,-100.0,-56.0,-100.0,-67.0,-100.0,-60.0,-60.0,-53.0,-68.0,-100.0,-62.0,-77.0,-100.0,-58.0,-69.0,-29.0,-45.0,-54.0,-62.0,-77.0,-100.0,-58.0,-68.0,-30.0,-45.0,-55.0,-54.0,-54.0,-72.0,-72.0,-73.0,-67.0,-70.0,-71.0,-68.0,-63.0,-86.0,-62.0,-72.0,-77.0,-65.0,-60.0,-83.0,-80.0,-38.0,-64.0,-69.0,-57.0,-63.0,-63.0,-69.0,-86.0,-63.0,-70.0,-64.0,-62.0,-85.0,-81.0,-38.0,-62.0,-68.0,-57.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120034,48.0,24.0,25.017599759999996,4.08143994,-22.627679752000002,-0.194466638168,0.6614508964800001,9.652272063999998,0.0016517796923999999,-4.319999979962574e-11,-0.0002932153400000002,-0.06843763548135755,0.020127432178705877,-1.344523621559143,1020.26777568,-100.0,-78.0,-100.0,-50.0,-100.0,-65.0,-100.0,-55.0,-65.0,-59.0,-64.0,-100.0,-54.0,-85.0,-100.0,-58.0,-100.0,-35.0,-45.0,-63.0,-100.0,-85.0,-100.0,-57.0,-100.0,-35.0,-46.0,-63.0,-58.0,-100.0,-100.0,-68.0,-100.0,-69.0,-65.0,-65.0,-75.0,-100.0,-89.0,-65.0,-68.0,-100.0,-69.0,-67.0,-81.0,-100.0,-45.0,-66.0,-71.0,-55.0,-71.0,-100.0,-100.0,-89.0,-100.0,-68.0,-69.0,-67.0,-80.0,-100.0,-45.0,-66.0,-71.0,-57.0,-70.0,-76.0,-88.0,-91.0,-87.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120051,48.0,23.0,12.478153650000001,-31.142307307692306,-25.260922807692307,-0.14181040754615384,0.621313762153846,9.727457300000001,-0.0021051357965384612,-0.0022414056646153846,-0.0003900138919230771,-0.06381253608717363,0.01460418152832276,-2.751645086361812,1020.2546926153846,-100.0,-100.0,-100.0,-53.0,-100.0,-100.0,-100.0,-57.0,-100.0,-57.0,-65.0,-100.0,-55.0,-83.0,-100.0,-52.0,-68.0,-37.0,-43.0,-54.0,-55.0,-83.0,-100.0,-52.0,-68.0,-36.0,-44.0,-54.0,-56.0,-55.0,-73.0,-71.0,-76.0,-100.0,-70.0,-78.0,-75.0,-100.0,-89.0,-58.0,-77.0,-79.0,-68.0,-62.0,-80.0,-100.0,-48.0,-72.0,-71.0,-58.0,-76.0,-100.0,-100.0,-89.0,-57.0,-77.0,-68.0,-62.0,-81.0,-100.0,-48.0,-72.0,-72.0,-56.0,-76.0,-100.0,-90.0,-100.0,-84.0,-79.0,-91.0,-85.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120156,48.0,18.0,11.734487933070866,-32.400944385826776,-35.09574756692914,-0.26943252287401576,0.37472084464566924,9.650140929133858,0.001972084727559055,-0.0023905514102362203,0.002111573651181102,-0.03878772648887367,0.027913752639405823,-2.807884505414587,1020.2738965354331,-100.0,-100.0,-100.0,-53.0,-100.0,-69.0,-100.0,-54.0,-100.0,-50.0,-71.0,-100.0,-58.0,-84.0,-100.0,-60.0,-76.0,-48.0,-59.0,-67.0,-59.0,-85.0,-100.0,-60.0,-76.0,-49.0,-59.0,-66.0,-62.0,-61.0,-71.0,-63.0,-70.0,-70.0,-75.0,-66.0,-70.0,-66.0,-87.0,-62.0,-67.0,-75.0,-72.0,-66.0,-84.0,-100.0,-53.0,-70.0,-69.0,-61.0,-60.0,-66.0,-72.0,-84.0,-61.0,-67.0,-73.0,-66.0,-83.0,-100.0,-52.0,-71.0,-70.0,-61.0,-62.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-90.0,-88.0,-85.0,-85.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120208,48.0,17.0,10.139523575396828,-33.63380905555556,-33.98714253174603,-0.17496674026428571,0.43473762492063495,9.663986091269841,0.0028797931408730162,-0.0037427617277777775,-0.0018374438115079364,-0.0449573368661933,0.01810422076913893,-2.8529419539466736,1020.308263174603,-100.0,-100.0,-100.0,-53.0,-100.0,-69.0,-100.0,-54.0,-100.0,-50.0,-71.0,-100.0,-58.0,-84.0,-100.0,-60.0,-76.0,-48.0,-59.0,-67.0,-59.0,-85.0,-100.0,-60.0,-76.0,-49.0,-59.0,-66.0,-62.0,-61.0,-71.0,-63.0,-70.0,-70.0,-75.0,-66.0,-70.0,-66.0,-87.0,-62.0,-67.0,-75.0,-72.0,-66.0,-84.0,-100.0,-53.0,-70.0,-69.0,-61.0,-60.0,-66.0,-72.0,-84.0,-61.0,-67.0,-73.0,-66.0,-83.0,-100.0,-52.0,-71.0,-70.0,-61.0,-62.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-90.0,-88.0,-85.0,-85.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120234,48.0,15.0,13.014330409448817,-35.051810614173235,-29.169448448818898,-0.08598388945984253,0.4494501003937008,9.679832842519685,0.004704143242519686,-0.004338586190944882,-0.0010100921212598433,-0.04639833955842205,0.008853905363783837,-2.7794061345378247,1020.3779914960627,-100.0,-100.0,-100.0,-45.0,-100.0,-67.0,-100.0,-53.0,-63.0,-47.0,-71.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-56.0,-76.0,-82.0,-75.0,-100.0,-100.0,-100.0,-100.0,-56.0,-74.0,-83.0,-58.0,-72.0,-100.0,-62.0,-100.0,-58.0,-70.0,-71.0,-72.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-63.0,-71.0,-100.0,-64.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-64.0,-70.0,-100.0,-64.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120245,48.0,14.0,11.808594743801653,-31.91752017355372,-32.65983428099173,-0.09485787572809917,0.5240333712396694,9.678946173553717,0.0013580392454545453,-0.0022263767103305786,0.00041902331157024804,-0.05408116941117054,0.009806174978460444,-2.7770641441187585,1020.4158821487605,-100.0,-100.0,-100.0,-46.0,-100.0,-62.0,-100.0,-57.0,-100.0,-51.0,-76.0,-100.0,-72.0,-100.0,-100.0,-100.0,-80.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-60.0,-100.0,-100.0,-61.0,-73.0,-100.0,-57.0,-100.0,-56.0,-72.0,-69.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-72.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-71.0,-72.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-91.0,-100.0,-73.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120257,48.0,13.0,9.100529602649004,-30.805032655629145,-29.481853960264893,-0.07038318738211921,0.6445317882781456,9.697357182119205,0.0010639573625827816,-0.0044055115791390735,-0.0026821433837748345,-0.06635888105887447,0.00725394348833993,-2.8421857609654104,1020.4476266225165,-100.0,-100.0,-100.0,-44.0,-100.0,-66.0,-100.0,-57.0,-100.0,-56.0,-72.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-60.0,-70.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-62.0,-71.0,-100.0,-60.0,-76.0,-82.0,-59.0,-100.0,-59.0,-81.0,-63.0,-76.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-62.0,-83.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-81.0,-100.0,-71.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-80.0,-100.0,-100.0,-100.0,-100.0,-86.0,-90.0,-85.0,-85.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120417,50.0,18.0,-8.37136349469697,19.85363609090909,-30.828181454545454,-0.0025574424651515154,0.3733503601515151,9.690839689393938,0.003387525566287879,-0.0008052315530303033,0.00034245472954545417,-0.03850677013961651,0.0002674042154801855,0.3790954929409605,1020.6009942424242,-100.0,-100.0,-100.0,-38.0,-74.0,-66.0,-100.0,-52.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-67.0,-100.0,-100.0,-56.0,-100.0,-53.0,-71.0,-55.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-79.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-79.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
