Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ab:a0:de:a1,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:d7,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:v1,90:9f:33:fe:d8:48,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:u6,88:36:6c:ef:d6:d4,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:k1,00:1a:cs:a0:de:10,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:j4,90:9f:33:17:06:00,00:1a:ac:a0:de:m8,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:w5
2021.02.11 122655,46.0,24.0,22.180917862385318,6.95143939266055,-14.795131018348624,0.10070610759908256,0.8994216536697248,9.708221,0.002841063239266055,-0.00762561423313156,-0.003156626266238532,-0.09240461017833934,-0.010398631622242319,-1.216264236957655,1017.0609994495417,-59.0,-59.0,-89.0,-67.0,-87.0,-80.0,-77.0,-56.0,-85.0,-78.0,-66.0,-60.0,-85.0,-54.0,-64.0,-60.0,-84.0,-54.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122708,47.0,24.0,23.79172305263158,7.95476892,-14.128372815789474,0.12020151902,0.9142486967368421,9.709548073684209,0.0032855457271789472,-0.005322904228950526,-0.0004909783836842107,-0.09389774971886682,-0.012403101026000856,-1.2035684660861368,1017.0506867368425,-100.0,-79.0,-100.0,-83.0,-100.0,-100.0,-100.0,-82.0,-48.0,-100.0,-60.0,-63.0,-91.0,-40.0,-60.0,-64.0,-90.0,-40.0,-61.0,-54.0,-46.0,-81.0,-74.0,-70.0,-78.0,-62.0,-74.0,-73.0,-74.0,-52.0,-83.0,-66.0,-83.0,-71.0,-83.0,-57.0,-75.0,-83.0,-53.0,-73.0,-59.0,-83.0,-82.0,-69.0,-28.0,-47.0,-67.0,-77.0,-60.0,-74.0,-71.0,-64.0,-74.0,-81.0,-54.0,-73.0,-58.0,-84.0,-69.0,-29.0,-47.0,-65.0,-77.0,-60.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122720,48.0,24.0,24.34714186138614,7.058922506930693,-12.25154446039604,0.19466601077227721,0.8599222267326733,9.716271772277228,0.0030855600738613864,-0.003456416799009902,-0.0010203805757920791,-0.0882594514601301,-0.020026290785212317,-1.2535902627623907,1017.0457898019803,-100.0,-77.0,-100.0,-85.0,-100.0,-64.0,-65.0,-83.0,-55.0,-100.0,-60.0,-57.0,-83.0,-38.0,-54.0,-57.0,-83.0,-37.0,-55.0,-52.0,-53.0,-75.0,-67.0,-100.0,-74.0,-55.0,-75.0,-72.0,-78.0,-58.0,-77.0,-100.0,-100.0,-66.0,-100.0,-67.0,-75.0,-100.0,-60.0,-72.0,-63.0,-100.0,-79.0,-67.0,-33.0,-47.0,-68.0,-75.0,-69.0,-78.0,-66.0,-73.0,-75.0,-100.0,-60.0,-73.0,-63.0,-100.0,-68.0,-33.0,-48.0,-67.0,-76.0,-68.0,-76.0,-83.0,-84.0,-63.0,-79.0,-84.0,-80.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122733,48.0,23.0,9.019680206451612,-29.240559408602145,-14.117508790322582,0.24546914824731184,0.7688896967741935,9.714222451612905,0.0047456649556989255,-0.0031382509365053763,0.0032696205039784943,-0.07897723458146533,-0.02526993113344591,-2.8191963447037565,1017.0436793548388,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-54.0,-100.0,-57.0,-52.0,-81.0,-43.0,-59.0,-51.0,-82.0,-100.0,-58.0,-55.0,-53.0,-100.0,-70.0,-100.0,-76.0,-49.0,-100.0,-65.0,-76.0,-49.0,-100.0,-61.0,-100.0,-68.0,-100.0,-61.0,-75.0,-100.0,-50.0,-74.0,-100.0,-83.0,-80.0,-75.0,-32.0,-52.0,-100.0,-76.0,-57.0,-77.0,-69.0,-61.0,-75.0,-100.0,-52.0,-74.0,-100.0,-83.0,-73.0,-32.0,-54.0,-100.0,-77.0,-56.0,-78.0,-100.0,-83.0,-68.0,-73.0,-100.0,-72.0,-100.0,-83.0,-89.0,-92.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122855,48.0,16.0,5.327528509183673,-33.029370928571424,-19.15797694897959,0.008323463454561222,0.6778053322448979,9.736988464285714,0.006291805880163265,-0.003221659336683673,-0.0009636916855102041,-0.06951298005878921,-0.0008824485074242433,-2.974208965593455,1017.1481437755104,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-72.0,-100.0,-51.0,-100.0,-65.0,-72.0,-100.0,-100.0,-80.0,-72.0,-100.0,-69.0,-81.0,-59.0,-65.0,-100.0,-78.0,-76.0,-68.0,-48.0,-100.0,-59.0,-68.0,-46.0,-78.0,-71.0,-100.0,-76.0,-100.0,-80.0,-86.0,-100.0,-100.0,-100.0,-58.0,-83.0,-100.0,-100.0,-55.0,-71.0,-100.0,-100.0,-71.0,-78.0,-75.0,-80.0,-87.0,-100.0,-100.0,-100.0,-59.0,-85.0,-82.0,-55.0,-71.0,-100.0,-100.0,-72.0,-79.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122920,48.0,14.0,11.351220914141415,-29.916027262626258,-19.606244959595962,0.07381460882828282,0.6063718701010101,9.74070885858586,0.004907705541919191,-0.0054250861611111105,-0.002179535663838384,-0.06216621254053377,-0.0076416328434292255,-2.759773504854453,1017.2346230303032,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-53.0,-100.0,-65.0,-77.0,-100.0,-69.0,-88.0,-100.0,-90.0,-69.0,-87.0,-47.0,-76.0,-100.0,-80.0,-80.0,-60.0,-40.0,-81.0,-56.0,-100.0,-48.0,-75.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-86.0,-100.0,-100.0,-53.0,-78.0,-100.0,-100.0,-77.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-85.0,-100.0,-53.0,-76.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-83.0,-77.0,-86.0,-87.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122931,48.0,13.0,6.85099092371134,-28.740975690721648,-18.263698412371134,0.09374073175876288,0.6493501742268041,9.728584329896908,0.011491099525360824,-0.0019936431888659787,-0.0008676236097319589,-0.06666606390061448,-0.009588669376152525,-2.8911473996860466,1017.287089072165,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-63.0,-85.0,-73.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-75.0,-100.0,-67.0,-76.0,-100.0,-80.0,-100.0,-57.0,-52.0,-90.0,-57.0,-69.0,-62.0,-74.0,-82.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-75.0,-100.0,-87.0,-64.0,-74.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-75.0,-86.0,-64.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-83.0,-100.0,-100.0,-92.0,-82.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 122943,49.0,13.0,25.90172538383838,5.703364575757574,-20.460434494949496,0.10342552912121214,0.71861558010101,9.74008556060606,0.0029526465229292925,-0.0010965020082828283,-0.0021875426061010103,-0.0736467935746968,-0.010617317124728463,-1.3026262425413035,1017.2936343434343,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-54.0,-100.0,-64.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-74.0,-100.0,-65.0,-63.0,-100.0,-80.0,-100.0,-63.0,-36.0,-100.0,-48.0,-81.0,-46.0,-100.0,-81.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-80.0,-100.0,-100.0,-57.0,-75.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-81.0,-100.0,-59.0,-74.0,-100.0,-100.0,-81.0,-100.0,-100.0,-78.0,-61.0,-80.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-78.0,-77.0,-76.0,-91.0,-83.0,-80.0,-100.0,-100.0,-100.0,-82.0,-85.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123010,50.0,14.0,-7.589203776041667,14.053930156249999,-14.640921192708333,-0.017379127006249998,0.7532389970833333,9.721306401041666,0.007594525587000001,-0.004655645902187499,0.0005967431166666666,-0.07734585592212771,0.0017953791216693017,0.465890315361321,1017.3192793750001,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-76.0,-100.0,-67.0,-100.0,-77.0,-86.0,-100.0,-78.0,-82.0,-100.0,-100.0,-78.0,-82.0,-67.0,-83.0,-100.0,-78.0,-100.0,-64.0,-54.0,-86.0,-68.0,-75.0,-62.0,-84.0,-78.0,-90.0,-80.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-56.0,-61.0,-100.0,-86.0,-65.0,-75.0,-100.0,-100.0,-100.0,-100.0,-79.0,-88.0,-100.0,-100.0,-100.0,-100.0,-56.0,-61.0,-100.0,-65.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-69.0,-87.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-76.0,-100.0,-100.0,-100.0,-86.0,-100.0,-91.0,-100.0,-100.0,-91.0,-87.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123106,50.0,19.0,-16.673630645833338,22.588512927083332,-5.316607926041667,0.043925213855625,0.3190473503125,9.763854786458333,0.0011632155533333334,-0.0017198735648958335,0.004860193219375,-0.03267925323840847,-0.0045104123720420474,0.6317322924733162,1017.5448675000001,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-56.0,-100.0,-71.0,-71.0,-87.0,-74.0,-90.0,-78.0,-87.0,-74.0,-91.0,-66.0,-73.0,-100.0,-63.0,-70.0,-72.0,-41.0,-100.0,-50.0,-78.0,-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-67.0,-100.0,-77.0,-53.0,-65.0,-100.0,-100.0,-78.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-68.0,-77.0,-53.0,-66.0,-100.0,-100.0,-76.0,-88.0,-83.0,-76.0,-65.0,-79.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.0,-100.0,-80.0,-88.0,-83.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-83.0,-100.0,-88.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
