Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,4e:95:09:85:48:c1,70:5d:cc:db:72:3c,70:5d:cc:db:72:3e,00:1a:ab:a0:de:a1,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:n1,00:1a:ac:a0:de:u2,0a:ae:d6:3c:59:3b,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:x1,00:1a:cs:a0:de:10,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:f4,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:x5,90:9f:33:fe:d8:48,00:1a:ac:a0:de:d9,00:1a:ac:a0:de:k1,88:36:6c:ef:d6:d4,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:d7,00:1a:ac:a0:de:g5,00:1a:ab:a0:de:a3,00:1a:ac:a0:de:d2,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,2c:5d:93:16:e5:d8,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:n8
2021.02.08 130234,46.0,24.0,23.68562412621359,5.325814957281553,-25.304789999999997,-0.1623690222330097,0.964481596407767,9.707485344660194,-0.0007302699941747565,0.0031148293915436893,0.0014126858094368935,-0.0990261319048196,0.016737971735159705,-1.2458630869689498,1016.4298182524271,-73.0,-51.0,-77.0,-75.0,-82.0,-77.0,-88.0,-66.0,-76.0,-65.0,-83.0,-73.0,-43.0,-68.0,-65.0,-79.0,-74.0,-75.0,-43.0,-68.0,-85.0,-82.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 130246,47.0,24.0,24.08033163106797,8.269484156310678,-24.68740332038835,0.04515524940932039,0.7855623765048544,9.722372325242718,0.0027292895852427186,0.0007292352775563114,0.0008177477452427185,-0.08064896022014821,-0.004644339749663274,-1.1709788320133987,1016.4168748543692,-100.0,-100.0,-100.0,-100.0,-84.0,-54.0,-100.0,-64.0,-75.0,-61.0,-100.0,-65.0,-52.0,-65.0,-61.0,-55.0,-66.0,-36.0,-100.0,-66.0,-100.0,-100.0,-100.0,-56.0,-53.0,-75.0,-68.0,-82.0,-66.0,-75.0,-86.0,-69.0,-80.0,-72.0,-81.0,-72.0,-88.0,-63.0,-89.0,-75.0,-79.0,-54.0,-78.0,-63.0,-83.0,-36.0,-57.0,-65.0,-83.0,-72.0,-88.0,-62.0,-89.0,-75.0,-78.0,-79.0,-63.0,-83.0,-73.0,-57.0,-83.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 130257,48.0,24.0,24.93405323,6.4908953480000005,-22.781783470000008,-0.007337747990999999,0.9458911939000001,9.716606424999998,-0.00200168418678,0.0021871024112050013,0.0013986342523340004,-0.09704949527978894,0.0007614394265328657,-1.236068421602249,1016.4213884,-100.0,-100.0,-76.0,-73.0,-80.0,-52.0,-100.0,-66.0,-65.0,-54.0,-100.0,-66.0,-37.0,-55.0,-53.0,-54.0,-66.0,-39.0,-38.0,-56.0,-68.0,-100.0,-82.0,-50.0,-50.0,-80.0,-66.0,-81.0,-53.0,-73.0,-86.0,-68.0,-78.0,-66.0,-100.0,-72.0,-88.0,-68.0,-91.0,-78.0,-75.0,-56.0,-81.0,-72.0,-89.0,-39.0,-49.0,-69.0,-84.0,-73.0,-87.0,-67.0,-91.0,-78.0,-100.0,-83.0,-71.0,-90.0,-78.0,-49.0,-84.0,-73.0,-89.0,-51.0,-82.0,-79.0,-73.0,-81.0,-80.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 130309,48.0,23.0,10.425762929292928,-30.804241414141416,-25.114791060606066,0.07454121208131313,0.899542322929293,9.711445222222222,0.0018781477333333332,-6.434797212121215e-05,0.002408824555555556,-0.09235711884920039,-0.0076665763974435135,-2.783360784704035,1016.4064654545455,-100.0,-100.0,-69.0,-100.0,-86.0,-67.0,-100.0,-63.0,-60.0,-50.0,-69.0,-100.0,-39.0,-52.0,-50.0,-56.0,-100.0,-37.0,-39.0,-51.0,-64.0,-100.0,-100.0,-54.0,-53.0,-100.0,-100.0,-100.0,-51.0,-100.0,-83.0,-64.0,-75.0,-100.0,-100.0,-77.0,-86.0,-66.0,-100.0,-81.0,-81.0,-55.0,-76.0,-62.0,-79.0,-38.0,-55.0,-64.0,-83.0,-77.0,-86.0,-65.0,-100.0,-81.0,-100.0,-76.0,-62.0,-79.0,-100.0,-55.0,-85.0,-78.0,-100.0,-52.0,-100.0,-100.0,-77.0,-81.0,-100.0,-64.0,-80.0,-70.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 130442,48.0,15.0,11.564123343434343,-32.92516144444444,-28.141235555555557,0.017604135649090913,0.43383327707070707,9.755714454545455,-0.002731725726868687,-0.0008980186499494946,-0.000834376985,-0.04445497480907821,-0.0017885399383058772,-2.789769765102502,1016.512287979798,-100.0,-100.0,-71.0,-65.0,-100.0,-52.0,-93.0,-62.0,-100.0,-77.0,-72.0,-79.0,-100.0,-78.0,-79.0,-81.0,-78.0,-55.0,-100.0,-79.0,-56.0,-100.0,-100.0,-56.0,-66.0,-80.0,-74.0,-76.0,-53.0,-69.0,-100.0,-62.0,-60.0,-69.0,-100.0,-75.0,-100.0,-80.0,-100.0,-100.0,-100.0,-83.0,-100.0,-63.0,-84.0,-55.0,-73.0,-100.0,-100.0,-81.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-63.0,-85.0,-100.0,-72.0,-100.0,-82.0,-100.0,-46.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-91.0,-70.0,-65.0,-81.0,-65.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 130453,48.0,14.0,12.067579577669905,-29.43786789320388,-30.566937300970874,0.0329080366037864,0.3540059233980582,9.76045941747573,-0.0035254323221165047,-0.001059221344271845,0.0005407637968349514,-0.03624482201502736,-0.0033673168587766093,-2.735577224527748,1016.5590910679613,-100.0,-100.0,-100.0,-100.0,-100.0,-48.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54.0,-100.0,-100.0,-59.0,-100.0,-100.0,-62.0,-68.0,-100.0,-73.0,-62.0,-40.0,-100.0,-100.0,-60.0,-80.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-88.0,-56.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-87.0,-100.0,-74.0,-100.0,-100.0,-100.0,-50.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-85.0,-100.0,-84.0,-100.0,-84.0,-85.0,-89.0,-82.0,-83.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 130504,48.0,13.0,9.032232814285713,-29.007529153061224,-29.019707255102038,0.09633278917857141,0.5163693831632653,9.75967556632653,0.0021150266900000015,9.731838081632657e-05,0.0002623448578877555,-0.05285414232283217,-0.00985660930092879,-2.8140906460431157,1016.6637917346939,-100.0,-100.0,-100.0,-63.0,-100.0,-52.0,-100.0,-100.0,-100.0,-72.0,-82.0,-100.0,-74.0,-89.0,-72.0,-100.0,-100.0,-62.0,-74.0,-100.0,-69.0,-100.0,-100.0,-63.0,-73.0,-100.0,-75.0,-67.0,-41.0,-100.0,-84.0,-52.0,-87.0,-59.0,-100.0,-80.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-86.0,-59.0,-75.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-68.0,-87.0,-100.0,-74.0,-100.0,-100.0,-100.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-85.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 130516,49.0,13.0,25.980943459999995,5.828771873999998,-32.96779531,0.1007850216726,0.49301710740000004,9.75323477,-0.0002911872162999997,-0.0017606632030000003,0.0010241185761000002,-0.05048994790762659,-0.01032985829526293,-1.2941141355037689,1016.660481,-100.0,-100.0,-79.0,-69.0,-100.0,-57.0,-100.0,-70.0,-81.0,-77.0,-83.0,-80.0,-69.0,-100.0,-80.0,-100.0,-100.0,-57.0,-71.0,-100.0,-65.0,-100.0,-100.0,-62.0,-60.0,-100.0,-72.0,-60.0,-37.0,-100.0,-100.0,-61.0,-85.0,-65.0,-100.0,-80.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-83.0,-57.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-83.0,-100.0,-75.0,-100.0,-100.0,-100.0,-49.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-79.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 130651,49.0,19.0,-17.89506304950495,-13.538558396039608,-24.262068415841586,0.07424358257425742,0.4981734661386139,9.760050747524753,-0.0013235336684158422,-0.0056410445097227705,-0.0023591808207425735,-0.05099518774169502,-0.007609739476044866,2.1768500993747524,1016.8888968316832,-100.0,-100.0,-83.0,-70.0,-100.0,-59.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-71.0,-90.0,-65.0,-100.0,-100.0,-61.0,-70.0,-88.0,-71.0,-100.0,-100.0,-67.0,-100.0,-100.0,-62.0,-74.0,-53.0,-100.0,-69.0,-58.0,-86.0,-100.0,-100.0,-80.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-70.0,-61.0,-73.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-58.0,-70.0,-100.0,-73.0,-100.0,-100.0,-100.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-78.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.08 130702,48.0,19.0,9.380571107843137,-22.596528843137254,-24.229130372549015,0.19691381719411766,0.4759594290196078,9.761004862745098,0.004309968047254901,-0.0014283618425294123,-0.0069082594603921575,-0.048710297500970265,-0.020177551610258315,-2.709572383001739,1016.8849913725492,-100.0,-100.0,-100.0,-67.0,-100.0,-58.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,-69.0,-88.0,-69.0,-100.0,-100.0,-66.0,-68.0,-87.0,-75.0,-100.0,-100.0,-64.0,-100.0,-100.0,-64.0,-85.0,-58.0,-100.0,-80.0,-48.0,-100.0,-100.0,-100.0,-71.0,-73.0,-63.0,-76.0,-100.0,-100.0,-100.0,-100.0,-49.0,-59.0,-60.0,-71.0,-100.0,-100.0,-100.0,-73.0,-63.0,-76.0,-100.0,-100.0,-100.0,-50.0,-58.0,-81.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-76.0,-100.0,-75.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-87.0,-100.0,-100.0,-80.0,-83.0,-82.0,-86.0,-81.0,-87.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
