Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a7,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:f4,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:d7,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:t5
2021.02.11 114138,46.0,24.0,19.382631377192986,7.554210425438597,-20.838420789473684,0.030915548489473678,0.9637166127192983,9.636052956140354,0.0051952910392105275,0.006908639483157895,-0.009649956129385967,-0.0996872257245214,-0.0032174404044363844,-1.1123169284117849,1019.3679185964911,-68.0,-61.0,-52.0,-84.0,-73.0,-47.0,-85.0,-84.0,-64.0,-59.0,-88.0,-76.0,-79.0,-45.0,-63.0,-58.0,-87.0,-77.0,-45.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 114148,47.0,24.0,20.861578789473686,8.572105054385965,-20.20842079824561,0.14008607835964912,1.0653262765789473,9.644411951754385,0.0010907052843859646,0.0022789238364912283,-0.009210561904649122,-0.1100119816368086,-0.01449882082146866,-1.1018012375162358,1019.3602055263159,-53.0,-100.0,-100.0,-100.0,-76.0,-83.0,-54.0,-88.0,-69.0,-62.0,-85.0,-55.0,-37.0,-50.0,-60.0,-66.0,-85.0,-55.0,-50.0,-60.0,-52.0,-87.0,-76.0,-89.0,-90.0,-66.0,-88.0,-51.0,-75.0,-73.0,-72.0,-72.0,-55.0,-73.0,-85.0,-80.0,-65.0,-79.0,-65.0,-73.0,-80.0,-93.0,-74.0,-66.0,-84.0,-43.0,-64.0,-75.0,-58.0,-68.0,-75.0,-65.0,-80.0,-65.0,-73.0,-92.0,-74.0,-66.0,-84.0,-92.0,-35.0,-46.0,-63.0,-75.0,-58.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 114158,48.0,24.0,21.039327495798315,8.31932757563025,-17.62941155462185,-0.003802671554621848,1.0962358261344538,9.620658953781513,0.000685082831932773,0.0029370247001680675,-0.008146478230420168,-0.1134972951742781,0.00038720384284093086,-1.1162736085282654,1019.3588868067228,-53.0,-100.0,-100.0,-100.0,-100.0,-100.0,-52.0,-100.0,-64.0,-58.0,-86.0,-60.0,-41.0,-43.0,-53.0,-55.0,-85.0,-61.0,-42.0,-53.0,-53.0,-100.0,-76.0,-100.0,-85.0,-69.0,-100.0,-57.0,-76.0,-100.0,-100.0,-65.0,-55.0,-81.0,-100.0,-100.0,-70.0,-90.0,-70.0,-71.0,-100.0,-100.0,-72.0,-100.0,-87.0,-43.0,-67.0,-78.0,-54.0,-69.0,-100.0,-70.0,-90.0,-68.0,-71.0,-100.0,-73.0,-100.0,-88.0,-100.0,-40.0,-43.0,-67.0,-78.0,-58.0,-69.0,-91.0,-79.0,-73.0,-64.0,-63.0,-79.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 114209,48.0,23.0,5.6180356375,-30.488570919642854,-21.265714026785712,0.11347152397321428,0.8751074429464286,9.657863276785715,-0.000988379767946429,0.005588064440178572,-0.004347178946160713,-0.09035790372373799,-0.011746933660953663,-2.938246714217322,1019.3543538392857,-57.0,-100.0,-100.0,-100.0,-74.0,-100.0,-59.0,-88.0,-100.0,-50.0,-84.0,-51.0,-43.0,-42.0,-58.0,-49.0,-84.0,-50.0,-43.0,-58.0,-46.0,-81.0,-100.0,-90.0,-86.0,-65.0,-90.0,-100.0,-100.0,-100.0,-100.0,-65.0,-54.0,-77.0,-100.0,-100.0,-100.0,-88.0,-52.0,-73.0,-89.0,-90.0,-70.0,-65.0,-82.0,-47.0,-65.0,-78.0,-100.0,-70.0,-100.0,-100.0,-89.0,-50.0,-73.0,-90.0,-70.0,-66.0,-82.0,-100.0,-44.0,-47.0,-65.0,-78.0,-100.0,-70.0,-100.0,-80.0,-100.0,-64.0,-69.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 114345,48.0,14.0,6.313278557377049,-30.431802795081968,-25.722294762295082,0.0657444316852459,0.7325107186885247,9.653068413934427,0.00480482560532787,0.0029955529001639346,-0.002224350664590164,-0.07571414824514112,-0.00680508517915929,-2.91699496058167,1019.4571027868855,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55.0,-89.0,-70.0,-60.0,-86.0,-63.0,-48.0,-45.0,-63.0,-60.0,-88.0,-63.0,-45.0,-63.0,-55.0,-82.0,-100.0,-83.0,-88.0,-73.0,-83.0,-50.0,-100.0,-65.0,-69.0,-64.0,-52.0,-74.0,-100.0,-100.0,-63.0,-77.0,-100.0,-68.0,-76.0,-100.0,-82.0,-71.0,-80.0,-61.0,-67.0,-78.0,-61.0,-68.0,-100.0,-64.0,-78.0,-100.0,-69.0,-100.0,-81.0,-70.0,-80.0,-100.0,-47.0,-63.0,-66.0,-78.0,-55.0,-68.0,-90.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-83.0,-60.0,-86.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 114356,48.0,13.0,3.5980487105691057,-29.88390205691057,-24.836097243902437,0.21106602912195122,0.8162141229268293,9.646319036585366,0.003188349001382114,0.0009616558055284552,-0.004880266819186992,-0.08436483308309459,-0.021896361710306792,-2.993061963135634,1019.490017398374,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55.0,-100.0,-80.0,-76.0,-100.0,-100.0,-64.0,-77.0,-100.0,-76.0,-100.0,-100.0,-76.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,-41.0,-87.0,-50.0,-62.0,-75.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-77.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-66.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-54.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-74.0,-88.0,-86.0,-89.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 114407,49.0,13.0,21.668571178571426,6.200357049107143,-27.784285357142856,0.09716052653035714,0.769417308125,9.667440397321428,0.0053548013178571436,0.002626458693928571,-0.006708827533214286,-0.07942565217880262,-0.010009418670441417,-1.2058194162590163,1019.4798301785714,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55.0,-100.0,-78.0,-77.0,-100.0,-100.0,-56.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-91.0,-65.0,-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-39.0,-100.0,-50.0,-64.0,-74.0,-48.0,-70.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-81.0,-75.0,-100.0,-100.0,-75.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-81.0,-100.0,-55.0,-75.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 114417,50.0,13.0,-15.685789228070176,15.552631359649123,-26.192104982456144,0.11612232811929825,0.9027676192105263,9.655144135964912,0.0010639130544736846,0.002643299473333333,-0.00798347292254386,-0.0932272085756586,-0.012016238295539909,0.7079192943740309,1019.474794736842,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-89.0,-79.0,-100.0,-90.0,-100.0,-54.0,-71.0,-100.0,-100.0,-89.0,-100.0,-71.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-49.0,-100.0,-52.0,-61.0,-72.0,-100.0,-78.0,-100.0,-100.0,-82.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-69.0,-68.0,-100.0,-100.0,-76.0,-100.0,-100.0,-82.0,-89.0,-100.0,-100.0,-100.0,-100.0,-54.0,-69.0,-100.0,-54.0,-68.0,-100.0,-100.0,-77.0,-100.0,-100.0,-57.0,-100.0,-61.0,-72.0,-88.0,-72.0,-100.0,-69.0,-59.0,-100.0,-100.0,-100.0,-73.0,-89.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 114546,48.0,18.0,-0.34984614676923087,-23.379230469230773,-21.805384392307694,0.28880479406923076,0.7798337202307691,9.659646488461538,0.002347884242692308,0.0023881542030769233,-0.004213090480769231,-0.08053422532975668,-0.029894086731543996,-0.03424942860236535,1019.6754134615386,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-74.0,-100.0,-100.0,-56.0,-70.0,-90.0,-74.0,-100.0,-100.0,-70.0,-90.0,-58.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-45.0,-84.0,-64.0,-64.0,-76.0,-52.0,-78.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-63.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-56.0,-63.0,-100.0,-56.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 114557,48.0,17.0,-2.6127272297272723,-26.719090609090905,-22.33963613636363,0.1356465496818182,0.7462954571818183,9.68148958181818,0.002210332382,0.0007153231701818179,-0.0018559196378181819,-0.07694827778772871,-0.013943003547716507,2.9924146392128685,1019.7059501818183,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-78.0,-100.0,-90.0,-100.0,-69.0,-75.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-73.0,-79.0,-100.0,-100.0,-100.0,-74.0,-100.0,-52.0,-100.0,-51.0,-61.0,-100.0,-100.0,-84.0,-100.0,-74.0,-66.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-78.0,-100.0,-79.0,-81.0,-90.0,-100.0,-100.0,-100.0,-80.0,-90.0,-88.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
