Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a7,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x3,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:h5,00:1a:cs:a0:de:10,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:u5,90:9f:33:a4:06:5c,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:n4
2021.02.11 120007,46.0,24.0,18.8311625503876,8.563255628682171,-20.26325562790698,0.15345631102015503,0.740777488992248,9.662161019379843,-0.0007891242271162791,0.0015068672586046506,0.0016327860056976748,-0.0765192275650279,-0.015894264131676102,-1.0865999182989432,1019.2233192248061,-78.0,-68.0,-61.0,-89.0,-79.0,-71.0,-78.0,-47.0,-86.0,-63.0,-65.0,-86.0,-49.0,-63.0,-87.0,-49.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120020,47.0,24.0,19.5376857768595,10.613057690082645,-19.47669395041322,0.27195795760330577,0.7001176152892563,9.669407483471074,0.0006141164644628105,-0.000983008355371901,0.002531531610991735,-0.0722699755233181,-0.028156085438210438,-1.0333424225326413,1019.2201573553718,-56.0,-100.0,-100.0,-88.0,-100.0,-69.0,-54.0,-100.0,-100.0,-69.0,-66.0,-61.0,-48.0,-66.0,-55.0,-48.0,-52.0,-71.0,-72.0,-90.0,-70.0,-66.0,-62.0,-53.0,-78.0,-86.0,-83.0,-81.0,-69.0,-87.0,-61.0,-74.0,-64.0,-82.0,-65.0,-35.0,-44.0,-71.0,-71.0,-58.0,-77.0,-86.0,-81.0,-69.0,-87.0,-74.0,-64.0,-83.0,-69.0,-35.0,-44.0,-71.0,-71.0,-58.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120034,48.0,24.0,20.131499758333334,10.148999770833333,-17.26699975833333,0.18737195508333335,0.5157068380833334,9.673448816666667,2.8914287124999725e-05,4.5407712249999804e-05,-0.00029830590849999985,-0.053248335638393915,-0.019353997010815215,-1.0756408125162125,1019.2126220833333,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-50.0,-100.0,-87.0,-64.0,-54.0,-55.0,-45.0,-100.0,-57.0,-46.0,-58.0,-68.0,-100.0,-100.0,-65.0,-55.0,-65.0,-59.0,-75.0,-85.0,-100.0,-89.0,-68.0,-100.0,-58.0,-69.0,-67.0,-81.0,-100.0,-35.0,-45.0,-71.0,-71.0,-63.0,-100.0,-85.0,-89.0,-68.0,-100.0,-69.0,-67.0,-80.0,-100.0,-35.0,-45.0,-71.0,-70.0,-63.0,-76.0,-88.0,-69.0,-91.0,-65.0,-65.0,-65.0,-66.0,-78.0,-57.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120051,48.0,23.0,5.992758536206898,-28.932930560344825,-22.353620474137937,0.1981675206689655,0.6331618470689656,9.66098150862069,0.0014788415573534477,0.0025143213134482755,0.0036242215217672413,-0.06543089722379525,-0.020501683390867883,-2.910634153875811,1019.2145136206898,-55.0,-100.0,-100.0,-85.0,-100.0,-100.0,-53.0,-100.0,-84.0,-65.0,-55.0,-58.0,-43.0,-55.0,-56.0,-44.0,-56.0,-71.0,-76.0,-100.0,-100.0,-57.0,-70.0,-57.0,-75.0,-83.0,-100.0,-89.0,-77.0,-100.0,-52.0,-68.0,-62.0,-80.0,-68.0,-37.0,-48.0,-71.0,-76.0,-54.0,-100.0,-83.0,-89.0,-77.0,-100.0,-68.0,-62.0,-81.0,-68.0,-36.0,-48.0,-72.0,-76.0,-54.0,-100.0,-90.0,-100.0,-100.0,-78.0,-100.0,-58.0,-72.0,-79.0,-52.0,-72.0,-73.0,-91.0,-79.0,-85.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120207,48.0,17.0,3.6264406322033897,-32.620169050847466,-30.43677897457627,0.06604546213559322,0.4022990387288136,9.683340046610173,0.001443050030940677,-0.0014640679560169495,-0.0006869127672033895,-0.04151631492363695,-0.006807526279047443,-3.01994886640775,1019.2563420338982,-63.0,-100.0,-100.0,-91.0,-100.0,-100.0,-50.0,-100.0,-100.0,-100.0,-63.0,-59.0,-48.0,-63.0,-61.0,-49.0,-59.0,-74.0,-100.0,-91.0,-100.0,-58.0,-69.0,-52.0,-73.0,-88.0,-100.0,-75.0,-73.0,-100.0,-61.0,-78.0,-56.0,-76.0,-100.0,-48.0,-64.0,-81.0,-64.0,-61.0,-100.0,-88.0,-75.0,-73.0,-100.0,-78.0,-67.0,-77.0,-100.0,-48.0,-64.0,-81.0,-64.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-58.0,-66.0,-100.0,-61.0,-66.0,-100.0,-88.0,-100.0,-100.0,-58.0,-92.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120233,48.0,15.0,4.85303565625,-32.87732105357143,-25.444821125,0.2376531513839286,0.5043582675892857,9.67804349107143,-0.0013091715035535713,-0.003103457296160714,0.0002838340796875001,-0.05207277471864857,-0.024538662841743077,-2.9697012986455644,1019.3229349999999,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-45.0,-100.0,-89.0,-69.0,-100.0,-76.0,-69.0,-100.0,-76.0,-100.0,-55.0,-60.0,-100.0,-73.0,-74.0,-51.0,-67.0,-52.0,-72.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-64.0,-70.0,-100.0,-58.0,-74.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-70.0,-100.0,-57.0,-74.0,-100.0,-100.0,-86.0,-89.0,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120245,48.0,14.0,5.1854866433628315,-29.171680973451323,-27.220884539823007,0.23379140015044247,0.391071948761062,9.669819057522124,0.00042669743630088466,-0.002576672825840708,0.0013573371676106195,-0.04041823659059216,-0.024171871738920388,-2.936471936977015,1019.3669079646019,-73.0,-100.0,-100.0,-91.0,-100.0,-100.0,-46.0,-100.0,-100.0,-76.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-57.0,-100.0,-73.0,-62.0,-57.0,-72.0,-51.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-72.0,-80.0,-60.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-72.0,-81.0,-60.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.0,-91.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120256,48.0,13.0,3.6476032454545453,-28.713718710743798,-25.159338537190077,0.22983059334214875,0.5634856479338842,9.665390599173554,0.0007201344107603305,-0.0017958126029752068,-6.843206148760322e-05,-0.058264160975198064,-0.023730323492156775,-2.986931790990278,1019.4023900826446,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-44.0,-100.0,-100.0,-77.0,-76.0,-100.0,-100.0,-75.0,-100.0,-75.0,-61.0,-60.0,-100.0,-72.0,-64.0,-64.0,-74.0,-51.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-76.0,-100.0,-62.0,-74.0,-100.0,-100.0,-92.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-64.0,-76.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-86.0,-60.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120417,50.0,18.0,-11.138086686956525,20.925912843478265,-23.81478233913044,0.18858557489565217,0.5842238719130436,9.67347408695652,0.0025489547752260873,-0.007244915080869563,0.005344672305478261,-0.060302766833616295,-0.0195029205764117,0.44531805722609813,1019.5489464347826,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-38.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-66.0,-100.0,-100.0,-67.0,-56.0,-100.0,-74.0,-66.0,-52.0,-71.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-79.0,-100.0,-66.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-79.0,-100.0,-66.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-100.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-74.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 120443,49.0,19.0,-22.511578771929827,-15.342104912280703,-20.85631548245614,0.2534780944122807,0.49761011622807017,9.679801092105263,-0.0033388822780526313,-0.0027557309394736842,0.001243861002763158,-0.05136391943680085,-0.026184426057928506,2.14578732482174,1019.5893853508773,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,-68.0,-81.0,-66.0,-68.0,-80.0,-67.0,-67.0,-84.0,-100.0,-69.0,-58.0,-100.0,-78.0,-100.0,-88.0,-82.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-48.0,-61.0,-74.0,-59.0,-77.0,-100.0,-100.0,-92.0,-100.0,-82.0,-83.0,-100.0,-100.0,-100.0,-49.0,-61.0,-75.0,-59.0,-77.0,-100.0,-100.0,-90.0,-100.0,-100.0,-50.0,-80.0,-58.0,-77.0,-100.0,-100.0,-67.0,-100.0,-100.0,-60.0,-100.0,-71.0,-100.0,-100.0,-84.0,-100.0,-66.0,-100.0,-100.0,-78.0,-65.0,-87.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
