Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:x7,32:24:a9:c6:2d:75,70:5d:cc:e8:73:1c,70:5d:cc:e8:73:1e,86:25:19:b5:ef:50,88:36:6c:4b:14:1c,ea:d8:d1:b4:cf:21,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:k9,88:36:6c:51:f3:22,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,70:5d:cc:b6:d1:c8,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:l1,72:5d:cc:c6:d1:c8,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:m9,00:1a:ac:a0:de:f2,70:5d:cc:05:03:10,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:l7,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:n5,70:5d:cc:b1:75:50,90:9f:33:a4:06:5c,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:b1,70:5d:cc:ea:72:5c,00:1a:ac:a0:de:k2,72:5d:cc:4b:31:60,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:k3,00:1b:ad:a1:df:a8,28:b3:71:0f:d8:ec,28:b3:71:0f:d8:ed,28:b3:71:4f:d8:ec,28:b3:71:8f:d8:ec,28:b3:71:cf:d8:ec,00:1a:ac:a0:de:h5,28:b3:71:0f:d8:e9,28:b3:71:4f:d8:e8,28:b3:71:8f:d8:e8,28:b3:71:cf:d8:e8,00:1a:ac:a0:de:j8,28:b3:71:0f:d8:e8,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,70:5d:cc:ea:72:5e,70:5d:cc:1b:31:60,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:j3
2021.05.22 151846,1.0,27.0,30.815905188976373,-33.153070456692916,-20.038582393700786,-0.40557507102362206,0.7046897470078739,9.946138015748032,0.003208086262968504,-0.00024398536322834703,0.0019443214299212598,-0.07074222303046951,0.04082185531577722,-2.383009936865859,1000.643088582677,-82.0,-62.0,-68.0,-73.0,-78.0,-65.0,-88.0,-79.0,-74.0,-85.0,-64.0,-61.0,-82.0,-69.0,-83.0,-88.0,-77.0,-84.0,-88.0,-62.0,-79.0,-54.0,-63.0,-68.0,-78.0,-86.0,-54.0,-69.0,-87.0,-89.0,-44.0,-43.0,-63.0,-68.0,-71.0,-78.0,-88.0,-73.0,-83.0,-88.0,-80.0,-53.0,-64.0,-68.0,-78.0,-85.0,-54.0,-68.0,-89.0,-88.0,-43.0,-44.0,-63.0,-68.0,-71.0,-78.0,-74.0,-76.0,-79.0,-77.0,-80.0,-74.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 151857,1.0,26.0,7.90542842,-30.827142471428573,-33.43157117142857,-0.2984463529885714,0.6997610165714286,9.957053535714286,-0.004376675275714286,-0.005150902945642856,0.005763775650357143,-0.07018922405051328,0.02988514144963115,-2.905383748667581,1000.6446577857145,-100.0,-61.0,-68.0,-76.0,-75.0,-66.0,-75.0,-100.0,-78.0,-88.0,-79.0,-61.0,-76.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-73.0,-89.0,-100.0,-74.0,-78.0,-86.0,-83.0,-46.0,-56.0,-100.0,-100.0,-47.0,-50.0,-100.0,-77.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-74.0,-78.0,-87.0,-83.0,-47.0,-56.0,-100.0,-100.0,-46.0,-50.0,-100.0,-77.0,-100.0,-82.0,-100.0,-100.0,-86.0,-83.0,-77.0,-84.0,-100.0,-86.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 151910,1.0,25.0,4.39822215037037,-38.580888400000006,-34.48399971851852,-0.17593485888888888,0.7172183225185185,9.95688437777778,0.0012187214806518513,-0.003186114445703704,0.005199775266296296,-0.07191345363303464,0.017647769954917836,-3.0374701058423077,1000.6458372592592,-84.0,-67.0,-66.0,-77.0,-100.0,-60.0,-72.0,-100.0,-77.0,-81.0,-74.0,-66.0,-79.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-69.0,-84.0,-100.0,-67.0,-100.0,-84.0,-88.0,-45.0,-52.0,-100.0,-90.0,-36.0,-42.0,-74.0,-73.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-84.0,-60.0,-67.0,-100.0,-85.0,-88.0,-44.0,-52.0,-88.0,-100.0,-37.0,-42.0,-64.0,-73.0,-100.0,-84.0,-100.0,-85.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 151922,1.0,24.0,35.68454503787879,1.2349999799242424,-37.743635924242426,-0.20870095369545455,0.7609077859848485,9.94599896590909,-0.0007054013019621206,-0.007469678519772728,0.004669639087878787,-0.07641456372132802,0.020917175819208305,-1.4511399052359841,1000.6518603787878,-87.0,-68.0,-66.0,-78.0,-75.0,-61.0,-73.0,-100.0,-76.0,-85.0,-100.0,-71.0,-82.0,-71.0,-90.0,-100.0,-100.0,-77.0,-87.0,-100.0,-83.0,-61.0,-58.0,-100.0,-81.0,-81.0,-44.0,-58.0,-100.0,-86.0,-41.0,-40.0,-59.0,-62.0,-62.0,-67.0,-100.0,-100.0,-78.0,-86.0,-83.0,-60.0,-58.0,-100.0,-81.0,-81.0,-44.0,-58.0,-100.0,-87.0,-41.0,-40.0,-59.0,-63.0,-63.0,-67.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 151933,2.0,24.0,37.67564458064516,2.4067741572580643,-32.70725766935484,-0.46006762693548386,0.49434051572580645,9.953154846774192,0.0010010506406532259,-0.0048854439522580655,0.008188234548387097,-0.04961075395676153,0.04622588871467494,-1.4575039032966859,1000.6356449193547,-100.0,-69.0,-64.0,-80.0,-100.0,-58.0,-72.0,-100.0,-74.0,-83.0,-74.0,-67.0,-79.0,-100.0,-89.0,-100.0,-100.0,-100.0,-89.0,-100.0,-80.0,-100.0,-63.0,-68.0,-86.0,-80.0,-46.0,-59.0,-100.0,-81.0,-45.0,-46.0,-64.0,-71.0,-63.0,-68.0,-100.0,-100.0,-100.0,-87.0,-81.0,-100.0,-63.0,-68.0,-86.0,-80.0,-46.0,-59.0,-100.0,-82.0,-45.0,-46.0,-64.0,-71.0,-63.0,-68.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 151945,3.0,24.0,38.77131110655738,0.608360636557377,-31.400163549180323,-0.39197418688524593,0.7507229044262297,9.944698967213114,-0.003232769139368852,-0.007657596323852459,0.005054198743442625,-0.0752953296130309,0.03940977808088059,-1.48813732725675,1000.6338587704918,-100.0,-72.0,-63.0,-77.0,-73.0,-58.0,-74.0,-80.0,-72.0,-84.0,-74.0,-66.0,-79.0,-100.0,-90.0,-100.0,-100.0,-78.0,-87.0,-67.0,-83.0,-58.0,-64.0,-70.0,-83.0,-80.0,-44.0,-56.0,-100.0,-86.0,-37.0,-44.0,-69.0,-65.0,-64.0,-73.0,-100.0,-100.0,-77.0,-87.0,-83.0,-58.0,-64.0,-71.0,-83.0,-79.0,-41.0,-56.0,-100.0,-87.0,-37.0,-44.0,-68.0,-66.0,-64.0,-73.0,-100.0,-100.0,-82.0,-74.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-83.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 151955,4.0,24.0,37.008570936507944,-2.259047588968255,-30.24666636507936,-0.3656779720238095,0.6247156990476191,9.9557556984127,-0.002045690653619048,-0.0069524708015873005,0.005700749694444445,-0.0626625585118456,0.03672349155097013,-1.5784714212493292,1000.6590567460318,-100.0,-68.0,-62.0,-78.0,-72.0,-58.0,-74.0,-88.0,-74.0,-81.0,-79.0,-61.0,-80.0,-100.0,-87.0,-87.0,-100.0,-100.0,-86.0,-67.0,-82.0,-55.0,-61.0,-71.0,-81.0,-76.0,-41.0,-51.0,-100.0,-86.0,-35.0,-38.0,-65.0,-69.0,-67.0,-73.0,-86.0,-100.0,-75.0,-87.0,-83.0,-56.0,-61.0,-70.0,-82.0,-76.0,-42.0,-51.0,-100.0,-86.0,-36.0,-38.0,-65.0,-70.0,-67.0,-74.0,-100.0,-100.0,-84.0,-100.0,-81.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152006,5.0,24.0,33.212194609756104,-6.386829171544715,-28.707804406504067,-0.4802759559349593,0.4895610691869919,9.955375146341462,0.0034977398966991864,-0.0005414599680487797,0.0026409838304878057,-0.04910755909343314,0.04823904246758149,-1.7233938211347999,1000.6727350406505,-100.0,-63.0,-58.0,-63.0,-100.0,-60.0,-74.0,-100.0,-78.0,-81.0,-72.0,-62.0,-73.0,-75.0,-84.0,-100.0,-100.0,-72.0,-91.0,-66.0,-80.0,-50.0,-60.0,-65.0,-76.0,-75.0,-45.0,-61.0,-100.0,-86.0,-34.0,-35.0,-64.0,-65.0,-67.0,-74.0,-100.0,-100.0,-72.0,-90.0,-80.0,-50.0,-60.0,-67.0,-77.0,-75.0,-46.0,-61.0,-100.0,-87.0,-32.0,-34.0,-64.0,-66.0,-66.0,-74.0,-100.0,-100.0,-83.0,-78.0,-81.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-92.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152017,6.0,24.0,30.60532212903226,-5.370483791129032,-29.133386758064514,-0.3359128934435484,0.5530388627096774,9.966207516129032,-0.00019112199959677494,-0.00375731400016129,0.003325944189112905,-0.055429166656047545,0.033631494335432104,-1.695030935349003,1000.6770172580646,-80.0,-66.0,-55.0,-70.0,-65.0,-100.0,-79.0,-100.0,-77.0,-84.0,-66.0,-62.0,-68.0,-69.0,-85.0,-100.0,-100.0,-100.0,-87.0,-65.0,-81.0,-49.0,-63.0,-100.0,-80.0,-76.0,-56.0,-65.0,-100.0,-85.0,-39.0,-36.0,-62.0,-62.0,-100.0,-76.0,-100.0,-100.0,-76.0,-86.0,-81.0,-49.0,-63.0,-71.0,-79.0,-76.0,-56.0,-66.0,-100.0,-86.0,-39.0,-36.0,-63.0,-62.0,-100.0,-76.0,-100.0,-100.0,-81.0,-81.0,-76.0,-100.0,-100.0,-100.0,-65.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.22 152027,7.0,24.0,29.608499691666665,-2.597499959166667,-30.707499408333334,-0.37294820700000003,0.43138846366666667,9.960562270833334,-0.00010425428791666705,-0.0054519724225000005,0.005424890515000001,-0.04328156436483061,0.037441310542635574,-1.6129043400287628,1000.651834,-100.0,-59.0,-58.0,-73.0,-100.0,-59.0,-76.0,-100.0,-75.0,-78.0,-64.0,-58.0,-66.0,-100.0,-86.0,-83.0,-100.0,-68.0,-88.0,-62.0,-79.0,-52.0,-66.0,-65.0,-76.0,-74.0,-57.0,-67.0,-100.0,-85.0,-35.0,-47.0,-63.0,-63.0,-69.0,-72.0,-83.0,-100.0,-100.0,-88.0,-79.0,-53.0,-66.0,-65.0,-76.0,-74.0,-57.0,-67.0,-100.0,-83.0,-35.0,-47.0,-63.0,-63.0,-69.0,-72.0,-100.0,-100.0,-80.0,-100.0,-84.0,-100.0,-100.0,-70.0,-62.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
