x,y,mode,scenario,phone,user,n_mag_rows,file,magN_mean,magN_std,magV_mean,magV_std,magH_mean,magH_std,dip_mean,dip_std,n_ap,has_wifi,AP_0,AP_1,AP_2,AP_3
0.0,0.0,Navigation,Scenario-1,A8,User 2,120,IMU_0_0_A8.csv,40.0,0.4,10.0,0.3,38.0,0.35,0.25,0.01,4,True,-35,-59,-35,-59
0.0,1.0,Navigation,Scenario-1,G7,User 2,120,IMU_0_1_G7.csv,42.300000000000004,0.4,9.74,0.3,38.82,0.35,0.2424,0.01,4,True,-37,-61,-43,-51
0.0,2.0,Navigation,Scenario-1,S8,User 2,120,IMU_0_2_S8.csv,41.400000000000006,0.4,8.84,0.3,39.32,0.35,0.2284,0.01,4,True,-39,-63,-51,-43
0.0,3.0,Navigation,Scenario-1,S9+,User 2,120,IMU_0_3_S9+.csv,43.8,0.4,8.6,0.3,40.15,0.35,0.221,0.01,4,True,-41,-65,-59,-35
1.0,0.0,Navigation,Scenario-1,G7,User 2,120,IMU_1_0_G7.csv,42.900000000000006,0.4,11.04,0.3,39.02,0.35,0.2724,0.01,4,True,-43,-51,-37,-61
1.0,1.0,Navigation,Scenario-1,S8,User 2,120,IMU_1_1_S8.csv,42.0,0.4,10.14,0.3,39.52,0.35,0.2584,0.01,4,True,-45,-53,-45,-53
1.0,2.0,Navigation,Scenario-1,S9+,User 2,120,IMU_1_2_S9+.csv,44.4,0.4,9.9,0.3,40.35,0.35,0.251,0.01,4,True,-47,-55,-53,-45
1.0,3.0,Navigation,Scenario-1,A8,User 2,120,IMU_1_3_A8.csv,45.0,0.4,9.3,0.3,41.0,0.35,0.24,0.01,4,True,-49,-57,-61,-37
2.0,0.0,Navigation,Scenario-1,S8,User 2,120,IMU_2_0_S8.csv,42.6,0.4,11.44,0.3,39.72,0.35,0.2884,0.01,4,True,-51,-43,-39,-63
2.0,1.0,Navigation,Scenario-1,S9+,User 2,120,IMU_2_1_S9+.csv,45.0,0.4,11.2,0.3,40.55,0.35,0.281,0.01,4,True,-53,-45,-47,-55
2.0,2.0,Navigation,Scenario-1,A8,User 2,120,IMU_2_2_A8.csv,45.6,0.4,10.6,0.3,41.2,0.35,0.27,0.01,4,True,-55,-47,-55,-47
2.0,3.0,Navigation,Scenario-1,G7,User 2,120,IMU_2_3_G7.csv,47.900000000000006,0.4,10.34,0.3,42.02,0.35,0.2624,0.01,4,True,-57,-49,-63,-39
3.0,0.0,Navigation,Scenario-1,S9+,User 2,120,IMU_3_0_S9+.csv,45.6,0.4,12.5,0.3,40.75,0.35,0.311,0.01,4,True,-59,-35,-41,-65
3.0,1.0,Navigation,Scenario-1,A8,User 2,120,IMU_3_1_A8.csv,46.2,0.4,11.9,0.3,41.4,0.35,0.3,0.01,4,True,-61,-37,-49,-57
3.0,2.0,Navigation,Scenario-1,G7,User 2,120,IMU_3_2_G7.csv,48.5,0.4,11.64,0.3,42.22,0.35,0.2924,0.01,4,True,-63,-39,-57,-49
3.0,3.0,Navigation,Scenario-1,S8,User 2,120,IMU_3_3_S8.csv,47.6,0.4,10.74,0.3,42.72,0.35,0.2784,0.01,4,True,-65,-41,-65,-41
